osmid,highway,oneway,reversed,length,lanes,name,maxspeed,access,geometry,ref
165032957,residential,False,True,81.295,,,,,"LINESTRING (124.7219226 11.9675742, 124.7211762 11.9675374)",
165032946,residential,False,False,46.048,1,San Francisco Street,20,designated,"LINESTRING (124.7209019 11.9671099, 124.7213213 11.9671661)",
165032946,residential,False,True,68.35,1,San Francisco Street,20,designated,"LINESTRING (124.7209019 11.9671099, 124.7202744 11.9670781)",
908599985,residential,False,False,42.543,2,Tizon Street,10,designated,"LINESTRING (124.7209019 11.9671099, 124.7208395 11.9674876)",
908599985,residential,False,True,67.327,2,Tizon Street,10,designated,"LINESTRING (124.7209019 11.9671099, 124.7210332 11.9665182)",
165032941,tertiary,False,True,46.001,2,Tizon Street,,,"LINESTRING (124.7210332 11.9665182, 124.7211247 11.9661143)",
908599985,residential,False,False,67.327,2,Tizon Street,10,designated,"LINESTRING (124.7210332 11.9665182, 124.7209019 11.9671099)",
165032937,unclassified,False,False,60.174,1,Marabut Street,20,designated,"LINESTRING (124.7210332 11.9665182, 124.7212896 11.9665219, 124.7215846 11.9665534)",
908599986,residential,False,True,86.57,1,Marabut Street,20,designated,"LINESTRING (124.7210332 11.9665182, 124.7208092 11.966508, 124.7202414 11.9664437)",
165032939,residential,False,False,40.574,,,,,"LINESTRING (124.7206123 11.9685829, 124.7202395 11.9685947)",
262564464,residential,False,False,26.655,,Tizon Extension,5,,"LINESTRING (124.7206123 11.9685829, 124.7206098 11.9688226)",
908599985,residential,False,True,49.142,2,Tizon Street,10,designated,"LINESTRING (124.7206123 11.9685829, 124.7207113 11.9681517)",
165032954,residential,False,False,50.05,,,,,"LINESTRING (124.7207113 11.9681517, 124.7202585 11.9680718)",
908599985,residential,False,False,49.142,2,Tizon Street,10,designated,"LINESTRING (124.7207113 11.9681517, 124.7206123 11.9685829)",
908599985,residential,False,True,75.344,2,Tizon Street,10,designated,"LINESTRING (124.7207113 11.9681517, 124.7207824 11.9679097, 124.7208395 11.9674876)",
165032946,residential,False,False,68.35,1,San Francisco Street,20,designated,"LINESTRING (124.7202744 11.9670781, 124.7209019 11.9671099)",
262579786,residential,False,False,70.633,1,Avelino Street,20,designated,"LINESTRING (124.7202744 11.9670781, 124.7202414 11.9664437)",
262579786,residential,False,True,37.506,1,Avelino Street,20,designated,"LINESTRING (124.7202744 11.9670781, 124.7202735 11.9674154)",
165032939,residential,False,True,40.574,,,,,"LINESTRING (124.7202395 11.9685947, 124.7206123 11.9685829)",
165032943,residential,False,False,58.181,1,Avelino Mini Street,20,designated,"LINESTRING (124.7202395 11.9685947, 124.7202585 11.9680718)",
908611304,residential,False,False,52.329,,,,,"LINESTRING (124.7202395 11.9685947, 124.7202341 11.968864, 124.7201892 11.9690604)",
262579786,residential,False,False,50.361,1,Avelino Street,20,designated,"LINESTRING (124.7202414 11.9664437, 124.7202396 11.9659908)",
262579786,residential,False,True,70.633,1,Avelino Street,20,designated,"LINESTRING (124.7202414 11.9664437, 124.7202744 11.9670781)",
908599986,residential,False,True,27.229,1,Marabut Street,20,designated,"LINESTRING (124.7202414 11.9664437, 124.7199924 11.9664688)",
908599986,residential,False,False,86.57,1,Marabut Street,20,designated,"LINESTRING (124.7202414 11.9664437, 124.7208092 11.966508, 124.7210332 11.9665182)",
165032957,residential,False,False,62.09,,,,,"LINESTRING (124.7202735 11.9674154, 124.7208395 11.9674876)",
262579786,residential,False,False,37.506,1,Avelino Street,20,designated,"LINESTRING (124.7202735 11.9674154, 124.7202744 11.9670781)",
262579786,residential,False,True,73.007,1,Avelino Street,20,designated,"LINESTRING (124.7202735 11.9674154, 124.7202585 11.9680718)",
165032941,tertiary,False,False,58.739,2,Tizon Street,,,"LINESTRING (124.7215916 11.9641423, 124.7214653 11.9646559)",
165032941,tertiary,False,True,62.604,2,Tizon Street,,,"LINESTRING (124.7215916 11.9641423, 124.7217201 11.9635935)",
165033452,residential,False,False,148.758,1,Boholano Street,20,designated,"LINESTRING (124.7215916 11.9641423, 124.7202308 11.9640099)",Me and The Street Signage
165033452,residential,False,True,63.976,1,Boholano Street,20,designated,"LINESTRING (124.7215916 11.9641423, 124.7221796 11.964154)",Me and The Street Signage
165032957,residential,False,False,37.042,,,,,"LINESTRING (124.7208395 11.9674876, 124.7211762 11.9675374)",
165032957,residential,False,True,62.09,,,,,"LINESTRING (124.7208395 11.9674876, 124.7202735 11.9674154)",
908599985,residential,False,True,42.543,2,Tizon Street,10,designated,"LINESTRING (124.7208395 11.9674876, 124.7209019 11.9671099)",
908599985,residential,False,False,75.344,2,Tizon Street,10,designated,"LINESTRING (124.7208395 11.9674876, 124.7207824 11.9679097, 124.7207113 11.9681517)",
262579786,residential,False,True,50.927,1,Avelino Street,20,designated,"LINESTRING (124.7202301 11.9635519, 124.7202308 11.9640099)",
