osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry
840034565,residential,False,True,75.836,,,,,"LINESTRING (120.6178411 18.3308694, 120.6176731 18.3302063)"
960018376,primary,False,False,6.647,2,1,National Road 1,50,"LINESTRING (120.6178411 18.3308694, 120.6178716 18.3309217)"
960018376,primary,False,True,71.456,2,1,National Road 1,50,"LINESTRING (120.6178411 18.3308694, 120.6176535 18.3307044, 120.6173378 18.3304397)"
668246869,residential,False,False,92.63300000000001,,,,,"LINESTRING (120.6188093 18.3339909, 120.618875 18.3343123, 120.6190354 18.3347945)"
960018376,primary,False,False,43.094,2,1,National Road 1,50,"LINESTRING (120.6188093 18.3339909, 120.6186363 18.334052, 120.6184205 18.3341079)"
960018376,primary,False,True,117.25800000000001,2,1,National Road 1,50,"LINESTRING (120.6188093 18.3339909, 120.6186805 18.3335032, 120.6185143 18.3329745)"
205947151,residential,False,True,49.276,,,Juan Luna Street,30,"LINESTRING (120.6170458 18.3343963, 120.6171812 18.3348204)"
960018374,tertiary,False,False,65.219,,,Juan Luna Street,30,"LINESTRING (120.6170458 18.3343963, 120.6168881 18.3338292)"
960018376,primary,False,False,74.415,2,1,National Road 1,50,"LINESTRING (120.6170458 18.3343963, 120.61636 18.3345515)"
960018376,primary,False,True,35.129,2,1,National Road 1,50,"LINESTRING (120.6170458 18.3343963, 120.6173701 18.3343253)"
205947159,residential,False,False,81.876,,,Claudio Street,30,"LINESTRING (120.6149717 18.3302116, 120.6151361 18.3309312)"
855346485,residential,False,False,31.612,,,Lincoln Street,,"LINESTRING (120.6149717 18.3302116, 120.6152635 18.3301476)"
169099734,residential,False,False,54.796,,,Bogayon Street,30,"LINESTRING (120.6188389 18.3360007, 120.6183288 18.3360923)"
169099734,residential,False,True,55.994,,,Bogayon Street,30,"LINESTRING (120.6188389 18.3360007, 120.6193501 18.3358661)"
840052279,residential,False,False,60.775,,,Tandang Sora Street,,"LINESTRING (120.6188389 18.3360007, 120.6187206 18.3354658)"
840052279,residential,False,True,64.648,,,Tandang Sora Street,,"LINESTRING (120.6188389 18.3360007, 120.6189662 18.3365694)"
205947147,residential,False,True,65.493,,,P. Zamora Street,30,"LINESTRING (120.6198788 18.3326466, 120.6197406 18.3320724)"
320018567,secondary,False,False,52.346,,,Biak-na-Bato Street,,"LINESTRING (120.6198788 18.3326466, 120.6203616 18.332539)"
320018567,secondary,False,True,71.65,,,Biak-na-Bato Street,,"LINESTRING (120.6198788 18.3326466, 120.619221 18.3328057)"
97694801,residential,False,False,39.808,,,Biak-na-Bato Street,30,"LINESTRING (120.6167462 18.333388, 120.6171102 18.3332943)"
97694801,residential,False,True,68.569,,,Biak-na-Bato Street,30,"LINESTRING (120.6167462 18.333388, 120.6161167 18.3335403)"
960018374,tertiary,False,False,65.381,,,Juan Luna Street,30,"LINESTRING (120.6167462 18.333388, 120.6165597 18.3328273)"
