osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,width,bridge
909908725,Rizal,tertiary,False,False,41.268,,,"LINESTRING (120.8273023 15.0925414, 120.8269994 15.0923129)",,
72371398,Taft Street,secondary,False,True,52.624,2,40,"LINESTRING (120.8273023 15.0925414, 120.8270912 15.092678, 120.8268787 15.0927772)",,
"[48626595, 875943653]",,secondary,True,False,72.22099999999999,2,,"LINESTRING (120.8273023 15.0925414, 120.8275701 15.0923122, 120.8275836 15.0923026, 120.8275984 15.0922983, 120.8276147 15.0922984, 120.8276317 15.0923053, 120.8276483 15.0923166, 120.8278427 15.0924308)",,
45361285,Evangelista Street,residential,False,False,110.606,,,"LINESTRING (120.8243135 15.0908725, 120.8247004 15.0908361, 120.8253342 15.0909318)",,
45361285,Evangelista Street,residential,False,True,115.287,,,"LINESTRING (120.8243135 15.0908725, 120.8239133 15.0910001, 120.8233969 15.091385)",,
45361289,,residential,False,True,53.846000000000004,,,"LINESTRING (120.8243135 15.0908725, 120.8242903 15.0906455, 120.8242612 15.0903909)",,
45361285,Evangelista Street,residential,False,False,43.082,,,"LINESTRING (120.8253342 15.0909318, 120.825698 15.0910953)",,
45361285,Evangelista Street,residential,False,True,110.606,,,"LINESTRING (120.8253342 15.0909318, 120.8247004 15.0908361, 120.8243135 15.0908725)",,
45361323,,residential,False,False,40.684,,,"LINESTRING (120.8253342 15.0909318, 120.8253944 15.0907023, 120.8254414 15.0905814)",,
45361285,Evangelista Street,residential,False,True,43.082,,,"LINESTRING (120.825698 15.0910953, 120.8253342 15.0909318)",,
45361320,,residential,False,True,32.372,,,"LINESTRING (120.825698 15.0910953, 120.8256052 15.0913723)",,
45361314,L. Evangelista Street,residential,False,True,195.13199999999998,,,"LINESTRING (120.825698 15.0910953, 120.8257875 15.0911361, 120.8258932 15.0911775, 120.826016 15.0912376, 120.8261347 15.091302, 120.8262341 15.0913637, 120.8266348 15.0916035, 120.8270396 15.0918761, 120.8272447 15.0920099)",,
45361289,,residential,False,False,53.846000000000004,,,"LINESTRING (120.8242612 15.0903909, 120.8242903 15.0906455, 120.8243135 15.0908725)",,
