osmid,lanes,highway,oneway,reversed,length,geometry,bridge,name
114654483,2,tertiary,False,False,68.007,"LINESTRING (122.6834796 11.3913883, 122.6837605 11.3919344)",,
114654483,2,tertiary,False,True,140.329,"LINESTRING (122.6834796 11.3913883, 122.6826552 11.390419)",,
246021831,,residential,False,True,102.866,"LINESTRING (122.6834796 11.3913883, 122.6842842 11.3909049)",,
114654483,2,tertiary,False,True,55.806,"LINESTRING (122.6848085 11.393899, 122.6845658 11.3934571)",,
246021820,,tertiary,False,True,82.375,"LINESTRING (122.6848085 11.393899, 122.6850299 11.3943084, 122.6851586 11.3945555)",,
246021822,2,tertiary,False,False,478.06,"LINESTRING (122.6848085 11.393899, 122.6827209 11.3947456, 122.6817687 11.3951085, 122.6814106 11.3952715, 122.6809815 11.3954818, 122.680787 11.3956028)",,
114654486,,residential,False,True,58.064,"LINESTRING (122.685711 11.3942942, 122.6859231 11.3947732)",,
246021848,,residential,False,True,66.857,"LINESTRING (122.685711 11.3942942, 122.6851586 11.3945555)",,
114654486,,residential,False,False,140.61599999999999,"LINESTRING (122.685711 11.3942942, 122.6854301 11.3936419, 122.6852238 11.3931234)",,
246021848,,residential,False,False,74.61,"LINESTRING (122.685711 11.3942942, 122.6857975 11.3942553, 122.6863292 11.3940062)",,
246021850,2,tertiary,False,True,170.063,"LINESTRING (122.689531 11.3902896, 122.6887876 11.3911513, 122.688486 11.391422)",,
246021821,,residential,False,True,77.768,"LINESTRING (122.6846336 11.3906951, 122.6849503 11.3913218)",,
246021831,,residential,False,False,44.663,"LINESTRING (122.6846336 11.3906951, 122.6842842 11.3909049)",,
370339264,,residential,False,False,76.511,"LINESTRING (122.6846336 11.3906951, 122.684666 11.3905432, 122.6846849 11.3901798, 122.6847472 11.3900222)",,
905281296,,residential,False,True,61.827,"LINESTRING (122.6846336 11.3906951, 122.6846078 11.3906504, 122.6843195 11.3902323)",,
114654486,,residential,False,True,74.386,"LINESTRING (122.6842842 11.3909049, 122.6845171 11.3915337)",,
246021831,,residential,False,False,102.866,"LINESTRING (122.6842842 11.3909049, 122.6834796 11.3913883)",,
246021831,,residential,False,True,44.663,"LINESTRING (122.6842842 11.3909049, 122.6846336 11.3906951)",,
246021821,,residential,False,False,77.768,"LINESTRING (122.6849503 11.3913218, 122.6846336 11.3906951)",,
246021821,,residential,False,True,68.494,"LINESTRING (122.6849503 11.3913218, 122.6852908 11.3918395)",,
246021847,,residential,False,True,52.853,"LINESTRING (122.6849503 11.3913218, 122.6847969 11.3914109, 122.6845171 11.3915337)",,
246021850,2,tertiary,False,False,170.063,"LINESTRING (122.688486 11.391422, 122.6887876 11.3911513, 122.689531 11.3902896)",,
"[246021850, 246021828, 246021846]",2,tertiary,False,True,321.217,"LINESTRING (122.688486 11.391422, 122.6882232 11.3916002, 122.6876717 11.3918946, 122.6867351 11.3923794, 122.6859075 11.3928167)",yes,
370339231,,unclassified,False,False,293.183,"LINESTRING (122.688486 11.391422, 122.6889765 11.3919816, 122.6890256 11.3921432, 122.6889813 11.3925372, 122.6890842 11.3928481, 122.6897412 11.3936222)",,
246021821,,residential,False,False,68.494,"LINESTRING (122.6852908 11.3918395, 122.6849503 11.3913218)",,
246021821,,residential,False,True,56.711,"LINESTRING (122.6852908 11.3918395, 122.6855575 11.3922774)",,
246021836,,residential,False,False,62.841,"LINESTRING (122.6852908 11.3918395, 122.6847898 11.3921191)",,
114654483,2,tertiary,False,False,71.677,"LINESTRING (122.6837605 11.3919344, 122.6840631 11.3925067)",,
114654483,2,tertiary,False,True,68.007,"LINESTRING (122.6837605 11.3919344, 122.6834796 11.3913883)",,
246021847,,residential,False,False,49.394,"LINESTRING (122.6837605 11.3919344, 122.6841625 11.3917294)",,
114654486,,residential,False,False,71.56,"LINESTRING (122.6847898 11.3921191, 122.6845171 11.3915337)",,
114654486,,residential,False,True,56.801,"LINESTRING (122.6847898 11.3921191, 122.6849944 11.3925889)",,
246021836,,residential,False,False,37.831,"LINESTRING (122.6847898 11.3921191, 122.6844897 11.39229)",,
246021836,,residential,False,True,62.841,"LINESTRING (122.6847898 11.3921191, 122.6852908 11.3918395)",,
246021821,,residential,False,False,56.711,"LINESTRING (122.6855575 11.3922774, 122.6852908 11.3918395)",,
246021821,,residential,False,True,71.075,"LINESTRING (122.6855575 11.3922774, 122.6859075 11.3928167)",,
246021840,,residential,False,True,70.479,"LINESTRING (122.6855575 11.3922774, 122.6849944 11.3925889)",,
114654483,2,tertiary,False,False,56.0,"LINESTRING (122.6840631 11.3925067, 122.6842962 11.3929555)",,
114654483,2,tertiary,False,True,71.677,"LINESTRING (122.6840631 11.3925067, 122.6837605 11.3919344)",,
246021836,,residential,False,True,52.373,"LINESTRING (122.6840631 11.3925067, 122.6844897 11.39229)",,
114654486,,residential,False,False,56.801,"LINESTRING (122.6849944 11.3925889, 122.6847898 11.3921191)",,
114654486,,residential,False,True,64.48,"LINESTRING (122.6849944 11.3925889, 122.6852238 11.3931234)",,
246021840,,residential,False,False,70.479,"LINESTRING (122.6849944 11.3925889, 122.6855575 11.3922774)",,
246021840,,residential,False,True,86.336,"LINESTRING (122.6849944 11.3925889, 122.6842962 11.3929555)",,
246021821,,residential,False,False,71.075,"LINESTRING (122.6859075 11.3928167, 122.6855575 11.3922774)",,
246021846,2,tertiary,False,True,81.958,"LINESTRING (122.6859075 11.3928167, 122.6852238 11.3931234)",,
246021821,,residential,False,True,140.988,"LINESTRING (122.6859075 11.3928167, 122.6861046 11.393164, 122.6863292 11.3940062)",,
"[246021850, 246021828, 246021846]",2,tertiary,False,False,321.217,"LINESTRING (122.6859075 11.3928167, 122.6867351 11.3923794, 122.6876717 11.3918946, 122.6882232 11.3916002, 122.688486 11.391422)",yes,
114654483,2,tertiary,False,False,28.504,"LINESTRING (122.6842962 11.3929555, 122.6844072 11.3931876)",,
114654483,2,tertiary,False,True,56.0,"LINESTRING (122.6842962 11.3929555, 122.6840631 11.3925067)",,
246021840,,residential,False,False,86.336,"LINESTRING (122.6842962 11.3929555, 122.6849944 11.3925889)",,
114654486,,residential,False,False,64.48,"LINESTRING (122.6852238 11.3931234, 122.6849944 11.3925889)",,
246021846,2,tertiary,False,False,81.958,"LINESTRING (122.6852238 11.3931234, 122.6859075 11.3928167)",,
246021846,2,tertiary,False,True,80.754,"LINESTRING (122.6852238 11.3931234, 122.6845658 11.3934571)",,
114654486,,residential,False,True,140.61599999999999,"LINESTRING (122.6852238 11.3931234, 122.6854301 11.3936419, 122.685711 11.3942942)",,
114654483,2,tertiary,False,False,55.806,"LINESTRING (122.6845658 11.3934571, 122.6848085 11.393899)",,
114654483,2,tertiary,False,True,34.596,"LINESTRING (122.6845658 11.3934571, 122.6844072 11.3931876)",,
246021846,2,tertiary,False,False,80.754,"LINESTRING (122.6845658 11.3934571, 122.6852238 11.3931234)",,
246021848,,residential,False,True,107.085,"LINESTRING (122.6872097 11.3935791, 122.6863292 11.3940062)",,
246021821,,residential,False,True,58.807,"LINESTRING (122.6863292 11.3940062, 122.6865276 11.394498)",,
246021848,,residential,False,False,107.085,"LINESTRING (122.6863292 11.3940062, 122.6872097 11.3935791)",,
246021821,,residential,False,False,140.988,"LINESTRING (122.6863292 11.3940062, 122.6861046 11.393164, 122.6859075 11.3928167)",,
246021848,,residential,False,True,74.61,"LINESTRING (122.6863292 11.3940062, 122.6857975 11.3942553, 122.685711 11.3942942)",,
246021843,,residential,False,True,113.412,"LINESTRING (122.6875147 11.3941756, 122.6865276 11.394498)",,
246021821,,residential,False,False,58.807,"LINESTRING (122.6865276 11.394498, 122.6863292 11.3940062)",,
246021821,,residential,False,True,87.46,"LINESTRING (122.6865276 11.394498, 122.6868363 11.395224)",,
246021843,,residential,False,False,113.412,"LINESTRING (122.6865276 11.394498, 122.6875147 11.3941756)",,
246021843,,residential,False,True,72.652,"LINESTRING (122.6865276 11.394498, 122.6860014 11.3947389, 122.6859231 11.3947732)",,
246021820,,tertiary,False,True,61.494,"LINESTRING (122.6851586 11.3945555, 122.6854081 11.3950515)",,
246021848,,residential,False,False,66.857,"LINESTRING (122.6851586 11.3945555, 122.685711 11.3942942)",,
246021820,,tertiary,False,False,82.375,"LINESTRING (122.6851586 11.3945555, 122.6850299 11.3943084, 122.6848085 11.393899)",,
114654486,,residential,False,False,58.064,"LINESTRING (122.6859231 11.3947732, 122.685711 11.3942942)",,
