osmid,lanes,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,ref
4302968,2,Rio Grande Street,unclassified,40,False,True,124.722,,"LINESTRING (124.8288012 7.1128527, 124.828147 7.111938)",
"[1168601313, 1266714156, 1266714157]",,,unclassified,,True,False,86.201,building_passage,"LINESTRING (124.8289322 7.1135976, 124.8289125 7.1130852, 124.8289073 7.113037, 124.8288939 7.1129919, 124.828871 7.1129526, 124.8288291 7.1128917, 124.8288012 7.1128527)",
4302941,,,residential,,False,False,104.658,,"LINESTRING (124.8261127 7.1061261, 124.8258747 7.105215)",
4302941,,,residential,,False,True,123.148,,"LINESTRING (124.8261127 7.1061261, 124.8263879 7.1071994)",
166210246,,,residential,,False,False,58.209,,"LINESTRING (124.8261127 7.1061261, 124.8255983 7.1062422)",
166210260,,,residential,,False,False,199.35,,"LINESTRING (124.8261127 7.1061261, 124.8278634 7.1056833)",
4302941,,,residential,,False,False,123.148,,"LINESTRING (124.8263879 7.1071994, 124.8261127 7.1061261)",
4302968,2,Rio Grande Street,unclassified,40,False,False,221.822,,"LINESTRING (124.8263879 7.1071994, 124.8268824 7.109133)",
170088925,4,Rizal Avenue,trunk,,False,False,101.238,,"LINESTRING (124.8263879 7.1071994, 124.8260588 7.1072826, 124.8254988 7.1074242)",75
170088925,4,Rizal Avenue,trunk,,False,True,199.385,,"LINESTRING (124.8263879 7.1071994, 124.8272935 7.1069579, 124.8275136 7.1069047, 124.828138 7.1067535)",75
4302985,2,Abellera Street,unclassified,40,False,False,220.653,,"LINESTRING (124.8246539 7.1076532, 124.8251366 7.1095789)",
166210280,,,residential,,False,False,126.972,,"LINESTRING (124.8246539 7.1076532, 124.8243638 7.1065482)",
170088925,4,Rizal Avenue,trunk,,False,True,96.642,,"LINESTRING (124.8246539 7.1076532, 124.8254988 7.1074242)",75
170088925,4,Rizal Avenue,trunk,,False,False,100.25800000000001,,"LINESTRING (124.8246539 7.1076532, 124.8242016 7.1077798, 124.8237794 7.107898)",75
166210320,2,Bonifacio Street,tertiary,,False,True,125.038,,"LINESTRING (124.8289977 7.1065193, 124.8287172 7.1054298)",
170088925,4,Rizal Avenue,trunk,,False,False,98.37,,"LINESTRING (124.8289977 7.1065193, 124.828138 7.1067535)",75
170088925,4,Rizal Avenue,trunk,,False,True,101.037,,"LINESTRING (124.8202711 7.1088123, 124.8211529 7.1085674)",75
503973328,2,Mercado Street,tertiary,40,False,True,90.494,,"LINESTRING (124.8202711 7.1088123, 124.820483 7.1095985)",
166210235,2,Roxas Street,tertiary,,False,False,123.588,,"LINESTRING (124.8202711 7.1088123, 124.8200068 7.107847, 124.8199807 7.1077389)",
166210236,,,residential,,False,False,107.248,,"LINESTRING (124.827582 7.1047601, 124.8278634 7.1056833)",
866514664,,,residential,,False,True,195.058,,"LINESTRING (124.827582 7.1047601, 124.8258747 7.105215)",
1266717149,,,residential,,False,False,98.777,,"LINESTRING (124.8202175 7.104925, 124.8204374 7.1057861)",
4302941,,,residential,,False,True,104.658,,"LINESTRING (124.8258747 7.105215, 124.8261127 7.1061261)",
866514664,,,residential,,False,False,195.058,,"LINESTRING (124.8258747 7.105215, 124.827582 7.1047601)",
866514664,,,residential,,False,True,56.162,,"LINESTRING (124.8258747 7.105215, 124.8257426 7.1052433, 124.8253807 7.1053363)",
166210285,,,residential,,False,False,99.436,,"LINESTRING (124.8221406 7.105319, 124.8212716 7.1055558)",
166210310,,,residential,,False,False,98.3,,"LINESTRING (124.8221406 7.105319, 124.8223981 7.1061653)",
166210310,,,residential,,False,True,47.188,,"LINESTRING (124.8221406 7.105319, 124.8220295 7.1049092)",
166210260,,,residential,,False,True,98.336,,"LINESTRING (124.8287172 7.1054298, 124.8278634 7.1056833)",
166210320,2,Bonifacio Street,tertiary,,False,False,125.038,,"LINESTRING (124.8287172 7.1054298, 124.8289977 7.1065193)",
166210285,,,residential,,False,False,95.542,,"LINESTRING (124.8212716 7.1055558, 124.8204374 7.1057861)",
166210285,,,residential,,False,True,99.436,,"LINESTRING (124.8212716 7.1055558, 124.8221406 7.105319)",
166210302,,,residential,,False,False,98.706,,"LINESTRING (124.8212716 7.1055558, 124.8215237 7.1064075)",
166210302,,,residential,,False,True,47.592,,"LINESTRING (124.8212716 7.1055558, 124.8211657 7.1051409)",
166210236,,,residential,,False,False,122.798,,"LINESTRING (124.8278634 7.1056833, 124.828138 7.1067535)",
166210236,,,residential,,False,True,107.248,,"LINESTRING (124.8278634 7.1056833, 124.827582 7.1047601)",
166210260,,,residential,,False,False,98.336,,"LINESTRING (124.8278634 7.1056833, 124.8287172 7.1054298)",
166210260,,,residential,,False,True,199.35,,"LINESTRING (124.8278634 7.1056833, 124.8261127 7.1061261)",
166210280,,,residential,,False,True,98.958,,"LINESTRING (124.8241067 7.1056956, 124.8243638 7.1065482)",
166210323,,,residential,,False,True,97.812,,"LINESTRING (124.8241067 7.1056956, 124.823256 7.1059429)",
166210285,,,residential,,False,True,95.542,,"LINESTRING (124.8204374 7.1057861, 124.8212716 7.1055558)",
