osmid,highway,oneway,reversed,length,geometry,ref,lanes,name
245875840,residential,False,False,79.338,"LINESTRING (121.8879914 11.8437467, 121.887897 11.8430392)",,,
880318676,residential,False,True,50.414,"LINESTRING (121.8879914 11.8437467, 121.888448 11.8436702)",,,
367123950,residential,False,False,129.187,"LINESTRING (121.8879914 11.8437467, 121.8881119 11.8448209, 121.8881192 11.8448752, 121.8881253 11.8449009)",,,
880318676,residential,False,False,50.414,"LINESTRING (121.888448 11.8436702, 121.8879914 11.8437467)",,,
880318677,secondary,False,True,51.315,"LINESTRING (121.888448 11.8436702, 121.8889118 11.843587)",502,,
880318678,secondary,False,True,78.986,"LINESTRING (121.888448 11.8436702, 121.88832 11.842971)",502,2,
245875841,residential,False,False,57.168,"LINESTRING (121.88832 11.842971, 121.8888383 11.8428873)",,,
245875841,residential,False,True,46.655,"LINESTRING (121.88832 11.842971, 121.887897 11.8430392)",,,
880318678,secondary,False,False,78.986,"LINESTRING (121.88832 11.842971, 121.888448 11.8436702)",502,2,
880318678,secondary,False,True,58.642,"LINESTRING (121.88832 11.842971, 121.8882249 11.8424519)",502,2,
537471439,residential,False,False,43.965,"LINESTRING (121.8882249 11.8424519, 121.8878291 11.8425311)",,,
537471439,residential,False,True,54.746,"LINESTRING (121.8882249 11.8424519, 121.888715 11.8423409)",,,
880318678,secondary,False,False,58.642,"LINESTRING (121.8882249 11.8424519, 121.88832 11.842971)",502,2,
245875836,secondary,False,False,62.329,"LINESTRING (121.8888 11.8454274, 121.8888437 11.8448685)",502,,
367123956,secondary,False,False,15.809,"LINESTRING (121.8888 11.8454274, 121.8889141 11.8455154)",502,2,Aklan West Road
880318679,residential,False,True,36.175,"LINESTRING (121.8888 11.8454274, 121.8884747 11.8453605)",,,
245875835,tertiary,False,False,52.172,"LINESTRING (121.8896087 11.8455344, 121.890078 11.8456302)",,,
245875835,tertiary,False,True,75.621,"LINESTRING (121.8896087 11.8455344, 121.8889141 11.8455154)",,,
880318677,secondary,False,False,51.315,"LINESTRING (121.8889118 11.843587, 121.888448 11.8436702)",502,,
245875836,secondary,False,True,142.871,"LINESTRING (121.8889118 11.843587, 121.8889153 11.844132, 121.8888993 11.8443221, 121.8888437 11.8448685)",502,,
"[880318681, 245875839]",unclassified,False,False,78.474,"LINESTRING (121.8889118 11.843587, 121.8889214 11.8434679, 121.8888383 11.8428873)",,,
245875837,residential,False,False,33.729,"LINESTRING (121.8881253 11.8449009, 121.8884349 11.8448869)",,,
"[367123950, 880318679]",residential,False,False,77.804,"LINESTRING (121.8881253 11.8449009, 121.8881855 11.8452979, 121.8882008 11.8453194, 121.8882187 11.845328, 121.8884747 11.8453605)",,,
367123950,residential,False,True,129.187,"LINESTRING (121.8881253 11.8449009, 121.8881192 11.8448752, 121.8881119 11.8448209, 121.8879914 11.8437467)",,,
245875836,secondary,False,True,62.329,"LINESTRING (121.8888437 11.8448685, 121.8888 11.8454274)",502,,
245875837,residential,False,True,44.536,"LINESTRING (121.8888437 11.8448685, 121.8884349 11.8448869)",,,
245875836,secondary,False,False,142.871,"LINESTRING (121.8888437 11.8448685, 121.8888993 11.8443221, 121.8889153 11.844132, 121.8889118 11.843587)",502,,
245875837,residential,False,False,44.536,"LINESTRING (121.8884349 11.8448869, 121.8888437 11.8448685)",,,
245875837,residential,False,True,33.729,"LINESTRING (121.8884349 11.8448869, 121.8881253 11.8449009)",,,
245875838,residential,False,False,52.84,"LINESTRING (121.8884349 11.8448869, 121.8884747 11.8453605)",,,
245875838,residential,False,True,52.84,"LINESTRING (121.8884747 11.8453605, 121.8884349 11.8448869)",,,
880318679,residential,False,False,36.175,"LINESTRING (121.8884747 11.8453605, 121.8888 11.8454274)",,,
"[367123950, 880318679]",residential,False,True,77.804,"LINESTRING (121.8884747 11.8453605, 121.8882187 11.845328, 121.8882008 11.8453194, 121.8881855 11.8452979, 121.8881253 11.8449009)",,,
245875839,unclassified,False,True,62.221,"LINESTRING (121.888715 11.8423409, 121.8888383 11.8428873)",,,
537471439,residential,False,False,54.746,"LINESTRING (121.888715 11.8423409, 121.8882249 11.8424519)",,,
245875840,residential,False,False,101.598,"LINESTRING (121.8878291 11.8425311, 121.8877082 11.8416251)",,,
245875840,residential,False,True,56.979,"LINESTRING (121.8878291 11.8425311, 121.887897 11.8430392)",,,
537471439,residential,False,True,43.965,"LINESTRING (121.8878291 11.8425311, 121.8882249 11.8424519)",,,
245875840,residential,False,False,56.979,"LINESTRING (121.887897 11.8430392, 121.8878291 11.8425311)",,,
245875840,residential,False,True,79.338,"LINESTRING (121.887897 11.8430392, 121.8879914 11.8437467)",,,
245875841,residential,False,False,46.655,"LINESTRING (121.887897 11.8430392, 121.88832 11.842971)",,,
245875839,unclassified,False,False,62.221,"LINESTRING (121.8888383 11.8428873, 121.888715 11.8423409)",,,
245875841,residential,False,True,57.168,"LINESTRING (121.8888383 11.8428873, 121.88832 11.842971)",,,
"[880318681, 245875839]",unclassified,False,True,78.474,"LINESTRING (121.8888383 11.8428873, 121.8889214 11.8434679, 121.8889118 11.843587)",,,
245875835,tertiary,False,True,87.153,"LINESTRING (121.8906902 11.8461284, 121.8901952 11.8456855, 121.8901506 11.8456625, 121.890078 11.8456302)",,,
761675688,residential,False,True,136.176,"LINESTRING (121.8906902 11.8461284, 121.890745 11.8461936, 121.8911701 11.84667, 121.8915403 11.8470257)",,,
245875840,residential,False,True,101.598,"LINESTRING (121.8877082 11.8416251, 121.8878291 11.8425311)",,,
245875835,tertiary,False,False,75.621,"LINESTRING (121.8889141 11.8455154, 121.8896087 11.8455344)",,,
367123956,secondary,False,True,15.809,"LINESTRING (121.8889141 11.8455154, 121.8888 11.8454274)",502,2,Aklan West Road
761675688,residential,False,False,136.176,"LINESTRING (121.8915403 11.8470257, 121.8911701 11.84667, 121.890745 11.8461936, 121.8906902 11.8461284)",,,
245875835,tertiary,False,True,52.172,"LINESTRING (121.890078 11.8456302, 121.8896087 11.8455344)",,,
245875835,tertiary,False,False,87.15299999999999,"LINESTRING (121.890078 11.8456302, 121.8901506 11.8456625, 121.8901952 11.8456855, 121.8906902 11.8461284)",,,
245875842,residential,False,False,162.13600000000002,"LINESTRING (121.890078 11.8456302, 121.8899204 11.8459481, 121.8896132 11.84638, 121.8894817 11.8465716, 121.8893771 11.8466241, 121.8892739 11.84667, 121.8891545 11.8467041)",,,
245875842,residential,False,True,162.136,"LINESTRING (121.8891545 11.8467041, 121.8892739 11.84667, 121.8893771 11.8466241, 121.8894817 11.8465716, 121.8896132 11.84638, 121.8899204 11.8459481, 121.890078 11.8456302)",,,
