osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,access,bridge
108705339,True,P. Zamora Avenue,secondary,40,False,79.564,,,"LINESTRING (120.5863569 15.4861793, 120.5870701 15.4859803)",,
108707125,False,J.P. Rizal Street,tertiary,30,False,91.206,,,"LINESTRING (120.5916591 15.4890953, 120.5910704 15.4885029)",,
160436101,True,Ancheta Street,unclassified,30,False,88.008,1,,"LINESTRING (120.5916591 15.4890953, 120.5922609 15.4885567)",,
153733558,False,P. Burgos Street,secondary,30,True,44.032,,,"LINESTRING (120.5875016 15.4878254, 120.5877578 15.4875158)",,
153733582,True,Mabini Street,residential,20,False,153.25,2,,"LINESTRING (120.5875016 15.4878254, 120.588376 15.488916)",,
709115032,True,P. Burgos Street,secondary,30,False,29.46,,,"LINESTRING (120.5875016 15.4878254, 120.5873032 15.4880088)",,
153733552,True,M.H. del Pilar Street,residential,30,False,65.673,2,,"LINESTRING (120.5895478 15.484925, 120.5899166 15.4853967)",,
160426869,False,P. Zamora Avenue,trunk,40,False,58.262,,55,"LINESTRING (120.5895478 15.484925, 120.5893003 15.4850471, 120.5890583 15.4851527)",,
160426869,False,P. Zamora Avenue,trunk,40,True,132.893,,55,"LINESTRING (120.5895478 15.484925, 120.5898408 15.4847272, 120.5898836 15.4846947, 120.590367 15.4843277, 120.5905281 15.4841941)",,
108707125,False,J.P. Rizal Street,tertiary,30,False,100.47000000000001,,,"LINESTRING (120.5901279 15.4875026, 120.5900541 15.4874253, 120.5900013 15.48737, 120.5898911 15.4872571, 120.5896466 15.4869945, 120.5896349 15.4869819, 120.5895243 15.4868495, 120.5895056 15.4868272)",,
108707125,False,J.P. Rizal Street,tertiary,30,True,150.248,,,"LINESTRING (120.5901279 15.4875026, 120.5906403 15.4880356, 120.5907859 15.4881938, 120.5910704 15.4885029)",,
160435606,True,Espinosa Street,residential,30,False,61.35,1,,"LINESTRING (120.5901279 15.4875026, 120.5900185 15.4875895, 120.589686 15.4878534)",,
