osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,tunnel
"[113583320, 27258622]",2,S. Castillo Street,tertiary,False,False,173.311,"LINESTRING (121.0705462 14.5471385, 121.070401 14.5473186, 121.0703227 14.5473681, 121.070216 14.5474062, 121.070141 14.547428, 121.0692523 14.547642, 121.0690853 14.5476853)",,,,
113583288,2,M. Almeda Street,secondary,False,False,281.556,"LINESTRING (121.0705462 14.5471385, 121.0705088 14.5471132, 121.0701077 14.5468425, 121.069691 14.5465062, 121.0693403 14.5461833, 121.0690964 14.5459237, 121.0688367 14.5456339, 121.0686558 14.5454072)",142,20,,
113583288,2,M. Almeda Street,secondary,False,True,281.556,"LINESTRING (121.0686558 14.5454072, 121.0688367 14.5456339, 121.0690964 14.5459237, 121.0693403 14.5461833, 121.069691 14.5465062, 121.0701077 14.5468425, 121.0705088 14.5471132, 121.0705462 14.5471385)",142,20,,
"[1071154486, 671307934]",2,C. Almeda Street,secondary,True,False,60.016000000000005,"LINESTRING (121.0686558 14.5454072, 121.0685174 14.5455014, 121.0683448 14.5456038, 121.0681692 14.5456631)",,30,,
"[934316814, 671307935]",2,M. Almeda Street,secondary,False,False,126.528,"LINESTRING (121.0686558 14.5454072, 121.0683646 14.544999, 121.0681654 14.5447125, 121.0681289 14.5446585, 121.0680124 14.5444558)",142,50,,
"[134197427, 134197428, 27258662]",2,Mayor J. T. Capco Jr. Street,tertiary,True,False,85.07,"LINESTRING (121.0680124 14.5444558, 121.0683293 14.5442361, 121.0683603 14.5442156, 121.0686634 14.5440222)",,,yes,
671307944,2,M. Almeda Street,secondary,False,False,196.71099999999998,"LINESTRING (121.0680124 14.5444558, 121.0678484 14.5441383, 121.0677465 14.543941, 121.0676099 14.5436824, 121.0675201 14.5435191, 121.0675007 14.5434838, 121.0673499 14.5432073, 121.0672273 14.5429865, 121.0671882 14.5429153, 121.0671716 14.5428852)",142,50,,
"[934316814, 671307935]",2,M. Almeda Street,secondary,False,True,126.52799999999999,"LINESTRING (121.0680124 14.5444558, 121.0681289 14.5446585, 121.0681654 14.5447125, 121.0683646 14.544999, 121.0686558 14.5454072)",142,50,,
117188759,2,G. de Borja Street,tertiary,False,True,260.969,"LINESTRING (121.0671716 14.5428852, 121.0669847 14.542915, 121.0667134 14.5429171, 121.0665026 14.5429032, 121.0662905 14.5428877, 121.0662141 14.5428818, 121.0661585 14.5428774, 121.0660345 14.5428672, 121.0657509 14.5428324, 121.0653048 14.5427421, 121.0647826 14.5426037)",,,,
671307944,2,M. Almeda Street,secondary,False,False,162.266,"LINESTRING (121.0671716 14.5428852, 121.0669942 14.5424638, 121.0669111 14.5422024, 121.0668944 14.5420461, 121.0669007 14.5419852, 121.0669225 14.5418695, 121.0669481 14.5417163, 121.0670014 14.5414823)",142,50,,
671307944,2,M. Almeda Street,secondary,False,True,196.71099999999998,"LINESTRING (121.0671716 14.5428852, 121.0671882 14.5429153, 121.0672273 14.5429865, 121.0673499 14.5432073, 121.0675007 14.5434838, 121.0675201 14.5435191, 121.0676099 14.5436824, 121.0677465 14.543941, 121.0678484 14.5441383, 121.0680124 14.5444558)",142,50,,
671307944,2,M. Almeda Street,secondary,False,False,53.346000000000004,"LINESTRING (121.0672011 14.5408552, 121.0672226 14.5407895, 121.0673083 14.5405463, 121.0673518 14.5403983)",142,50,,
671307944,2,M. Almeda Street,secondary,False,True,73.152,"LINESTRING (121.0672011 14.5408552, 121.0671356 14.5409973, 121.0670603 14.5412433, 121.0670014 14.5414823)",142,50,,
671307944,2,M. Almeda Street,secondary,False,True,53.346000000000004,"LINESTRING (121.0673518 14.5403983, 121.0673083 14.5405463, 121.0672226 14.5407895, 121.0672011 14.5408552)",142,50,,
23296761,2,Talisay Street,residential,False,False,137.117,"LINESTRING (121.0642971 14.5466859, 121.0647358 14.5469466, 121.0647846 14.5469993, 121.0647254 14.5476609)",,,,
101476581,2,Macopa Street,residential,False,True,69.53800000000001,"LINESTRING (121.0642971 14.5466859, 121.0642613 14.5466647, 121.063967 14.5464823, 121.0637549 14.5463459)",,,,
770797800,4,J. P. Rizal Extension,secondary,False,False,135.195,"LINESTRING (121.0642971 14.5466859, 121.0641926 14.547155, 121.0640452 14.547877)",,40,,
770797800,4,J. P. Rizal Extension,secondary,False,True,48.592999999999996,"LINESTRING (121.0642971 14.5466859, 121.0644217 14.5464318, 121.0644724 14.5463474, 121.0645053 14.5462988)",,40,,
23296736,4,Sampaguita Street,tertiary,False,False,63.492999999999995,"LINESTRING (121.0639312 14.5485001, 121.0638795 14.5484815, 121.0635815 14.5483643, 121.0633892 14.5482754)",,,,
28997305,,Anahaw Street,residential,False,False,49.408,"LINESTRING (121.0639312 14.5485001, 121.0639808 14.5485179, 121.0643707 14.548628)",,,,
770797800,4,J. P. Rizal Extension,secondary,False,True,70.369,"LINESTRING (121.0639312 14.5485001, 121.0639443 14.5484413, 121.0639888 14.5481927, 121.0640452 14.547877)",,40,,
23296736,4,Sampaguita Street,tertiary,False,False,36.103,"LINESTRING (121.0630012 14.5481182, 121.0627102 14.5479567)",,,,
23296736,4,Sampaguita Street,tertiary,False,True,45.283,"LINESTRING (121.0630012 14.5481182, 121.0631696 14.5481815, 121.0633892 14.5482754)",,,,
23296775,,Sampaloc Street,residential,False,False,227.614,"LINESTRING (121.0630012 14.5481182, 121.0633085 14.5463654, 121.0633514 14.5460995)",,,,
