osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,width,geometry,bridge
290508237,2,J. P. Rizal Street,unclassified,False,True,85.398,,,,"LINESTRING (121.9138504 13.8749889, 121.9139259 13.8757534)",
487125843,2,Mariano Aguilar Street,primary,False,False,41.541,610,25,6.6,"LINESTRING (121.9138504 13.8749889, 121.9142315 13.8749371)",
487125843,2,Mariano Aguilar Street,primary,False,True,41.689,610,25,6.6,"LINESTRING (121.9138504 13.8749889, 121.9134687 13.8750459)",
870274120,2,J. P. Rizal Street,residential,False,True,42.004,,,,"LINESTRING (121.9138504 13.8749889, 121.9138201 13.8746123)",
290508224,,,residential,False,True,23.318,,,,"LINESTRING (121.9139259 13.8757534, 121.9141404 13.8757287)",
290508237,2,J. P. Rizal Street,unclassified,False,False,85.398,,,,"LINESTRING (121.9139259 13.8757534, 121.9138504 13.8749889)",
290508237,2,J. P. Rizal Street,unclassified,False,True,40.174,,,,"LINESTRING (121.9139259 13.8757534, 121.9139408 13.8761144)",
870274121,,,residential,False,False,43.212,,,,"LINESTRING (121.9139259 13.8757534, 121.9135292 13.8758054)",
34044271,2,Rodriguez Street,residential,False,True,38.306,,,,"LINESTRING (121.9146784 13.8756695, 121.9147025 13.8760132)",
290508224,,,residential,False,False,58.449,,,,"LINESTRING (121.9146784 13.8756695, 121.9141404 13.8757287)",
290508224,,,residential,False,True,42.295,,,,"LINESTRING (121.9146784 13.8756695, 121.9150668 13.8756195)",
34044271,2,Rodriguez Street,residential,False,False,41.2,,,,"LINESTRING (121.9146784 13.8756695, 121.9146556 13.8753561, 121.9146515 13.8752999)",
34044271,2,Rodriguez Street,residential,False,False,43.015,,,,"LINESTRING (121.9146218 13.8748904, 121.914584 13.8745053)",
34044271,2,Rodriguez Street,residential,False,True,45.647,,,,"LINESTRING (121.9146218 13.8748904, 121.9146515 13.8752999)",
487125843,2,Mariano Aguilar Street,primary,False,False,40.57,610,25,6.6,"LINESTRING (121.9146218 13.8748904, 121.9149948 13.8748458)",
487125843,2,Mariano Aguilar Street,primary,False,True,42.452,610,25,6.6,"LINESTRING (121.9146218 13.8748904, 121.9145325 13.8749011, 121.9142315 13.8749371)",
34044271,2,Rodriguez Street,residential,False,True,36.085,,,,"LINESTRING (121.9145562 13.8741819, 121.914584 13.8745053)",
290508239,,,tertiary,False,True,107.95700000000001,,,,"LINESTRING (121.9111833 13.875402, 121.9111506 13.8753792, 121.911101 13.8753668, 121.9110078 13.8753688, 121.9108643 13.8753714, 121.9107114 13.8753531, 121.9105759 13.8753024, 121.910419 13.8751943, 121.9102903 13.8750719)",
"[964316890, 455435794, 964316893]",2,Mariano Aguilar Street,primary,False,False,165.294,610,25,6.6,"LINESTRING (121.9111833 13.875402, 121.9112379 13.8753684, 121.9113062 13.8753413, 121.9114009 13.8753225, 121.9119571 13.8752427, 121.9121504 13.875215, 121.912487 13.8751748, 121.9126848 13.8751507)",yes
964316890,2,Mariano Aguilar Street,primary,False,True,253.98,610,25,6.6,"LINESTRING (121.9111833 13.875402, 121.9111425 13.875471, 121.9111144 13.8755647, 121.911099 13.8756655, 121.9110493 13.8768309, 121.9110252 13.8775274, 121.9110186 13.877669)",
