osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,access,bridge
25861108,2,851,Lieutenant Clarin,primary,False,False,28.938000000000002,"LINESTRING (123.8654221 9.6247915, 123.8652934 9.6247571, 123.8652451 9.6247466, 123.8651989 9.6247459, 123.8651647 9.624753)",,
25861108,2,851,Lieutenant Clarin,primary,False,True,171.36,"LINESTRING (123.8654221 9.6247915, 123.8657797 9.6248873, 123.8667897 9.625181, 123.8669235 9.6252199)",,
32633475,2,,Assumption,secondary,True,False,237.06,"LINESTRING (123.8654221 9.6247915, 123.8655387 9.6241366, 123.8657926 9.6226911)",,
25861108,2,851,Lieutenant Clarin,primary,False,False,171.35999999999999,"LINESTRING (123.8669235 9.6252199, 123.8667897 9.625181, 123.8657797 9.6248873, 123.8654221 9.6247915)",,
47066421,2,,Loquellano,secondary,True,False,167.573,"LINESTRING (123.8657926 9.6226911, 123.8672198 9.6228372, 123.8672544 9.6228444, 123.8672796 9.6228563, 123.8673005 9.622878)",,
47066446,,,F.B. Penales,residential,False,True,264.02899999999994,"LINESTRING (123.8657926 9.6226911, 123.8655657 9.6226544, 123.8652951 9.6238813, 123.865258 9.6240844, 123.8651839 9.6244479, 123.8651402 9.6246487, 123.8651375 9.6246778, 123.8651412 9.6247013, 123.8651496 9.6247224, 123.8651647 9.624753)",,
25861108,2,851,Lieutenant Clarin,primary,False,True,28.938,"LINESTRING (123.8651647 9.624753, 123.8651989 9.6247459, 123.8652451 9.6247466, 123.8652934 9.6247571, 123.8654221 9.6247915)",,
47066446,,,F.B. Penales,residential,False,False,264.029,"LINESTRING (123.8651647 9.624753, 123.8651496 9.6247224, 123.8651412 9.6247013, 123.8651375 9.6246778, 123.8651402 9.6246487, 123.8651839 9.6244479, 123.865258 9.6240844, 123.8652951 9.6238813, 123.8655657 9.6226544, 123.8657926 9.6226911)",,
379865622,2,851,Dauis-Panglao Road,primary,False,True,98.07700000000001,"LINESTRING (123.8651647 9.624753, 123.8651412 9.624769, 123.8651224 9.6247875, 123.8650949 9.6248272, 123.8650715 9.6248781, 123.8650241 9.6250449, 123.8649971 9.6251307, 123.8649816 9.6251677, 123.8649617 9.6251982, 123.8649273 9.6252292, 123.864893 9.6252479, 123.8648656 9.6252602, 123.864826 9.6252688, 123.864677 9.6252763, 123.8646316 9.625286, 123.8645984 9.6253037)",,
53728528,,,Del Carmen Street,residential,True,False,107.23500000000001,"LINESTRING (123.8645984 9.6253037, 123.864588 9.6252728, 123.8645846 9.6252411, 123.86459 9.6251968, 123.8646253 9.6250493, 123.8648074 9.6243688)",yes,
379865622,2,851,Dauis-Panglao Road,primary,False,False,98.07700000000001,"LINESTRING (123.8645984 9.6253037, 123.8646316 9.625286, 123.864677 9.6252763, 123.864826 9.6252688, 123.8648656 9.6252602, 123.864893 9.6252479, 123.8649273 9.6252292, 123.8649617 9.6251982, 123.8649816 9.6251677, 123.8649971 9.6251307, 123.8650241 9.6250449, 123.8650715 9.6248781, 123.8650949 9.6248272, 123.8651224 9.6247875, 123.8651412 9.624769, 123.8651647 9.624753)",,
"[379865621, 379865622, 683525311]",2,851,Dauis-Panglao Road,primary,False,True,336.378,"LINESTRING (123.8645984 9.6253037, 123.8645766 9.6253303, 123.8645571 9.6253687, 123.8644425 9.6256655, 123.8644199 9.6257103, 123.8643922 9.6257429, 123.8643627 9.6257673, 123.8643198 9.6257911, 123.8642681 9.6258103, 123.8642158 9.6258267, 123.8639161 9.6258809, 123.8635201 9.6259461, 123.8629294 9.6260529, 123.8628425 9.6260668, 123.8627299 9.6260807, 123.8626045 9.6260886, 123.8624739 9.6260914, 123.862292 9.6260873, 123.8620559 9.6260732, 123.8618641 9.6260504)",,yes
53728524,,,,residential,False,False,149.583,"LINESTRING (123.8648074 9.6243688, 123.865046 9.6230443)",,
53728524,,,,residential,False,True,149.583,"LINESTRING (123.865046 9.6230443, 123.8648074 9.6243688)",,
"[379865621, 379865622, 683525311]",2,851,Dauis-Panglao Road,primary,False,False,336.378,"LINESTRING (123.8618641 9.6260504, 123.8620559 9.6260732, 123.862292 9.6260873, 123.8624739 9.6260914, 123.8626045 9.6260886, 123.8627299 9.6260807, 123.8628425 9.6260668, 123.8629294 9.6260529, 123.8635201 9.6259461, 123.8639161 9.6258809, 123.8642158 9.6258267, 123.8642681 9.6258103, 123.8643198 9.6257911, 123.8643627 9.6257673, 123.8643922 9.6257429, 123.8644199 9.6257103, 123.8644425 9.6256655, 123.8645571 9.6253687, 123.8645766 9.6253303, 123.8645984 9.6253037)",,yes
26137758,2,,Circulado Street,secondary,True,False,264.524,"LINESTRING (123.8673005 9.622878, 123.8673141 9.6229018, 123.8673183 9.622925, 123.8673178 9.6229557, 123.8669235 9.6252199)",,
