osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge,width
328679919,4,66,National Highway,primary,60,False,True,28.154,"LINESTRING (121.2176103 14.1742406, 121.2173679 14.1741464)",,,
328679919,4,66,National Highway,primary,60,False,False,238.04700000000003,"LINESTRING (121.2176103 14.1742406, 121.21801 14.1743888, 121.2181307 14.1744603, 121.2182245 14.1745501, 121.2184177 14.1747984, 121.2190547 14.1757684)",,,
38351532,,,M. Palis,secondary,50,False,False,86.815,"LINESTRING (121.2226658 14.1776091, 121.2225881 14.1778273, 121.2225309 14.177988, 121.2225169 14.1780208, 121.2224896 14.1780849, 121.2223812 14.1783391)",,,
90087399,4,66,National Highway,primary,60,False,False,101.616,"LINESTRING (121.2226658 14.1776091, 121.2230925 14.1777397, 121.2232942 14.1778409, 121.2235199 14.177981)",,,
411086305,4,66,National Highway,primary,60,False,True,118.34100000000002,"LINESTRING (121.2226658 14.1776091, 121.2220091 14.1774293, 121.2219303 14.1774085, 121.2217701 14.1773651, 121.221698 14.1773456, 121.221609 14.1773213)",,,
35602432,,,Jose Rizal,secondary,50,False,False,59.223,"LINESTRING (121.2251348 14.1810056, 121.2248684 14.1808956, 121.2247121 14.1808379, 121.2246256 14.180806)",,,
90087399,4,66,National Highway,primary,60,False,True,138.389,"LINESTRING (121.2251348 14.1810056, 121.2249592 14.1807683, 121.2248816 14.1806571, 121.2247919 14.1805246, 121.2247623 14.1804211, 121.2246132 14.179888)",,,
114915769,,,,unclassified,30,True,False,27.657999999999998,"LINESTRING (121.223102 14.1735743, 121.2228654 14.1735745, 121.2228455 14.1735757)",destination,,
114915782,,,,unclassified,30,False,True,73.642,"LINESTRING (121.223102 14.1735743, 121.2233684 14.1736728, 121.2235647 14.1737526, 121.2237207 14.1738492)",destination,,
26586794,,,Juan Luna Extension,residential,,False,False,19.08,"LINESTRING (121.2250881 14.179441, 121.2250325 14.1796039)",,,
81501028,,,Pantua Extension,residential,,False,True,83.096,"LINESTRING (121.2250881 14.179441, 121.2243766 14.1791536)",,,
26586794,,,Juan Luna Extension,residential,,False,True,41.875,"LINESTRING (121.2249104 14.1799614, 121.2250325 14.1796039)",,,
32425339,,,Graciano Lopez-Jaena,residential,,False,False,32.654,"LINESTRING (121.2244023 14.1798006, 121.2245008 14.1795229)",,,
35605227,,,Aquino,residential,,False,False,24.726,"LINESTRING (121.2244023 14.1798006, 121.2246132 14.179888)",,,
35605227,,,Aquino,residential,,False,True,61.17,"LINESTRING (121.2244023 14.1798006, 121.2238863 14.1795718)",,,
32425339,,,Graciano Lopez-Jaena,residential,,False,True,52.507,"LINESTRING (121.2244023 14.1798006, 121.2242433 14.1801121, 121.2241815 14.1802214)",,,
32425339,,,Graciano Lopez-Jaena,residential,,False,True,32.654,"LINESTRING (121.2245008 14.1795229, 121.2244023 14.1798006)",,,
90087399,4,66,National Highway,primary,60,False,False,42.367,"LINESTRING (121.2245008 14.1795229, 121.2246132 14.179888)",,,
90087399,4,66,National Highway,primary,60,False,True,43.192,"LINESTRING (121.2245008 14.1795229, 121.2243766 14.1791536)",,,
32425339,,,Graciano Lopez-Jaena,residential,,False,False,43.592,"LINESTRING (121.2241047 14.1806063, 121.2241815 14.1802214)",,,
35602432,,,Jose Rizal,secondary,50,False,False,68.392,"LINESTRING (121.2241047 14.1806063, 121.2235196 14.1803686)",,,
35602432,,,Jose Rizal,secondary,50,False,True,60.388,"LINESTRING (121.2241047 14.1806063, 121.224584 14.1807902, 121.2246256 14.180806)",,,
35602438,,,Juan Luna,secondary,,True,False,47.983,"LINESTRING (121.2246256 14.180806, 121.2244834 14.1812149)",,,
35602432,,,Jose Rizal,secondary,50,False,False,60.388,"LINESTRING (121.2246256 14.180806, 121.224584 14.1807902, 121.2241047 14.1806063)",,,
35602432,,,Jose Rizal,secondary,50,False,True,59.223,"LINESTRING (121.2246256 14.180806, 121.2247121 14.1808379, 121.2248684 14.1808956, 121.2251348 14.1810056)",,,
35602441,,,Lopez,residential,,False,True,62.46,"LINESTRING (121.2244834 14.1812149, 121.2239627 14.1809686)",,,
35602438,,,Juan Luna,secondary,,True,False,52.401,"LINESTRING (121.2244834 14.1812149, 121.2243523 14.1815265, 121.2242811 14.1816422)",,,
"[35602441, 35602443]",,,Lopez,residential,,False,False,109.327,"LINESTRING (121.2244834 14.1812149, 121.2249945 14.1814189, 121.224817 14.1818318)",,,
303769119,,,Villegas,secondary,,False,True,61.510999999999996,"LINESTRING (121.2242811 14.1816422, 121.224483 14.1817191, 121.224817 14.1818318)",,,
1160855575,,,Villegas,secondary,,False,False,64.316,"LINESTRING (121.2242811 14.1816422, 121.2242329 14.1816158, 121.2237442 14.1813903)",,,
35602441,,,Lopez,residential,,False,False,62.46,"LINESTRING (121.2239627 14.1809686, 121.2244834 14.1812149)",,,
35602441,,,Lopez,residential,,False,True,69.085,"LINESTRING (121.2239627 14.1809686, 121.2234036 14.180665)",,,
1109708783,,,Graciano Lopez-Jaena,secondary,,True,False,43.097,"LINESTRING (121.2239627 14.1809686, 121.2241047 14.1806063)",,,
"[35602441, 35602443]",,,Lopez,residential,,False,True,109.327,"LINESTRING (121.224817 14.1818318, 121.2249945 14.1814189, 121.2244834 14.1812149)",,,
303769119,,,Villegas,secondary,,False,False,61.510999999999996,"LINESTRING (121.224817 14.1818318, 121.224483 14.1817191, 121.2242811 14.1816422)",,,
35605227,,,Aquino,residential,,False,False,61.17,"LINESTRING (121.2238863 14.1795718, 121.2244023 14.1798006)",,,
432088208,,,De Pasupil,residential,,False,True,62.784,"LINESTRING (121.2238863 14.1795718, 121.2240857 14.1790413)",,,
35605227,,,Aquino,residential,,False,True,74.735,"LINESTRING (121.2238863 14.1795718, 121.2236527 14.1794678, 121.2232535 14.1792974)",,,
432088208,,,De Pasupil,residential,,False,False,52.869,"LINESTRING (121.2238863 14.1795718, 121.2238319 14.1796948, 121.223675 14.1800007)",,,
35605227,,,Aquino,residential,,False,True,24.726,"LINESTRING (121.2246132 14.179888, 121.2244023 14.1798006)",,,
90087399,4,66,National Highway,primary,60,False,True,42.367,"LINESTRING (121.2246132 14.179888, 121.2245008 14.1795229)",,,
90087399,4,66,National Highway,primary,60,False,False,138.389,"LINESTRING (121.2246132 14.179888, 121.2247623 14.1804211, 121.2247919 14.1805246, 121.2248816 14.1806571, 121.2249592 14.1807683, 121.2251348 14.1810056)",,,
35602432,,,Jose Rizal,secondary,50,False,False,75.317,"LINESTRING (121.2235196 14.1803686, 121.2228829 14.1800898)",,,
35602432,,,Jose Rizal,secondary,50,False,True,68.392,"LINESTRING (121.2235196 14.1803686, 121.2241047 14.1806063)",,,
432088208,,,De Pasupil,residential,,False,False,35.251,"LINESTRING (121.2235196 14.1803686, 121.2234036 14.180665)",,,
432088208,,,De Pasupil,residential,,False,True,44.206,"LINESTRING (121.2235196 14.1803686, 121.223675 14.1800007)",,,
35602441,,,Lopez,residential,,False,False,78.833,"LINESTRING (121.2227653 14.1803191, 121.2234036 14.180665)",,,
35602441,,,Lopez,residential,,False,True,65.199,"LINESTRING (121.2227653 14.1803191, 121.2222265 14.1800528)",,,
38351874,,,Jose Burgos,residential,,False,False,28.475,"LINESTRING (121.2227653 14.1803191, 121.2228829 14.1800898)",,,
38351874,,,Jose Burgos,residential,,False,True,61.67,"LINESTRING (121.2227653 14.1803191, 121.2224995 14.1808102)",,,
35602441,,,Lopez,residential,,False,False,69.085,"LINESTRING (121.2234036 14.180665, 121.2239627 14.1809686)",,,
35602441,,,Lopez,residential,,False,True,78.833,"LINESTRING (121.2234036 14.180665, 121.2227653 14.1803191)",,,
432088208,,,De Pasupil,residential,,False,False,56.346,"LINESTRING (121.2234036 14.180665, 121.2231864 14.1811259)",,,
432088208,,,De Pasupil,residential,,False,True,35.251,"LINESTRING (121.2234036 14.180665, 121.2235196 14.1803686)",,,
1109708783,,,Graciano Lopez-Jaena,secondary,,True,False,52.475,"LINESTRING (121.2237442 14.1813903, 121.2239627 14.1809686)",,,
38351292,,,Villegas,residential,,False,False,66.938,"LINESTRING (121.2237442 14.1813903, 121.2234411 14.181248, 121.2231864 14.1811259)",,,
1160855575,,,Villegas,secondary,,False,True,64.316,"LINESTRING (121.2237442 14.1813903, 121.2242329 14.1816158, 121.2242811 14.1816422)",,,
38351292,,,Villegas,residential,,False,False,81.952,"LINESTRING (121.2231864 14.1811259, 121.2224995 14.1808102)",,,
432088208,,,De Pasupil,residential,,False,True,56.346,"LINESTRING (121.2231864 14.1811259, 121.2234036 14.180665)",,,
38351292,,,Villegas,residential,,False,True,66.938,"LINESTRING (121.2231864 14.1811259, 121.2234411 14.181248, 121.2237442 14.1813903)",,,
38351292,,,Villegas,residential,,False,True,81.952,"LINESTRING (121.2224995 14.1808102, 121.2231864 14.1811259)",,,
38351874,,,Jose Burgos,residential,,False,False,61.67,"LINESTRING (121.2224995 14.1808102, 121.2227653 14.1803191)",,,
"[160202633, 38351292]",,,"['Villegas', 'Apolinario Mabini']",residential,,False,False,106.713,"LINESTRING (121.2224995 14.1808102, 121.2223361 14.1807218, 121.2222008 14.180622, 121.2221368 14.1804969, 121.2221079 14.1803876, 121.2221186 14.1802523, 121.2222265 14.1800528)",,,
38351874,,,Jose Burgos,residential,,False,True,105.771,"LINESTRING (121.2224995 14.1808102, 121.2223036 14.1811807, 121.222048 14.1816547)",,,
35602441,,,Lopez,residential,,False,False,65.199,"LINESTRING (121.2222265 14.1800528, 121.2227653 14.1803191)",,,
35602441,,,Lopez,residential,,False,True,91.233,"LINESTRING (121.2222265 14.1800528, 121.2214729 14.1796795)",,,
160202633,,,Apolinario Mabini,residential,,False,False,29.5,"LINESTRING (121.2222265 14.1800528, 121.2223363 14.1798098)",,,
"[160202633, 38351292]",,,"['Villegas', 'Apolinario Mabini']",residential,,False,True,106.71300000000001,"LINESTRING (121.2222265 14.1800528, 121.2221186 14.1802523, 121.2221079 14.1803876, 121.2221368 14.1804969, 121.2222008 14.180622, 121.2223361 14.1807218, 121.2224995 14.1808102)",,,
35602432,,,Jose Rizal,secondary,50,False,False,66.647,"LINESTRING (121.2228829 14.1800898, 121.2223363 14.1798098)",,,
35602432,,,Jose Rizal,secondary,50,False,True,75.317,"LINESTRING (121.2228829 14.1800898, 121.2235196 14.1803686)",,,
38351874,,,Jose Burgos,residential,,False,False,48.35,"LINESTRING (121.2228829 14.1800898, 121.223067 14.1796933)",,,
38351874,,,Jose Burgos,residential,,False,True,28.475,"LINESTRING (121.2228829 14.1800898, 121.2227653 14.1803191)",,,
35602432,,,Jose Rizal,secondary,50,False,False,76.203,"LINESTRING (121.2223363 14.1798098, 121.2217125 14.1794875)",,,
35602432,,,Jose Rizal,secondary,50,False,True,66.647,"LINESTRING (121.2223363 14.1798098, 121.2228829 14.1800898)",,,
160202633,,,Apolinario Mabini,residential,,False,True,29.5,"LINESTRING (121.2223363 14.1798098, 121.2222265 14.1800528)",,,
160202633,,,Apolinario Mabini,residential,,False,False,49.656,"LINESTRING (121.2223363 14.1798098, 121.2224226 14.1796123, 121.2225227 14.1794015)",,,
