osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,ref,bridge,width
29208627,2,Provincial Road,secondary,40,False,False,135.254,"LINESTRING (120.5661254 15.9788707, 120.5659336 15.9788668, 120.5658276 15.9788732, 120.565715 15.9788887, 120.56555 15.978939, 120.5652443 15.979073, 120.5649358 15.9792201)",,,,
29208627,2,Provincial Road,secondary,40,False,True,203.812,"LINESTRING (120.5661254 15.9788707, 120.5666618 15.9789003, 120.5674893 15.9789776, 120.5680257 15.9790163)",,,,
914023711,,Perez North Extension,residential,20,False,True,66.27,"LINESTRING (120.5661254 15.9788707, 120.5661354 15.9792909, 120.5661327 15.9793947, 120.5661388 15.9794663)",,,,
29208627,2,Provincial Road,secondary,40,False,False,11.677,"LINESTRING (120.5634968 15.9799872, 120.5634033 15.9800415)",,,,
29208627,2,Provincial Road,secondary,40,False,True,100.10799999999999,"LINESTRING (120.5634968 15.9799872, 120.5642652 15.979581, 120.5643162 15.9795514)",,,,
841683477,2,High School Drive,tertiary,30,False,False,257.46999999999997,"LINESTRING (120.5634968 15.9799872, 120.5635024 15.9797462, 120.5634927 15.9793129, 120.5635088 15.9790162, 120.5635245 15.978792, 120.563525 15.9786953, 120.5635679 15.9781937, 120.5635834 15.9778413, 120.5635896 15.9777682, 120.5635981 15.9776754)",,,,
43494515,,Lachica Street,tertiary,30,False,True,121.28500000000001,"LINESTRING (120.563811 15.9755973, 120.5637922 15.9758813, 120.563761 15.9764094, 120.5637329 15.9766853)",,,,
1217064001,,Lachica Street,tertiary,30,False,False,5.039,"LINESTRING (120.563811 15.9755973, 120.5638128 15.975573, 120.5638144 15.9755521)",no,,,
1217064004,2,Calle Garcia Street,primary,60,True,False,44.893,"LINESTRING (120.563811 15.9755973, 120.5634559 15.9755674, 120.5634084 15.9755269)",,57,,
1090803355,2,Amadeo R. Perez Jr. Avenue,primary,40,True,False,123.139,"LINESTRING (120.5699997 15.9758291, 120.5698456 15.9758295, 120.5688478 15.9758324)",,57,,
