osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction
251432615,,,residential,False,True,139.289,"LINESTRING (124.442777 6.8643594, 124.4417202 6.8636751)",,,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,False,24.519,"LINESTRING (124.442777 6.8643594, 124.4426563 6.8645445)",1,60,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,True,69.038,"LINESTRING (124.442777 6.8643594, 124.4430962 6.8638255)",1,60,,
251432617,,,residential,False,False,249.31099999999998,"LINESTRING (124.4402226 6.8642462, 124.4407198 6.8645645, 124.4410443 6.8647616, 124.4412643 6.8649, 124.4419187 6.8652995, 124.4421382 6.8654334)",,,,
822624926,,,residential,False,False,146.577,"LINESTRING (124.4402226 6.8642462, 124.4403255 6.8640718, 124.440406 6.8639467, 124.4405481 6.8636924, 124.4408996 6.8631125)",,,,
251432615,,,residential,False,False,110.094,"LINESTRING (124.4408996 6.8631125, 124.4417202 6.8636751)",,,,
251432615,,,residential,False,True,115.647,"LINESTRING (124.4408996 6.8631125, 124.4400426 6.8625144)",,,,
"[251432616, 822624926]",,,residential,False,False,168.23,"LINESTRING (124.4408996 6.8631125, 124.4411912 6.8626729, 124.4412978 6.8627217, 124.4414454 6.8627883, 124.4415835 6.8628695, 124.44168 6.8629268, 124.4420421 6.8631771)",,,,
822624926,,,residential,False,True,146.577,"LINESTRING (124.4408996 6.8631125, 124.4405481 6.8636924, 124.440406 6.8639467, 124.4403255 6.8640718, 124.4402226 6.8642462)",,,,
251432613,,,residential,False,False,65.797,"LINESTRING (124.4420421 6.8631771, 124.4417202 6.8636751)",,,,
251432613,,,residential,False,True,75.315,"LINESTRING (124.4420421 6.8631771, 124.4423868 6.8625926)",,,,
251432616,,,residential,False,False,136.896,"LINESTRING (124.4420421 6.8631771, 124.4430962 6.8638255)",,,,
"[251432616, 822624926]",,,residential,False,True,168.23000000000002,"LINESTRING (124.4420421 6.8631771, 124.44168 6.8629268, 124.4415835 6.8628695, 124.4414454 6.8627883, 124.4412978 6.8627217, 124.4411912 6.8626729, 124.4408996 6.8631125)",,,,
251432616,,,residential,False,True,136.896,"LINESTRING (124.4430962 6.8638255, 124.4420421 6.8631771)",,,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,False,69.038,"LINESTRING (124.4430962 6.8638255, 124.442777 6.8643594)",1,60,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,True,73.729,"LINESTRING (124.4430962 6.8638255, 124.4434362 6.8632548)",1,60,,
251432616,,,residential,False,False,130.434,"LINESTRING (124.4430962 6.8638255, 124.4437413 6.864221, 124.444098 6.8644473)",,,,
251432608,,,residential,False,False,103.55,"LINESTRING (124.444098 6.8644473, 124.4445766 6.8636464)",,,,
251432608,,,residential,False,True,90.493,"LINESTRING (124.444098 6.8644473, 124.4436608 6.8651357)",,,,
251432616,,,residential,False,True,130.434,"LINESTRING (124.444098 6.8644473, 124.4437413 6.864221, 124.4430962 6.8638255)",,,,
289080680,,,residential,False,True,135.31,"LINESTRING (124.4456109 6.857192, 124.4458777 6.8573451, 124.4460922 6.8574543, 124.4466743 6.8577964)",,,,
289080684,,,residential,False,True,92.49000000000001,"LINESTRING (124.4456109 6.857192, 124.4454341 6.8574932, 124.4451781 6.8579041)",,,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,False,95.88499999999999,"LINESTRING (124.4466743 6.8577964, 124.4464918 6.8581084, 124.4462385 6.8585423)",1,60,,
289080680,,,residential,False,False,135.31,"LINESTRING (124.4466743 6.8577964, 124.4460922 6.8574543, 124.4458777 6.8573451, 124.4456109 6.857192)",,,,
289080684,,,residential,False,True,116.585,"LINESTRING (124.4451781 6.8579041, 124.4446277 6.8587989)",,,,
289080681,,,residential,False,False,136.92499999999998,"LINESTRING (124.4451781 6.8579041, 124.4453573 6.8580188, 124.4455719 6.8581546, 124.4458629 6.8583265, 124.4460399 6.8584276, 124.4462385 6.8585423)",,,,
289080684,,,residential,False,False,92.49000000000001,"LINESTRING (124.4451781 6.8579041, 124.4454341 6.8574932, 124.4456109 6.857192)",,,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,False,117.78,"LINESTRING (124.4462385 6.8585423, 124.4459768 6.8589825, 124.4456816 6.8594456)",1,60,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,True,95.88499999999999,"LINESTRING (124.4462385 6.8585423, 124.4464918 6.8581084, 124.4466743 6.8577964)",1,60,,
289080681,,,residential,False,True,136.925,"LINESTRING (124.4462385 6.8585423, 124.4460399 6.8584276, 124.4458629 6.8583265, 124.4455719 6.8581546, 124.4453573 6.8580188, 124.4451781 6.8579041)",,,,
289080683,,,unclassified,False,False,113.942,"LINESTRING (124.4429425 6.8589811, 124.4434844 6.858109)",,,,
335897179,,,tertiary,False,False,74.118,"LINESTRING (124.4429425 6.8589811, 124.4423744 6.8586259)",,,,
335897179,,,tertiary,False,True,147.835,"LINESTRING (124.4429425 6.8589811, 124.4440723 6.8596948)",,,,
289080683,,,unclassified,False,True,127.80699999999999,"LINESTRING (124.4429425 6.8589811, 124.4426429 6.8595021, 124.4423774 6.8599842)",,,,
289080684,,,residential,False,False,60.468,"LINESTRING (124.4437865 6.8601587, 124.4440723 6.8596948)",,,,
289080682,,,residential,False,True,139.00799999999998,"LINESTRING (124.4437865 6.8601587, 124.4444058 6.8605733, 124.4448267 6.8608631)",,,,
289080684,,,residential,False,True,204.32399999999998,"LINESTRING (124.4437865 6.8601587, 124.4435361 6.8605487, 124.4433838 6.8608263, 124.4433316 6.8609089, 124.4433195 6.8609119, 124.4433054 6.8609056, 124.4432826 6.8608922, 124.4431713 6.8608177, 124.4428977 6.8606273, 124.4428683 6.8605913, 124.4428642 6.8605527, 124.4428682 6.8604908, 124.4428823 6.8604488, 124.4429742 6.8602757, 124.4430039 6.860229)",,,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,False,22.759,"LINESTRING (124.4448267 6.8608631, 124.4447213 6.861039)",1,60,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,True,63.102000000000004,"LINESTRING (124.4448267 6.8608631, 124.4450335 6.8605201, 124.4451203 6.8603762)",1,60,,
289080682,,,residential,False,False,139.00799999999998,"LINESTRING (124.4448267 6.8608631, 124.4444058 6.8605733, 124.4437865 6.8601587)",,,,
325121412,,,residential,False,True,109.167,"LINESTRING (124.4413126 6.8568072, 124.4407922 6.857642)",,,,
325121417,,,residential,False,False,47.122,"LINESTRING (124.4413126 6.8568072, 124.44168 6.8570229)",,,,
