osmid,highway,oneway,reversed,length,lanes,geometry,bridge
278473315,residential,False,True,84.108,,"LINESTRING (125.0745423 9.9216387, 125.0737963 9.921818)",
458088364,tertiary,False,False,126.889,2,"LINESTRING (125.0745423 9.9216387, 125.074867 9.9227341)",
458088364,tertiary,False,True,112.255,2,"LINESTRING (125.0745423 9.9216387, 125.0743124 9.9206549)",
278473315,residential,False,False,84.108,,"LINESTRING (125.0737963 9.921818, 125.0745423 9.9216387)",
457890136,residential,False,False,106.422,2,"LINESTRING (125.0737963 9.921818, 125.0739377 9.9221971, 125.0740115 9.9227455)",
457890136,residential,False,True,110.4,2,"LINESTRING (125.0737963 9.921818, 125.0735442 9.9213042, 125.0734683 9.9211064, 125.0734091 9.9209039)",
159860158,residential,False,True,93.713,,"LINESTRING (125.074867 9.9227341, 125.0740115 9.9227455)",
458088364,tertiary,False,False,126.194,2,"LINESTRING (125.074867 9.9227341, 125.0751253 9.9238401)",
458088364,tertiary,False,True,126.889,2,"LINESTRING (125.074867 9.9227341, 125.0745423 9.9216387)",
159860158,residential,False,False,93.713,,"LINESTRING (125.0740115 9.9227455, 125.074867 9.9227341)",
457890136,residential,False,False,99.862,2,"LINESTRING (125.0740115 9.9227455, 125.073888 9.9236353)",
457890136,residential,False,True,106.422,2,"LINESTRING (125.0740115 9.9227455, 125.0739377 9.9221971, 125.0737963 9.921818)",
457890136,residential,False,True,99.862,2,"LINESTRING (125.073888 9.9236353, 125.0740115 9.9227455)",
475485084,residential,False,False,137.423,2,"LINESTRING (125.073888 9.9236353, 125.0751253 9.9238401)",
457890136,residential,False,False,216.981,2,"LINESTRING (125.073888 9.9236353, 125.0737245 9.9244637, 125.0735447 9.9254802, 125.0736189 9.9254996)",
458088364,tertiary,False,False,196.455,2,"LINESTRING (125.0751253 9.9238401, 125.0748008 9.9255777)",
458088364,tertiary,False,True,126.194,2,"LINESTRING (125.0751253 9.9238401, 125.074867 9.9227341)",
475485084,residential,False,True,137.423,2,"LINESTRING (125.0751253 9.9238401, 125.073888 9.9236353)",
475485085,residential,False,False,129.745,,"LINESTRING (125.0736189 9.9254996, 125.0748008 9.9255777)",
457890136,residential,False,False,93.896,2,"LINESTRING (125.0736189 9.9254996, 125.0736162 9.9261587, 125.0735576 9.9263348)",
457890136,residential,False,True,216.981,2,"LINESTRING (125.0736189 9.9254996, 125.0735447 9.9254802, 125.0737245 9.9244637, 125.073888 9.9236353)",
458088364,tertiary,False,True,196.455,2,"LINESTRING (125.0748008 9.9255777, 125.0751253 9.9238401)",
475485085,residential,False,True,129.745,,"LINESTRING (125.0748008 9.9255777, 125.0736189 9.9254996)",
458088364,tertiary,False,False,127.00200000000001,2,"LINESTRING (125.0748008 9.9255777, 125.0747252 9.9261076, 125.0743832 9.9266126)",
159860143,residential,False,True,95.559,,"LINESTRING (125.0735576 9.9263348, 125.0743832 9.9266126)",
457890136,residential,False,False,159.397,2,"LINESTRING (125.0735576 9.9263348, 125.0731918 9.9267013, 125.0730882 9.9268244, 125.073018 9.9268483, 125.0730532 9.9269023, 125.0731493 9.9270204, 125.0731923 9.9270776, 125.0732336 9.9271754, 125.0732336 9.9272992, 125.0733281 9.9274415)",
457890136,residential,False,True,93.896,2,"LINESTRING (125.0735576 9.9263348, 125.0736162 9.9261587, 125.0736189 9.9254996)",
159860143,residential,False,False,95.559,,"LINESTRING (125.0743832 9.9266126, 125.0735576 9.9263348)",
458088364,tertiary,False,False,156.869,2,"LINESTRING (125.0743832 9.9266126, 125.0740358 9.9271412, 125.0738851 9.9272787, 125.0736332 9.9273971, 125.0733281 9.9274415)",
458088364,tertiary,False,True,127.00200000000001,2,"LINESTRING (125.0743832 9.9266126, 125.0747252 9.9261076, 125.0748008 9.9255777)",
458089973,residential,False,False,102.742,,"LINESTRING (125.0734091 9.9209039, 125.0743124 9.9206549)",
457890136,residential,False,False,110.4,2,"LINESTRING (125.0734091 9.9209039, 125.0734683 9.9211064, 125.0735442 9.9213042, 125.0737963 9.921818)",
159860149,tertiary,False,False,262.882,2,"LINESTRING (125.0733281 9.9274415, 125.0731615 9.9274929, 125.0731101 9.9275038, 125.0729021 9.9273884, 125.0722301 9.9271956, 125.0721458 9.9271811, 125.0716284 9.9271971, 125.0713752 9.9272299, 125.0711509 9.9272736, 125.0710925 9.9273004, 125.0710445 9.9273666)",
457890136,residential,False,True,159.397,2,"LINESTRING (125.0733281 9.9274415, 125.0732336 9.9272992, 125.0732336 9.9271754, 125.0731923 9.9270776, 125.0731493 9.9270204, 125.0730532 9.9269023, 125.073018 9.9268483, 125.0730882 9.9268244, 125.0731918 9.9267013, 125.0735576 9.9263348)",
458088364,tertiary,False,True,156.869,2,"LINESTRING (125.0733281 9.9274415, 125.0736332 9.9273971, 125.0738851 9.9272787, 125.0740358 9.9271412, 125.0743832 9.9266126)",
159860149,tertiary,False,True,262.882,2,"LINESTRING (125.0710445 9.9273666, 125.0710925 9.9273004, 125.0711509 9.9272736, 125.0713752 9.9272299, 125.0716284 9.9271971, 125.0721458 9.9271811, 125.0722301 9.9271956, 125.0729021 9.9273884, 125.0731101 9.9275038, 125.0731615 9.9274929, 125.0733281 9.9274415)",
"[458089472, 1046759551, 475503831]",tertiary,False,False,68.29599999999999,1,"LINESTRING (125.0710445 9.9273666, 125.0706649 9.9272078, 125.070479 9.9271569, 125.0704615 9.9271521)",yes
"[458089472, 475503831, 1046759551]",tertiary,False,True,68.29599999999999,1,"LINESTRING (125.0704615 9.9271521, 125.070479 9.9271569, 125.0706649 9.9272078, 125.0710445 9.9273666)",yes
458088364,tertiary,False,False,112.255,2,"LINESTRING (125.0743124 9.9206549, 125.0745423 9.9216387)",
458089973,residential,False,True,102.742,,"LINESTRING (125.0743124 9.9206549, 125.0734091 9.9209039)",
