osmid,oneway,lanes,ref,highway,reversed,length,name,access,geometry,junction
109267757,False,2,690,primary,False,208.145,,,"LINESTRING (125.2002064 10.391776, 125.2006147 10.3936043)",
340596499,False,,,residential,True,265.227,Himay-angan-Silago-Abuyog Boundary Road,yes,"LINESTRING (125.2002064 10.391776, 125.198014 10.3927954)",
109265758,False,2,,residential,True,64.834,Labrador Street,yes,"LINESTRING (125.1990235 10.3963729, 125.199535 10.3966676)",
109265965,False,2,690,primary,True,62.27,Rizal Street,yes,"LINESTRING (125.1990235 10.3963729, 125.1993848 10.3959401)",
340596500,False,,,tertiary,False,94.887,Labrador Street,yes,"LINESTRING (125.1990235 10.3963729, 125.1982991 10.3959033)",
340596502,False,2,690,primary,True,52.47,Rizal Street,yes,"LINESTRING (125.1990235 10.3963729, 125.1987731 10.3967754)",
109264858,False,,,residential,True,129.303,Calle Nueva,,"LINESTRING (125.1966376 10.3948382, 125.1960308 10.3958362)",
340596500,False,,,tertiary,True,216.906,Labrador Street,yes,"LINESTRING (125.1966376 10.3948382, 125.1982991 10.3959033)",
340596501,False,,,residential,False,139.658,Nueva Street,yes,"LINESTRING (125.1966376 10.3948382, 125.1973375 10.3937877)",
340596499,False,,,residential,False,265.227,Himay-angan-Silago-Abuyog Boundary Road,yes,"LINESTRING (125.198014 10.3927954, 125.2002064 10.391776)",
340596501,False,,,residential,True,133.122,Nueva Street,yes,"LINESTRING (125.198014 10.3927954, 125.1978658 10.3929763, 125.1976943 10.3931969, 125.1973375 10.3937877)",
"[624149764, 624149765]",False,,,residential,False,282.02099999999996,,,"LINESTRING (125.198014 10.3927954, 125.197947 10.3926571, 125.1978531 10.3924209, 125.1976727 10.3921129, 125.1974152 10.3917904, 125.1972254 10.3915747, 125.1966414 10.3912153, 125.1964564 10.3910887, 125.1962927 10.3911678)",
109264855,False,,,residential,False,73.614,Catmonan Street,yes,"LINESTRING (125.1988055 10.3977324, 125.1982338 10.397383)",
109264855,False,,,residential,True,56.297,Catmonan Street,yes,"LINESTRING (125.1988055 10.3977324, 125.1992351 10.3980113)",
109266474,False,,,residential,False,142.774,Arellano Street,yes,"LINESTRING (125.1988055 10.3977324, 125.199535 10.3966676)",
109266474,False,,,residential,True,102.804,Arellano Street,yes,"LINESTRING (125.1988055 10.3977324, 125.1982604 10.3984856)",
109264855,False,,,residential,True,204.67,Catmonan Street,yes,"LINESTRING (125.1960308 10.3958362, 125.1975846 10.396862)",
109264858,False,,,residential,False,129.303,Calle Nueva,,"LINESTRING (125.1960308 10.3958362, 125.1966376 10.3948382)",
109264944,False,,,residential,True,198.995,Manilili Street,yes,"LINESTRING (125.203068 10.3945572, 125.2019461 10.3959661)",
109269780,False,,,residential,False,117.728,,,"LINESTRING (125.203068 10.3945572, 125.2021987 10.3939328)",
1212914977,False,,,residential,False,43.619,,,"LINESTRING (125.203068 10.3945572, 125.2032533 10.394659, 125.2033807 10.3947286, 125.2034144 10.3947513)",
109264855,False,,,residential,False,204.67,Catmonan Street,yes,"LINESTRING (125.1975846 10.396862, 125.1960308 10.3958362)",
109264855,False,,,residential,True,91.638,Catmonan Street,yes,"LINESTRING (125.1975846 10.396862, 125.1982338 10.397383)",
814059058,False,,,residential,True,81.726,Aglipay Street,yes,"LINESTRING (125.1975846 10.396862, 125.1980129 10.3963352, 125.1980476 10.3962853)",
109265757,False,,,residential,False,107.965,Aglipay Street,yes,"LINESTRING (125.2006147 10.3936043, 125.1997366 10.3940479)",
109267757,False,2,690,primary,False,57.971,,,"LINESTRING (125.2006147 10.3936043, 125.2007599 10.3941057)",
109267757,False,2,690,primary,True,208.145,,,"LINESTRING (125.2006147 10.3936043, 125.2002064 10.391776)",
109264944,False,,,residential,False,212.515,Manilili Street,yes,"LINESTRING (125.2007951 10.3975059, 125.2019461 10.3959661)",
109265758,False,2,,residential,False,117.091,Labrador Street,yes,"LINESTRING (125.2007951 10.3975059, 125.1998938 10.3969376)",
1212914990,False,,,unclassified,False,37.083,,,"LINESTRING (125.2007951 10.3975059, 125.2008808 10.3975571, 125.2010225 10.397654, 125.2010811 10.3976843)",
109267757,False,2,690,primary,True,57.971,,,"LINESTRING (125.2007599 10.3941057, 125.2006147 10.3936043)",
340596504,False,,,residential,False,77.594,,,"LINESTRING (125.2007599 10.3941057, 125.2009214 10.3947852)",
109265965,False,2,690,primary,False,94.384,Rizal Street,yes,"LINESTRING (125.2007599 10.3941057, 125.2006781 10.3942149, 125.200449 10.3945204, 125.2002524 10.3947922)",
109266474,False,,,residential,True,42.257,Arellano Street,yes,"LINESTRING (125.2009214 10.3947852, 125.2006878 10.3950879)",
340596504,False,,,residential,True,77.594,,,"LINESTRING (125.2009214 10.3947852, 125.2007599 10.3941057)",
492880594,False,,,residential,False,89.581,,,"LINESTRING (125.2009214 10.3947852, 125.2011354 10.3945922, 125.2014385 10.3941661)",
814059057,False,,,residential,False,11.704000000000002,,,"LINESTRING (125.1991009 10.394638, 125.1991153 10.3946536, 125.1991244 10.3946727, 125.1991277 10.3946935, 125.1991249 10.3947143, 125.1991161 10.3947335)",circular
814059057,False,,,residential,True,14.254999999999999,,,"LINESTRING (125.1991009 10.394638, 125.1990783 10.3946253, 125.1990526 10.3946211, 125.1990269 10.3946259, 125.1990046 10.394639, 125.1989882 10.394659)",circular
"[814059060, 109265757]",False,,,residential,True,97.195,Aglipay Street,yes,"LINESTRING (125.1991009 10.394638, 125.1991387 10.3945826, 125.1992726 10.3943996, 125.1994669 10.3942019, 125.1996434 10.394095, 125.1997366 10.3940479)",
