osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
78884324,2,secondary,False,False,127.94800000000001,Sabang Road,,"LINESTRING (120.7659033 14.3206248, 120.7660752 14.3208249, 120.766688 14.3214883)",402,40
"[152457656, 78959755, 78959773]",2,secondary,False,True,100.544,"['J. Poblete Street', 'Sabang Road', 'Kay-Alamang Bridge']",yes,"LINESTRING (120.7659033 14.3206248, 120.7658225 14.3205235, 120.7655416 14.320201, 120.7653874 14.3200568, 120.7652674 14.3199676)",402,40
152457850,,tertiary,False,False,322.058,,,"LINESTRING (120.7659033 14.3206248, 120.7653387 14.3211836, 120.7649436 14.3216887, 120.7647656 14.3219801, 120.7643178 14.3230364)",,
57745774,2,unclassified,False,True,90.141,Ciriaco Nazareno,,"LINESTRING (120.7638532 14.3200306, 120.7643284 14.3193634)",,
879491984,2,secondary,True,False,118.069,Ciriaco Nazareno Street,,"LINESTRING (120.7656503 14.3178418, 120.7663375 14.3170147)",402,40
879491986,1,secondary,True,False,61.171,Captain Yoyo Jocson,,"LINESTRING (120.7656503 14.3178418, 120.7661368 14.3181254)",,
78959754,2,secondary,False,True,50.235,Ciriaco Nazareno Street,,"LINESTRING (120.7663375 14.3170147, 120.766666 14.3166941)",402,40
939282244,1.5,residential,False,False,64.083,P. Burgos,,"LINESTRING (120.7663375 14.3170147, 120.7668094 14.3173655)",,
939282244,1.5,residential,False,True,98.156,P. Burgos,,"LINESTRING (120.7663375 14.3170147, 120.7655557 14.3165615)",,
78884324,2,secondary,False,True,244.39600000000002,Sabang Road,,"LINESTRING (120.7684463 14.3226067, 120.7681584 14.3226776, 120.7679546 14.3226606, 120.7677847 14.3225885, 120.7675638 14.322416, 120.7667759 14.3215835, 120.766688 14.3214883)",402,40
"[79292376, 645185266]",,tertiary,False,True,211.12300000000005,,,"LINESTRING (120.7684463 14.3226067, 120.7684387 14.3221378, 120.7684443 14.3218692, 120.7684498 14.3217224, 120.7684632 14.321582, 120.7684793 14.3214638, 120.7685181 14.3213624, 120.7685508 14.3213028, 120.7685865 14.3212377, 120.7686487 14.3211372, 120.7687177 14.321031, 120.7687533 14.320968, 120.768775 14.3209221, 120.7687691 14.3208781, 120.7687455 14.3208494, 120.7686896 14.3208272)",,
188564084,1,secondary,True,False,45.884,Captain Yoyo Jocson,,"LINESTRING (120.7636015 14.3167777, 120.7639806 14.3169657)",,
884734226,1,secondary,False,False,48.152,,,"LINESTRING (120.7636015 14.3167777, 120.7634742 14.3171928)",,
