osmid,highway,oneway,reversed,length,name,bridge,lanes,width,geometry
107732284,residential,False,False,168.161,,,,,"LINESTRING (120.5992258 14.9413596, 120.600595 14.9420924)"
"[109570560, 109570564, 109570568, 107725821, 109570557]",secondary,False,False,432.697,"['Lubao Old National Road', 'San Fernando-Lubao Road']",yes,2,5,"LINESTRING (120.5992258 14.9413596, 120.5992373 14.9413388, 120.5993164 14.9411784, 120.5997886 14.9402386, 120.5999248 14.9399774, 120.6001148 14.9395577, 120.6003336 14.9390593, 120.6004994 14.938681, 120.6005528 14.9385527, 120.600646 14.9383136, 120.6006985 14.9380947, 120.6007056 14.938051, 120.6007518 14.9377747)"
107843564,residential,False,True,82.08,,,,,"LINESTRING (120.6009933 14.9354098, 120.6012723 14.9350277, 120.6014706 14.9348367)"
"[109570555, 159480693, 159480699]",tertiary,False,False,100.134,,yes,,,"LINESTRING (120.6009933 14.9354098, 120.6006418 14.9351925, 120.6005852 14.935147, 120.6002193 14.934909)"
109570555,tertiary,False,True,135.118,,,,,"LINESTRING (120.6009933 14.9354098, 120.6011579 14.93554, 120.6012902 14.9356822, 120.6013619 14.935824, 120.601455 14.9361228, 120.6015462 14.93646)"
109570559,tertiary,False,False,145.214,,,,,"LINESTRING (120.6014914 14.9391685, 120.6015071 14.9388105, 120.601511 14.9386142, 120.6015156 14.9383736, 120.6015317 14.9381964, 120.601567 14.9378654)"
158621677,secondary,False,False,111.309,Lubao-Sasmuan National Road,,2,6,"LINESTRING (120.6014914 14.9391685, 120.6019536 14.9391579, 120.6022619 14.9391513, 120.6025264 14.939131)"
613964180,secondary,False,True,206.2,,,,,"LINESTRING (120.6014914 14.9391685, 120.6014116 14.9395934, 120.6010872 14.940981)"
295329558,secondary,False,True,12.853,,,,,"LINESTRING (120.6006681 14.9420009, 120.600595 14.9420924)"
107732089,residential,False,False,96.72399999999999,Calle Bulalo,,,,"LINESTRING (120.6006681 14.9420009, 120.6011172 14.9421271, 120.6015396 14.9422173)"
"[109570569, 613964180, 295329558]",secondary,False,False,122.162,,yes,2,10,"LINESTRING (120.6006681 14.9420009, 120.6009087 14.9414842, 120.6009619 14.9413488, 120.6010317 14.9411477, 120.6010872 14.940981)"
107729941,tertiary,False,False,96.89699999999999,,,,,"LINESTRING (120.601567 14.9378654, 120.6016241 14.9378764, 120.6024676 14.93786)"
