osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,geometry
337123362,residential,False,False,50.137,,,,,"LINESTRING (126.4133745 8.035346, 126.4133196 8.0357936)"
398103310,residential,False,True,38.699,2,40,,,"LINESTRING (126.4133745 8.035346, 126.4137259 8.0353534)"
1202957967,trunk,False,True,91.254,2,40,902,Surigao-Davao Coastal Road,"LINESTRING (126.4133745 8.035346, 126.4125457 8.0353447)"
337123357,unclassified,False,False,159.16500000000002,2,40,,,"LINESTRING (126.4104576 8.0389062, 126.4105448 8.0388445, 126.4106414 8.03879, 126.4107513 8.0387509, 126.4108734 8.038727, 126.4109968 8.0387203, 126.4118591 8.0387056)"
1202957968,trunk,False,False,194.192,2,40,902,Surigao-Davao Coastal Road,"LINESTRING (126.4104576 8.0389062, 126.4104878 8.0388153, 126.4105099 8.0387303, 126.4105267 8.038632, 126.4105529 8.0384508, 126.4105931 8.0381799, 126.4106266 8.0378478, 126.4106628 8.0374841, 126.410695 8.0371786)"
337123358,unclassified,False,False,208.255,2,40,,,"LINESTRING (126.4143089 8.0384481, 126.4141216 8.0378293, 126.4139619 8.0373154, 126.4139003 8.0371016, 126.4138627 8.0369356, 126.4138399 8.0367855, 126.4138184 8.0366421)"
398104621,residential,False,False,33.876999999999995,,,,,"LINESTRING (126.4143089 8.0384481, 126.4143495 8.0384846, 126.4143898 8.0385304, 126.414426 8.0385822, 126.4144521 8.0386333, 126.4144796 8.0386971)"
1202957966,unclassified,False,True,20.970999999999997,2,40,,,"LINESTRING (126.4143089 8.0384481, 126.4143059 8.0384999, 126.4142966 8.0385484, 126.4142764 8.0385898, 126.4142503 8.0386221)"
337123365,residential,False,False,59.493,,,,,"LINESTRING (126.4138184 8.0366421, 126.4143549 8.0365784)"
337123365,residential,False,True,61.273,,,,,"LINESTRING (126.4138184 8.0366421, 126.4132619 8.0366408)"
337123358,unclassified,False,False,94.93,2,40,,,"LINESTRING (126.4138184 8.0366421, 126.4137789 8.0362723, 126.4137501 8.0359768, 126.413738 8.0357922)"
337123358,unclassified,False,True,208.255,2,40,,,"LINESTRING (126.4138184 8.0366421, 126.4138399 8.0367855, 126.4138627 8.0369356, 126.4139003 8.0371016, 126.4139619 8.0373154, 126.4141216 8.0378293, 126.4143089 8.0384481)"
337123358,unclassified,False,False,48.811,2,40,,,"LINESTRING (126.413738 8.0357922, 126.4137259 8.0353534)"
337123363,residential,False,False,46.067,,,,,"LINESTRING (126.413738 8.0357922, 126.4133196 8.0357936)"
337123363,residential,False,True,51.048,,,,,"LINESTRING (126.413738 8.0357922, 126.4142007 8.035763)"
337123358,unclassified,False,True,94.93,2,40,,,"LINESTRING (126.413738 8.0357922, 126.4137501 8.0359768, 126.4137789 8.0362723, 126.4138184 8.0366421)"
337123358,unclassified,False,True,48.811,2,40,,,"LINESTRING (126.4137259 8.0353534, 126.413738 8.0357922)"
398103310,residential,False,False,38.699,2,40,,,"LINESTRING (126.4137259 8.0353534, 126.4133745 8.035346)"
852274707,residential,False,False,69.916,,,,,"LINESTRING (126.4137259 8.0353534, 126.4137541 8.0353421, 126.4137661 8.0353128, 126.4137742 8.035281, 126.413805 8.0350991, 126.4138238 8.0350114, 126.4138493 8.0347525)"
337123360,residential,False,False,142.029,,,,,"LINESTRING (126.410695 8.0371786, 126.4119838 8.037233)"
