osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,bridge
4725393,2,A. Mabini Street,secondary,40,6.1,False,False,46.108,"LINESTRING (121.5539432 14.1142483, 121.5541148 14.1146281)",,
28617237,2,A. Mabini Street,unclassified,,,False,False,36.061,"LINESTRING (121.5539432 14.1142483, 121.5538052 14.1139529)",,
319956486,2,Armando Racellis Avenue,unclassified,,,False,False,66.139,"LINESTRING (121.5539432 14.1142483, 121.5544932 14.1139851)",,
744242053,2,Armando Racellis Avenue,secondary,40,6.1,False,True,34.141,"LINESTRING (121.5539432 14.1142483, 121.5537246 14.1143398, 121.5536541 14.1143733)",,
4725408,2,C. Arellano Street,residential,,,False,False,68.005,"LINESTRING (121.5571932 14.1161139, 121.5577752 14.1158784)",,
4725408,2,C. Arellano Street,residential,,,False,True,64.421,"LINESTRING (121.5571932 14.1161139, 121.556654 14.1163633)",,
262255189,2,Don Querino,residential,,,False,False,33.018,"LINESTRING (121.5571932 14.1161139, 121.5570642 14.1158446)",,
4725400,2,Rizal Avenue,secondary,40,,False,False,37.009,"LINESTRING (121.5550556 14.1151356, 121.5552014 14.1154369)",603,
4725400,2,Rizal Avenue,secondary,40,,False,True,58.743,"LINESTRING (121.5550556 14.1151356, 121.5548394 14.1146507)",603,
744242056,2,Concepcion Street,residential,,,False,False,64.191,"LINESTRING (121.5550556 14.1151356, 121.5555973 14.1148963)",,
744242056,2,Concepcion Street,residential,,,False,True,67.444,"LINESTRING (121.5550556 14.1151356, 121.5544792 14.115371)",,
4725400,2,Rizal Avenue,secondary,40,,False,False,65.263,"LINESTRING (121.5558448 14.1167372, 121.5560964 14.117271)",603,
4725400,2,Rizal Avenue,secondary,40,,False,True,35.469,"LINESTRING (121.5558448 14.1167372, 121.5557019 14.1164499)",603,
4725408,2,C. Arellano Street,residential,,,False,False,55.594,"LINESTRING (121.5558448 14.1167372, 121.5563086 14.1165189)",,
4725408,2,C. Arellano Street,residential,,,False,True,76.117,"LINESTRING (121.5558448 14.1167372, 121.5552086 14.1170337)",,
4725393,2,A. Mabini Street,secondary,40,6.1,False,True,46.108,"LINESTRING (121.5541148 14.1146281, 121.5539432 14.1142483)",,
26639032,2,Quezon Avenue,secondary,40,6.1,False,False,69.584,"LINESTRING (121.5541148 14.1146281, 121.5547023 14.1143693)",,
84719823,2,A. Mabini Street,residential,,,False,False,34.566,"LINESTRING (121.5541148 14.1146281, 121.5542352 14.1149162)",,
