osmid,lanes,ref,name,highway,maxspeed,est_width,oneway,reversed,length,geometry,bridge
186083467,2,810,Cebu North Road,trunk,50,7,False,False,28.613,"LINESTRING (124.0040698 10.7496349, 124.0040661 10.7498922)",
186083467,2,810,Cebu North Road,trunk,50,7,False,True,10.007,"LINESTRING (124.0040698 10.7496349, 124.0040741 10.749545)",
154648864,,,,residential,,,False,False,96.14399999999999,"LINESTRING (124.0040698 10.7496349, 124.0047425 10.7496234, 124.0049494 10.749611)",
857066163,2,810,Cebu North Road,trunk,50,7,False,False,54.098,"LINESTRING (124.0041877 10.7510507, 124.0042081 10.7515368)",
"[154648848, 900743785, 900743786, 154648843]",,,,residential,,,False,False,211.94699999999997,"LINESTRING (124.0041877 10.7510507, 124.0040712 10.7510475, 124.0034473 10.7509359, 124.0033517 10.7509282, 124.0033824 10.7502364, 124.0033876 10.7501178, 124.0033993 10.7498549)",yes
"[857066163, 857066164, 186083467]",2,810,Cebu North Road,trunk,50,7,False,True,129.553,"LINESTRING (124.0041877 10.7510507, 124.0041117 10.750458, 124.0040888 10.7502252, 124.0040809 10.7501446, 124.0040769 10.7501038, 124.0040661 10.7498922)",yes
857066163,2,810,Cebu North Road,trunk,50,7,False,True,54.098,"LINESTRING (124.0042081 10.7515368, 124.0041877 10.7510507)",
154648845,,,,residential,,,False,False,72.962,"LINESTRING (124.0040661 10.7498922, 124.0033993 10.7498549)",
186083467,2,810,Cebu North Road,trunk,50,7,False,True,28.613,"LINESTRING (124.0040661 10.7498922, 124.0040698 10.7496349)",
"[186083467, 857066164, 857066163]",2,810,Cebu North Road,trunk,50,7,False,False,129.553,"LINESTRING (124.0040661 10.7498922, 124.0040769 10.7501038, 124.0040809 10.7501446, 124.0040888 10.7502252, 124.0041117 10.750458, 124.0041877 10.7510507)",yes
154648845,,,,residential,,,False,True,72.962,"LINESTRING (124.0033993 10.7498549, 124.0040661 10.7498922)",
154648848,,,,residential,,,False,False,39.562,"LINESTRING (124.0033993 10.7498549, 124.0033735 10.7497718, 124.0033689 10.7497063, 124.0033866 10.7495038)",
"[154648848, 900743785, 900743786, 154648843]",,,,residential,,,False,True,211.94699999999997,"LINESTRING (124.0033993 10.7498549, 124.0033876 10.7501178, 124.0033824 10.7502364, 124.0033517 10.7509282, 124.0034473 10.7509359, 124.0040712 10.7510475, 124.0041877 10.7510507)",yes
