osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,width,bridge
214783104,residential,False,False,171.581,"LINESTRING (121.3234296 14.3515844, 121.3234618 14.3515591, 121.3235423 14.3515435, 121.3236469 14.3515383, 121.3237435 14.3515136, 121.3240814 14.3512992, 121.3241418 14.3512681, 121.324186 14.3512551, 121.3242263 14.3512525, 121.3242906 14.3512512, 121.3243543 14.3512538, 121.3244046 14.3512369, 121.3244375 14.3512031, 121.3244549 14.3511394, 121.3244596 14.3510719, 121.3244234 14.3507458)",,,,,
1177157875,secondary,False,False,95.277,"LINESTRING (121.3234296 14.3515844, 121.3232928 14.3510452, 121.323211 14.3507542)",2,Pililia-Jalajala Road,50,7,
"[1006877810, 1177157875, 1177157876]",secondary,False,True,35.298,"LINESTRING (121.3234296 14.3515844, 121.3234546 14.3516962, 121.3234698 14.3518166, 121.3234819 14.3518975)",2,Pililia-Jalajala Road,50,7,yes
52011278,unclassified,False,False,81.877,"LINESTRING (121.3245824 14.3515091, 121.3246135 14.3515058, 121.324645 14.3515032, 121.3246765 14.3514922, 121.3248552 14.3513856, 121.3250457 14.3512765, 121.3252629 14.3511961)",,Manggahan Road,,,
52011278,unclassified,False,True,79.231,"LINESTRING (121.3245824 14.3515091, 121.3244482 14.3514753, 121.324351 14.3514733, 121.3242812 14.3514922, 121.324231 14.3515221, 121.3241941 14.3515688, 121.3241445 14.3516897, 121.3241224 14.3517455, 121.3240787 14.3518449)",,Manggahan Road,,,
869033305,unclassified,False,False,66.267,"LINESTRING (121.3245824 14.3515091, 121.3245032 14.3515922, 121.3243751 14.3516747, 121.324239 14.3517514, 121.3240787 14.3518449)",,,,,
52011278,unclassified,False,False,79.231,"LINESTRING (121.3240787 14.3518449, 121.3241224 14.3517455, 121.3241445 14.3516897, 121.3241941 14.3515688, 121.324231 14.3515221, 121.3242812 14.3514922, 121.324351 14.3514733, 121.3244482 14.3514753, 121.3245824 14.3515091)",,Manggahan Road,,,
869033305,unclassified,False,True,66.267,"LINESTRING (121.3240787 14.3518449, 121.324239 14.3517514, 121.3243751 14.3516747, 121.3245032 14.3515922, 121.3245824 14.3515091)",,,,,
52011278,unclassified,False,True,65.951,"LINESTRING (121.3240787 14.3518449, 121.324058 14.3518683, 121.3240372 14.35188, 121.3240063 14.3518862, 121.3239151 14.3518897, 121.323781 14.3518988, 121.3234819 14.3518975)",,Manggahan Road,,,
1006877810,secondary,False,True,21.675,"LINESTRING (121.3234819 14.3518975, 121.3235148 14.3520898)",2,Pililia-Jalajala Road,50,7,
