osmid,oneway,lanes,highway,width,reversed,length,name,geometry,maxspeed,bridge
105697316,False,2,residential,4,True,73.182,,"LINESTRING (120.6212907 15.0007971, 120.6208356 15.0003073)",,
889135009,False,2,residential,,False,90.513,Valencia Street,"LINESTRING (120.6212907 15.0007971, 120.620722 15.0013978)",,
105697316,False,2,residential,4,False,53.278,,"LINESTRING (120.6212907 15.0007971, 120.6213534 15.0008533, 120.6213976 15.0008656, 120.6214332 15.0008605, 120.621466 15.0008462, 120.6214861 15.0008364, 120.6215163 15.0008138, 120.6217 15.0006772)",,
889135009,False,2,residential,,True,90.513,Valencia Street,"LINESTRING (120.620722 15.0013978, 120.6212907 15.0007971)",,
1062853190,False,2,tertiary,,False,99.245,Valencia Street,"LINESTRING (120.620722 15.0013978, 120.6205523 15.0015524, 120.6200445 15.0020047)",,
48487789,False,2,residential,5,False,89.363,San Juan Macaba,"LINESTRING (120.6200445 15.0020047, 120.6205077 15.0026723)",,
1062853190,False,2,tertiary,,False,91.136,Valencia Street,"LINESTRING (120.6200445 15.0020047, 120.6194259 15.0025657)",,
918104951,False,2,residential,4,True,71.338,Pineda Street,"LINESTRING (120.6200445 15.0020047, 120.6197923 15.0017679, 120.6195524 15.0015745)",,
1062853190,False,2,tertiary,,True,99.245,Valencia Street,"LINESTRING (120.6200445 15.0020047, 120.6205523 15.0015524, 120.620722 15.0013978)",,
179564734,True,2,tertiary,6,False,43.665,Gosioco Street,"LINESTRING (120.6194259 15.0025657, 120.6191501 15.0022772)",,
918096021,False,2,tertiary,5,False,34.315,San Juan Cacutud,"LINESTRING (120.6194259 15.0025657, 120.6191957 15.0027797)",,
1062853190,False,2,tertiary,,True,91.136,Valencia Street,"LINESTRING (120.6194259 15.0025657, 120.6200445 15.0020047)",,
48487793,False,2,tertiary,6,True,153.398,Gosioco Street,"LINESTRING (120.6145256 14.9976507, 120.6138248 14.9967864, 120.613645 14.9965646)",,
186283562,False,2,secondary,,False,80.207,Guagua-Santa Rita-Porac Road,"LINESTRING (120.6145256 14.9976507, 120.6147737 14.9974657, 120.6151167 14.9972099)",,
48487796,False,2,tertiary,5,True,85.217,Dalan Betis,"LINESTRING (120.6164559 14.9995085, 120.6169859 14.9989382)",,
179564734,True,2,tertiary,6,False,80.031,Gosioco Street,"LINESTRING (120.6164559 14.9995085, 120.616234 14.9993158, 120.616048 14.9991518, 120.6159048 14.9990241)",,
179564734,True,2,tertiary,6,False,132.39100000000002,Gosioco Street,"LINESTRING (120.6191501 15.0022772, 120.618929 15.0020352, 120.6184338 15.0014738, 120.6183437 15.0013768)",,
822397890,False,2,residential,4,True,89.848,Enumenadores Street,"LINESTRING (120.6191501 15.0022772, 120.6192599 15.0021513, 120.6193408 15.0020279, 120.6195524 15.0015745)",,
48487791,False,2,residential,4,False,22.007,,"LINESTRING (120.6138099 14.9951376, 120.6136595 14.9950032)",,
1062859129,False,2,tertiary,4,True,5.125,,"LINESTRING (120.6138099 14.9951376, 120.6138372 14.9951754)",,
