osmid,highway,oneway,reversed,length,geometry,name,maxspeed,access
364382639,residential,False,True,91.02,"LINESTRING (120.6786601 16.3611662, 120.6787473 16.3611424, 120.6788479 16.3610369, 120.6788854 16.3609989, 120.6789364 16.3609339, 120.6789713 16.3608567, 120.6790169 16.360728, 120.6790339 16.3606772, 120.6790542 16.3604968)",,,
958741373,secondary,False,False,12.645,"LINESTRING (120.6786601 16.3611662, 120.6786447 16.3611095, 120.6786105 16.3610652)",Baguio-Itogon Road,40,
346307913,secondary,False,False,75.587,"LINESTRING (120.6779596 16.3605118, 120.6779447 16.3604823, 120.6779366 16.3604462, 120.6779359 16.360394, 120.6779346 16.3602635, 120.6778951 16.3600725, 120.6778547 16.3599481, 120.6778156 16.3598529)",Baguio-Itogon Road,40,
753387646,residential,False,False,116.37799999999999,"LINESTRING (120.6779596 16.3605118, 120.6779205 16.3605164, 120.6778863 16.360517, 120.6778367 16.3605112, 120.6777871 16.360496, 120.6777294 16.3604655, 120.6775235 16.3603208, 120.6773727 16.3602101, 120.6773059 16.3601502, 120.6772504 16.3600887, 120.6771038 16.3599212)",,,
958741373,secondary,False,True,93.27499999999999,"LINESTRING (120.6779596 16.3605118, 120.6780173 16.3605666, 120.6780869 16.3606148, 120.6782699 16.360728, 120.6783801 16.3608309, 120.6785501 16.3610039, 120.6786105 16.3610652)",Baguio-Itogon Road,40,
114919099,residential,False,False,22.88,"LINESTRING (120.6791987 16.3603482, 120.6791828 16.360381, 120.6791334 16.3604331, 120.6790542 16.3604968)",,,
346307913,secondary,False,True,27.943,"LINESTRING (120.677722 16.3596182, 120.6777809 16.359768, 120.6778156 16.3598529)",Baguio-Itogon Road,40,
"[906736720, 906736715, 114919100]",residential,False,False,194.536,"LINESTRING (120.677722 16.3596182, 120.6781143 16.3595828, 120.6782844 16.3595981, 120.6783337 16.3596107, 120.6783999 16.3596265, 120.6785289 16.3596897, 120.6785528 16.3597076, 120.6786147 16.3597926, 120.6787619 16.3600505, 120.6789741 16.3603846, 120.6789853 16.3604023, 120.6790542 16.3604968)",,,permissive
114919099,residential,False,True,22.880000000000003,"LINESTRING (120.6790542 16.3604968, 120.6791334 16.3604331, 120.6791828 16.360381, 120.6791987 16.3603482)",,,
364382639,residential,False,False,91.02000000000001,"LINESTRING (120.6790542 16.3604968, 120.6790339 16.3606772, 120.6790169 16.360728, 120.6789713 16.3608567, 120.6789364 16.3609339, 120.6788854 16.3609989, 120.6788479 16.3610369, 120.6787473 16.3611424, 120.6786601 16.3611662)",,,
"[906736720, 906736715, 114919100]",residential,False,True,194.536,"LINESTRING (120.6790542 16.3604968, 120.6789853 16.3604023, 120.6789741 16.3603846, 120.6787619 16.3600505, 120.6786147 16.3597926, 120.6785528 16.3597076, 120.6785289 16.3596897, 120.6783999 16.3596265, 120.6783337 16.3596107, 120.6782844 16.3595981, 120.6781143 16.3595828, 120.677722 16.3596182)",,,permissive
958741373,secondary,False,False,93.275,"LINESTRING (120.6786105 16.3610652, 120.6785501 16.3610039, 120.6783801 16.3608309, 120.6782699 16.360728, 120.6780869 16.3606148, 120.6780173 16.3605666, 120.6779596 16.3605118)",Baguio-Itogon Road,40,
958741373,secondary,False,True,12.645,"LINESTRING (120.6786105 16.3610652, 120.6786447 16.3611095, 120.6786601 16.3611662)",Baguio-Itogon Road,40,
1063479182,residential,False,True,159.91699999999997,"LINESTRING (120.6786105 16.3610652, 120.6785877 16.3609893, 120.6784831 16.3608529, 120.6783852 16.3607268, 120.6782886 16.3605981, 120.678172 16.3604347, 120.6780902 16.3603188, 120.6780379 16.360212, 120.6779815 16.3601258, 120.6779265 16.3600229, 120.6778156 16.3598529)",,,
753387646,residential,False,True,116.378,"LINESTRING (120.6771038 16.3599212, 120.6772504 16.3600887, 120.6773059 16.3601502, 120.6773727 16.3602101, 120.6775235 16.3603208, 120.6777294 16.3604655, 120.6777871 16.360496, 120.6778367 16.3605112, 120.6778863 16.360517, 120.6779205 16.3605164, 120.6779596 16.3605118)",,,
346307913,secondary,False,False,27.943,"LINESTRING (120.6778156 16.3598529, 120.6777809 16.359768, 120.677722 16.3596182)",Baguio-Itogon Road,40,
346307913,secondary,False,True,75.587,"LINESTRING (120.6778156 16.3598529, 120.6778547 16.3599481, 120.6778951 16.3600725, 120.6779346 16.3602635, 120.6779359 16.360394, 120.6779366 16.3604462, 120.6779447 16.3604823, 120.6779596 16.3605118)",Baguio-Itogon Road,40,
1063479182,residential,False,False,159.91699999999994,"LINESTRING (120.6778156 16.3598529, 120.6779265 16.3600229, 120.6779815 16.3601258, 120.6780379 16.360212, 120.6780902 16.3603188, 120.678172 16.3604347, 120.6782886 16.3605981, 120.6783852 16.3607268, 120.6784831 16.3608529, 120.6785877 16.3609893, 120.6786105 16.3610652)",,,
