osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,ref
28413956,False,2,M. H. del Pilar Street,secondary,30,5,False,29.337,"LINESTRING (121.0587611 13.7545387, 121.0590278 13.7545887)",
347304301,True,2,M. H. del Pilar Street,tertiary,30,5,False,140.19,"LINESTRING (121.0587611 13.7545387, 121.0584977 13.7544754, 121.0582704 13.7544072, 121.0578461 13.7542617, 121.0576863 13.7541844, 121.0576478 13.7541698, 121.057612 13.7541526, 121.0575413 13.7541184)",
52867141,False,1,Barangay Trese,residential,,,False,100.83500000000001,"LINESTRING (121.0575464 13.7602482, 121.057488 13.7602238, 121.0567105 13.760124, 121.0567246 13.7600418)",
347449174,True,3,P. Burgos Street,secondary,40,7.5,False,61.798,"LINESTRING (121.0575464 13.7602482, 121.0575565 13.7602038, 121.0575686 13.7601509, 121.0576052 13.7599905, 121.0576463 13.7598106, 121.0576702 13.7597056)",437
351324735,True,2,Noble Street,tertiary,30,3,False,157.51199999999997,"LINESTRING (121.0590013 13.7603324, 121.0583785 13.7603047, 121.0579327 13.7602836, 121.0576258 13.760264, 121.0575464 13.7602482)",
752088995,False,2,Noble Street,tertiary,30,5,True,182.426,"LINESTRING (121.0590013 13.7603324, 121.0598625 13.7602952, 121.0606867 13.7602289)",
52055867,True,2,M. H. del Pilar Street,tertiary,30,5,False,122.83399999999999,"LINESTRING (121.0569208 13.7538123, 121.0565651 13.7536221, 121.0564584 13.7535617, 121.0561926 13.7534257, 121.0560987 13.7533749, 121.0559216 13.753285)",
52055863,True,2,D. Silang Street,tertiary,30,5,False,68.517,"LINESTRING (121.0559216 13.753285, 121.0558897 13.7533513, 121.0558802 13.7534112, 121.0558975 13.7538933)",
52867011,True,2,Cuta Road,tertiary,30,,False,77.316,"LINESTRING (121.0559216 13.753285, 121.0558907 13.7532646, 121.0558813 13.7532529, 121.0554644 13.7527519)",
123059494,True,2,P. Genato Street,tertiary,30,,False,7.234,"LINESTRING (121.0548473 13.7557877, 121.0548371 13.755852)",
347304319,True,2,Rizal Avenue,secondary,40,5,False,130.50300000000001,"LINESTRING (121.0548473 13.7557877, 121.0550064 13.7558165, 121.0552047 13.7558521, 121.0553432 13.7558769, 121.05542 13.7558907, 121.0554548 13.755897, 121.0558372 13.7559655, 121.0559347 13.7560037, 121.056004 13.7560689)",437
938217217,True,1,P. Gomez Street,unclassified,,4,False,145.817,"LINESTRING (121.0566402 13.7561654, 121.0567801 13.7548611)",
347449283,True,2,Rizal Avenue,secondary,40,7.5,False,69.571,"LINESTRING (121.0566402 13.7561654, 121.0566014 13.7561594, 121.0563594 13.7561247, 121.0560908 13.7560772, 121.056004 13.7560689)",437
52054843,True,2,D. Silang Street,secondary,30,6,False,56.9,"LINESTRING (121.056004 13.7560689, 121.0560001 13.7561826, 121.0559972 13.756267, 121.0559956 13.7565805)",
347304312,True,2,Rizal Avenue,secondary,40,5,False,128.321,"LINESTRING (121.056004 13.7560689, 121.0559377 13.7560548, 121.0558267 13.7560344, 121.055446 13.7559643, 121.0552282 13.7559241, 121.0549975 13.7558817, 121.0548371 13.755852)",437
79943838,False,2,Rizal Avenue,secondary,30,5,True,82.355,"LINESTRING (121.058387 13.7563674, 121.0585047 13.7563781, 121.0588178 13.756395, 121.0591482 13.7564087)",
237324526,True,2,Rizal Avenue,secondary,40,7.5,False,120.61800000000001,"LINESTRING (121.058387 13.7563674, 121.0583109 13.7563579, 121.058164 13.7563414, 121.0575403 13.7562722, 121.0573341 13.756239, 121.0572795 13.7562299)",437
352604939,True,3,P. Burgos Street,secondary,30,7.5,False,72.693,"LINESTRING (121.058387 13.7563674, 121.0583928 13.7563445, 121.0584399 13.7561133, 121.0584732 13.755959, 121.058495 13.7558604, 121.0585246 13.7557275)",
123059485,False,1,Pastor Street,residential,,3.5,False,128.75300000000001,"LINESTRING (121.0570518 13.7588756, 121.0568025 13.7591431, 121.0567711 13.7591585, 121.0567358 13.7591541, 121.0560152 13.7589526)",
