osmid,oneway,lanes,name,highway,reversed,length,ref,maxspeed,geometry,width,bridge
28935412,True,2,Colonel Guido Street,tertiary,False,98.472,,,"LINESTRING (121.153988 14.5228146, 121.1546359 14.5234398)",,
"[1191277932, 1191288510]",False,4,M. L. Quezon Avenue,secondary,True,61.042,601,50,"LINESTRING (121.153988 14.5228146, 121.1537976 14.523011, 121.1536033 14.5232179)",,
"[1191297163, 28935285]",True,1,Blas Villa Street,residential,False,184.12900000000002,,,"LINESTRING (121.1546359 14.5234398, 121.1542332 14.5238754, 121.1541809 14.5238877, 121.1540651 14.523893, 121.1537686 14.5238566, 121.1535336 14.5237999, 121.1531637 14.5236633)",4,
"[1191290357, 164906806]",False,2,Colonel Guido Street,tertiary,False,63.473,,,"LINESTRING (121.1546359 14.5234398, 121.1547683 14.5235715, 121.1549006 14.5237, 121.1550471 14.5238489)",,
164906806,False,2,Colonel Guido Street,tertiary,False,147.808,,,"LINESTRING (121.1550471 14.5238489, 121.1559919 14.5248135)",,
"[1191290357, 164906806]",False,2,Colonel Guido Street,tertiary,True,63.473,,,"LINESTRING (121.1550471 14.5238489, 121.1549006 14.5237, 121.1547683 14.5235715, 121.1546359 14.5234398)",,
"[28935384, 859039198]",False,1,,residential,False,83.513,,,"LINESTRING (121.1550471 14.5238489, 121.1554436 14.5234886, 121.1556029 14.5236519)","['4', '3']",
164906806,False,2,Colonel Guido Street,tertiary,False,55.042,,,"LINESTRING (121.1562108 14.525037, 121.156558 14.5254004)",,
164906806,False,2,Colonel Guido Street,tertiary,True,34.247,,,"LINESTRING (121.1562108 14.525037, 121.1559919 14.5248135)",,
28935387,False,,,residential,False,71.781,,,"LINESTRING (121.1562108 14.525037, 121.1566494 14.524638, 121.1566948 14.524593)",,
164906806,False,2,Colonel Guido Street,tertiary,True,55.042,,,"LINESTRING (121.156558 14.5254004, 121.1562108 14.525037)",,
894919745,False,,,residential,True,71.972,,,"LINESTRING (121.156558 14.5254004, 121.157038 14.5249498)",,
28935418,True,,A. Tiamson Street,tertiary,False,111.32300000000001,,,"LINESTRING (121.156558 14.5254004, 121.1560966 14.5258669, 121.1558298 14.5261109)",,
164906806,False,2,Colonel Guido Street,tertiary,False,27.567999999999998,,,"LINESTRING (121.156558 14.5254004, 121.1566908 14.5255138, 121.1567556 14.5255576)",,
28935290,False,2,Doña Justa Street,residential,True,63.447,,,"LINESTRING (121.1572753 14.5258492, 121.1570069 14.5263572)",5,
164906806,False,2,Colonel Guido Street,tertiary,True,64.666,,,"LINESTRING (121.1572753 14.5258492, 121.1569223 14.5256537, 121.1567686 14.5255664, 121.1567556 14.5255576)",,
970534594,False,4,M. L. Quezon Avenue,secondary,False,136.572,601,40,"LINESTRING (121.1537845 14.5303431, 121.1538444 14.5302276, 121.1538836 14.5301521, 121.1540392 14.5297742, 121.1541072 14.5295632, 121.1542228 14.5291931)",,
278584759,False,2,Mauricia Diaz Street,tertiary,False,50.575,,,"LINESTRING (121.1515369 14.5265894, 121.1518002 14.5262127)",,
278584759,False,2,Mauricia Diaz Street,tertiary,True,5.005,,,"LINESTRING (121.1515369 14.5265894, 121.1515146 14.5266289)",,
28935435,False,,Jade Street,residential,False,51.742999999999995,,,"LINESTRING (121.1515369 14.5265894, 121.1517133 14.5266543, 121.1517649 14.5266757, 121.1519634 14.526799)",,
80676153,False,,R. Tolentino Street,residential,True,58.849,,,"LINESTRING (121.1529736 14.5275649, 121.1535129 14.527478)",,
28935428,False,,Topaz Street,residential,True,45.206,,,"LINESTRING (121.1529736 14.5275649, 121.152931 14.5276357, 121.1528339 14.5279464)",,
28935435,False,,Jade Street,residential,True,138.505,,,"LINESTRING (121.1529736 14.5275649, 121.1529209 14.5275077, 121.1528046 14.5273991, 121.1524548 14.5271219, 121.1519634 14.526799)",,
28935428,False,,Topaz Street,residential,False,58.138,,,"LINESTRING (121.1526979 14.5284524, 121.1528339 14.5279464)",,
28935482,False,2,J. Senson Street,residential,False,170.932,,,"LINESTRING (121.1526979 14.5284524, 121.1511936 14.5279599)",,
28935482,False,2,J. Senson Street,residential,True,60.275000000000006,,,"LINESTRING (121.1526979 14.5284524, 121.1529158 14.528517, 121.1530432 14.5285555, 121.1532319 14.5286155)",,
28935483,False,,Turquoise Street,residential,True,89.204,,,"LINESTRING (121.1519634 14.526799, 121.1515106 14.5274709)",,
28935435,False,,Jade Street,residential,False,138.505,,,"LINESTRING (121.1519634 14.526799, 121.1524548 14.5271219, 121.1528046 14.5273991, 121.1529209 14.5275077, 121.1529736 14.5275649)",,
28935435,False,,Jade Street,residential,True,51.742999999999995,,,"LINESTRING (121.1519634 14.526799, 121.1517649 14.5266757, 121.1517133 14.5266543, 121.1515369 14.5265894)",,
28935483,False,,Turquoise Street,residential,False,89.204,,,"LINESTRING (121.1515106 14.5274709, 121.1519634 14.526799)",,
28935483,False,,Turquoise Street,residential,True,64.194,,,"LINESTRING (121.1515106 14.5274709, 121.1511936 14.5279599)",,
