osmid,highway,oneway,reversed,length,lanes,geometry,ref,name,bridge
90582566,secondary,False,False,62.735,2,"LINESTRING (121.9810107 10.7002785, 121.9811115 10.7003409, 121.9815016 10.7005711)",,,
470899024,residential,False,True,102.566,,"LINESTRING (121.9815116 10.6994984, 121.9810107 10.7002785)",,,
90582491,residential,False,True,77.422,,"LINESTRING (121.981175 10.7010788, 121.9817859 10.7014316)",,,
90582491,residential,False,False,104.31899999999999,,"LINESTRING (121.981175 10.7010788, 121.9807896 10.700834, 121.9803759 10.7005654)",,,
768438242,residential,False,False,66.821,,"LINESTRING (121.981175 10.7010788, 121.9813421 10.7008373, 121.9815016 10.7005711)",,,
90582515,residential,False,True,70.35,,"LINESTRING (121.9823868 10.7021332, 121.9829486 10.7024423)",,,
"[90582515, 90582525]",residential,False,"[False, True]",125.478,,"LINESTRING (121.9823868 10.7021332, 121.9816974 10.7017584, 121.9816853 10.7015989, 121.9817859 10.7014316)",,,
"[768438243, 275700036]",residential,False,True,102.804,,"LINESTRING (121.9823868 10.7021332, 121.9825423 10.701761, 121.9827703 10.7012893)",,,
168812497,primary,False,True,249.791,2,"LINESTRING (121.978604 10.7031701, 121.9788174 10.702804, 121.9794663 10.7018096, 121.9798187 10.7012675)",501,Iloilo-Antique Road,
"[768438244, 468323135]",residential,False,"[False, True]",249.074,,"LINESTRING (121.978604 10.7031701, 121.978965 10.7031807, 121.9791797 10.7033336, 121.9793568 10.703729, 121.9796245 10.7046926, 121.9797463 10.7048449)",,,
90582566,secondary,False,False,38.654,2,"LINESTRING (121.9807117 10.7000927, 121.9810107 10.7002785)",,,
168812497,primary,False,False,64.102,2,"LINESTRING (121.9807117 10.7000927, 121.9805238 10.7003593, 121.9803759 10.7005654)",501,Iloilo-Antique Road,
275700054,residential,False,False,89.02199999999999,,"LINESTRING (121.9807117 10.7000927, 121.9806768 10.7000202, 121.9805843 10.6995748, 121.9805059 10.6993204)",,,
1119509174,primary,False,True,147.70499999999998,4,"LINESTRING (121.9807117 10.7000927, 121.9813016 10.6992308, 121.9814804 10.6990005)",501,Iloilo-Antique Road,
168812497,primary,False,False,3.936,2,"LINESTRING (121.9803759 10.7005654, 121.9803563 10.7005951)",501,Iloilo-Antique Road,
90582491,residential,False,True,104.31899999999999,,"LINESTRING (121.9803759 10.7005654, 121.9807896 10.700834, 121.981175 10.7010788)",,,
168812497,primary,False,True,64.102,2,"LINESTRING (121.9803759 10.7005654, 121.9805238 10.7003593, 121.9807117 10.7000927)",501,Iloilo-Antique Road,
168812593,unclassified,False,True,71.89,,"LINESTRING (121.9825618 10.6971774, 121.982207 10.6974874, 121.9820591 10.6975936)",,,
904092776,residential,False,True,65.27199999999999,,"LINESTRING (121.9825618 10.6971774, 121.9823089 10.696959, 121.9822955 10.6969326, 121.9822969 10.6969102, 121.9824216 10.6967468)",,,
904092776,residential,False,False,65.272,,"LINESTRING (121.9824216 10.6967468, 121.9822969 10.6969102, 121.9822955 10.6969326, 121.9823089 10.696959, 121.9825618 10.6971774)",,,
275700054,residential,False,True,71.337,,"LINESTRING (121.980348 10.6986979, 121.9805059 10.6993204)",,,
275700054,residential,False,False,39.235,,"LINESTRING (121.980348 10.6986979, 121.9803362 10.6984507, 121.9803958 10.6983631)",,,
904104468,residential,False,True,113.744,,"LINESTRING (121.980348 10.6986979, 121.9799472 10.6989739, 121.9799137 10.6989858, 121.9796388 10.6989871, 121.979612 10.6989792, 121.9794443 10.69885)",,,
904104468,residential,False,False,113.744,,"LINESTRING (121.9794443 10.69885, 121.979612 10.6989792, 121.9796388 10.6989871, 121.9799137 10.6989858, 121.9799472 10.6989739, 121.980348 10.6986979)",,,
275700041,residential,False,True,138.439,,"LINESTRING (121.9814804 10.6990005, 121.9813138 10.6988639, 121.9809474 10.6986703, 121.9803958 10.6983631)",,,
1119509174,primary,False,False,147.70499999999998,4,"LINESTRING (121.9814804 10.6990005, 121.9813016 10.6992308, 121.9807117 10.7000927)",501,Iloilo-Antique Road,
"[246719350, 168812492, 1119509174]",primary,False,True,181.03600000000003,"['2', '4']","LINESTRING (121.9814804 10.6990005, 121.9815005 10.6989735, 121.9819899 10.6982715, 121.9820717 10.6981521, 121.9821137 10.6980947, 121.9821539 10.698, 121.982165 10.6979123, 121.982147 10.6977904, 121.9821067 10.6976992, 121.9820591 10.6975936)",501,Iloilo-Antique Road,yes
