osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,bridge,width
451687976,True,4,194,NAIA Road,primary,60,False,15.964,"LINESTRING (121.0041652 14.515287, 121.0042994 14.5152259)",,,
636737616,True,3,195,Ninoy Aquino Avenue,primary,60,False,36.114000000000004,"LINESTRING (121.0041652 14.515287, 121.0041285 14.5152057, 121.0040311 14.5149893)",,,
224811948,False,,,Baltao Street,residential,,False,18.859,"LINESTRING (121.0075511 14.5126071, 121.0077214 14.5126469)",,,
81179829,False,,,Baltao Street,residential,,True,131.435,"LINESTRING (121.0075511 14.5126071, 121.0074351 14.5125824, 121.0066931 14.5124247, 121.0064515 14.5123733, 121.0063606 14.512346)",,,
223091525,True,4,194,NAIA Road,primary,60,False,181.44299999999998,"LINESTRING (121.0075511 14.5126071, 121.0079335 14.5120714, 121.0080375 14.5119256, 121.0085092 14.5112646)",yes,,
333015583,True,3,,,tertiary,20,False,18.384,"LINESTRING (121.0039664 14.508558, 121.0039104 14.5085741, 121.0038529 14.5085871, 121.0037999 14.5085927)",,,
388815602,True,2,195,Ninoy Aquino Avenue,primary,60,False,11.163,"LINESTRING (121.0038524 14.5146674, 121.0038136 14.5145743)",,,
22732211,True,3,195,Ninoy Aquino Avenue,primary,60,False,16.327,"LINESTRING (121.0042216 14.5154233, 121.0041652 14.515287)",,,
"[120178812, 223091526, 120178815]",True,"['4', '5']",194,NAIA Road,primary,60,False,159.86,"LINESTRING (121.0042216 14.5154233, 121.0038686 14.5155944, 121.0035855 14.515726, 121.0034693 14.5157801, 121.0029446 14.5160474, 121.0028975 14.5160737)",,yes,
224811948,False,,,Baltao Street,residential,,True,18.859,"LINESTRING (121.0077214 14.5126469, 121.0075511 14.5126071)",,,
