osmid,oneway,highway,reversed,length,name,geometry,lanes,access,bridge
218436465,False,residential,False,80.584,,"LINESTRING (124.8856968 11.1380807, 124.8849768 11.137919)",,,
457668500,False,primary,False,114.721,Pastrana Road,"LINESTRING (124.8856968 11.1380807, 124.8858541 11.1370606)",,,
"[218436465, 154616367]",False,residential,True,324.154,,"LINESTRING (124.8856968 11.1380807, 124.88749 11.138444, 124.8876469 11.137336)",,,
908699884,False,residential,False,38.651,,"LINESTRING (124.8907992 11.1369984, 124.8907642 11.1373443)",,,
131747763,False,secondary,False,223.184,San Francisco Street,"LINESTRING (124.8907992 11.1369984, 124.890226 11.1369427, 124.889542 11.1368594, 124.8887775 11.1367056)",2,yes,
154616365,False,residential,False,113.329,,"LINESTRING (124.8849768 11.137919, 124.8851743 11.1369184)",,,
218436465,False,residential,False,72.685,,"LINESTRING (124.8849768 11.137919, 124.8843234 11.1377914)",,,
218436465,False,residential,True,80.584,,"LINESTRING (124.8849768 11.137919, 124.8856968 11.1380807)",,,
154616367,False,residential,False,53.946,,"LINESTRING (124.8848018 11.1353976, 124.8852856 11.1354978)",,,
154616374,False,residential,True,75.504,,"LINESTRING (124.8848018 11.1353976, 124.8846743 11.136065)",,,
154616367,False,residential,True,162.39499999999998,,"LINESTRING (124.8848018 11.1353976, 124.8842472 11.1352951, 124.8841158 11.1352898, 124.8839897 11.1353069, 124.8838592 11.135947)",,,
457668500,False,primary,False,68.694,Pastrana Road,"LINESTRING (124.8859593 11.136271, 124.8860614 11.1356614)",,,
131747763,False,secondary,True,108.287,San Francisco Street,"LINESTRING (124.8859593 11.136271, 124.8865816 11.1363731, 124.8869385 11.1364301)",2,yes,
245453011,False,secondary,False,90.187,San Francisco Street,"LINESTRING (124.8859593 11.136271, 124.8856978 11.136245, 124.8851457 11.1361329)",2,yes,
457668500,False,primary,True,88.547,Pastrana Road,"LINESTRING (124.8859593 11.136271, 124.8859027 11.1366846, 124.8858541 11.1370606)",,,
154616365,False,residential,True,113.329,,"LINESTRING (124.8851743 11.1369184, 124.8849768 11.137919)",,,
154616370,False,residential,False,73.964,Osmena Street,"LINESTRING (124.8851743 11.1369184, 124.8845047 11.1368144)",,,
154616370,False,residential,True,75.875,Osmena Street,"LINESTRING (124.8851743 11.1369184, 124.8855566 11.1370098, 124.8858541 11.1370606)",,,
