osmid,highway,oneway,reversed,length,lanes,ref,name,bridge,maxspeed,geometry
162809980,residential,False,False,28.292,,,,,,"LINESTRING (123.0981481 8.5141279, 123.0980824 8.5138819)"
"[166118337, 707980442, 166118219]",trunk,False,False,94.122,"['2', '4']",79,Dipolog-Sindangan-Liloy Road,yes,40,"LINESTRING (123.0981481 8.5141279, 123.0980584 8.5141657, 123.0976903 8.5143766, 123.0974012 8.51454)"
162809980,residential,False,True,25.967,,,,,,"LINESTRING (123.0977485 8.5119561, 123.0977927 8.5121855)"
162809980,residential,False,False,25.967,,,,,,"LINESTRING (123.0977927 8.5121855, 123.0977485 8.5119561)"
162809980,residential,False,True,95.864,,,,,,"LINESTRING (123.0977927 8.5121855, 123.0979329 8.5130364)"
707980437,residential,False,False,49.704,,,,,,"LINESTRING (123.0977927 8.5121855, 123.0976573 8.512212, 123.0973542 8.5122929)"
162809980,residential,False,False,95.864,,,,,,"LINESTRING (123.0979329 8.5130364, 123.0977927 8.5121855)"
162809980,residential,False,True,95.442,,,,,,"LINESTRING (123.0979329 8.5130364, 123.0980824 8.5138819)"
162809977,residential,False,False,38.915,,,,,,"LINESTRING (123.0979329 8.5130364, 123.0977186 8.5130795, 123.0975868 8.5131092)"
162809977,residential,False,False,36.212,,,,,,"LINESTRING (123.0975868 8.5131092, 123.0972643 8.513175)"
162809977,residential,False,True,38.915,,,,,,"LINESTRING (123.0975868 8.5131092, 123.0977186 8.5130795, 123.0979329 8.5130364)"
162809979,residential,False,False,88.218,,,,,,"LINESTRING (123.0975868 8.5131092, 123.0976016 8.5131988, 123.0976382 8.5133673, 123.0976492 8.5134389, 123.0976526 8.5135092, 123.0976371 8.5135855, 123.0976251 8.5136266, 123.0976177 8.5136776, 123.097616 8.5137267, 123.0976211 8.5138036, 123.097615 8.5138925)"
162809977,residential,False,True,48.867,,,,,,"LINESTRING (123.0968306 8.5132707, 123.0972643 8.513175)"
162809980,residential,False,False,95.442,,,,,,"LINESTRING (123.0980824 8.5138819, 123.0979329 8.5130364)"
162809980,residential,False,True,28.292,,,,,,"LINESTRING (123.0980824 8.5138819, 123.0981481 8.5141279)"
162809979,residential,False,True,52.423,,,,,,"LINESTRING (123.0980824 8.5138819, 123.0980207 8.5138945, 123.0978846 8.5139131, 123.0977954 8.513925, 123.097735 8.5139296, 123.097615 8.5138925)"
162810329,residential,False,False,106.198,,,,,,"LINESTRING (123.0931749 8.5114308, 123.093186 8.5123858)"
162810328,residential,False,False,95.762,,,,,,"LINESTRING (123.0935165 8.5115286, 123.0935193 8.5123898)"
162810330,residential,False,False,46.81,,,,,,"LINESTRING (123.0913428 8.5119903, 123.0917678 8.5120138)"
162810330,residential,False,True,46.81,,,,,,"LINESTRING (123.0917678 8.5120138, 123.0913428 8.5119903)"
162810344,residential,False,False,39.247,,,,,,"LINESTRING (123.0917678 8.5120138, 123.0917926 8.5123659)"
162810348,residential,False,True,66.523,,,,,,"LINESTRING (123.0911878 8.5123712, 123.0914949 8.5123739, 123.0917926 8.5123659)"
162810344,residential,False,True,39.247,,,,,,"LINESTRING (123.0917926 8.5123659, 123.0917678 8.5120138)"
162810344,residential,False,False,94.113,,,,,,"LINESTRING (123.0917926 8.5123659, 123.091806 8.5129999, 123.091802 8.5132121)"
162810348,residential,False,False,66.523,,,,,,"LINESTRING (123.0917926 8.5123659, 123.0914949 8.5123739, 123.0911878 8.5123712)"
162810348,residential,False,True,153.293,,,,,,"LINESTRING (123.0917926 8.5123659, 123.0919871 8.5123752, 123.0924417 8.5123752, 123.0928333 8.5123712, 123.093186 8.5123858)"
162810329,residential,False,True,106.198,,,,,,"LINESTRING (123.093186 8.5123858, 123.0931749 8.5114308)"
162810348,residential,False,True,36.656,,,,,,"LINESTRING (123.093186 8.5123858, 123.0935193 8.5123898)"
162810348,residential,False,False,153.293,,,,,,"LINESTRING (123.093186 8.5123858, 123.0928333 8.5123712, 123.0924417 8.5123752, 123.0919871 8.5123752, 123.0917926 8.5123659)"
162810328,residential,False,True,95.762,,,,,,"LINESTRING (123.0935193 8.5123898, 123.0935165 8.5115286)"
162810348,residential,False,False,36.656,,,,,,"LINESTRING (123.0935193 8.5123898, 123.093186 8.5123858)"
162810348,residential,False,True,35.169,,,,,,"LINESTRING (123.0935193 8.5123898, 123.0938391 8.5123911)"
162810348,residential,False,False,57.221,,,,,,"LINESTRING (123.0947041 8.5123858, 123.0941838 8.5123911)"
867666359,tertiary,False,True,107.487,,,,,,"LINESTRING (123.0947041 8.5123858, 123.0947497 8.5124946, 123.0948061 8.5126351, 123.0948436 8.5127558, 123.0948651 8.5128752, 123.0948865 8.5130238, 123.0949067 8.513159, 123.0949147 8.5133222)"
867666359,tertiary,False,True,62.142,,,,,,"LINESTRING (123.0949147 8.5133222, 123.0949375 8.5138806)"
162810341,residential,False,False,69.231,,,,,,"LINESTRING (123.0949147 8.5133222, 123.0947947 8.5133315, 123.0942891 8.5133911)"
867666359,tertiary,False,False,107.487,,,,,,"LINESTRING (123.0949147 8.5133222, 123.0949067 8.513159, 123.0948865 8.5130238, 123.0948651 8.5128752, 123.0948436 8.5127558, 123.0948061 8.5126351, 123.0947497 8.5124946, 123.0947041 8.5123858)"
162810334,residential,False,False,60.311,,,,,,"LINESTRING (123.0942891 8.5133911, 123.0943186 8.5139327)"
162810341,residential,False,False,90.654,,,,,,"LINESTRING (123.0942891 8.5133911, 123.0934677 8.5134601)"
162810341,residential,False,True,69.231,,,,,,"LINESTRING (123.0942891 8.5133911, 123.0947947 8.5133315, 123.0949147 8.5133222)"
