osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,access
205851978,False,2,55,Quezon Avenue,trunk,40,False,123.422,,"LINESTRING (120.4162729 15.6869535, 120.4151237 15.6868646)",
"[185207496, 103265010, 103265003]",False,2,55,"['Quezon Avenue', 'Romulo Highway']",trunk,40,True,208.28699999999998,yes,"LINESTRING (120.4162729 15.6869535, 120.4168592 15.6869757, 120.4173124 15.6869989, 120.4174854 15.687008, 120.4180475 15.68703, 120.4182163 15.6870415)",
206024635,False,2,,Romulo Street,tertiary,,False,125.088,,"LINESTRING (120.4162729 15.6869535, 120.4162585 15.6873035, 120.4162228 15.6880774)",
908725410,False,2,,Romulo Street,tertiary,,True,182.68900000000002,,"LINESTRING (120.4162729 15.6869535, 120.4162938 15.6863696, 120.4162949 15.6863352, 120.4162993 15.6861983, 120.416328 15.6853114)",
103277287,False,,,Burgos Street,tertiary,,True,77.126,,"LINESTRING (120.4161882 15.6892165, 120.4169027 15.6893055)",
206024637,False,2,,Burgos Street,tertiary,,False,125.226,,"LINESTRING (120.4161882 15.6892165, 120.4150226 15.6891216)",
653301940,False,,,Romulo Street,residential,,False,131.223,,"LINESTRING (120.4161882 15.6892165, 120.4161261 15.6903951)",
206024635,False,2,,Romulo Street,tertiary,,True,126.71700000000001,,"LINESTRING (120.4161882 15.6892165, 120.4162056 15.6886427, 120.4162228 15.6880774)",
353783251,False,2,,Burgos Street,tertiary,,False,123.309,,"LINESTRING (120.4133093 15.6890086, 120.4121652 15.6888801)",
103277272,False,2,,Del Pilar Street,residential,,False,125.713,,"LINESTRING (120.4133093 15.6890086, 120.413269 15.6895528, 120.4132258 15.6901363)",
353783251,False,2,,Burgos Street,tertiary,,True,183.84300000000002,,"LINESTRING (120.4133093 15.6890086, 120.4133856 15.6890144, 120.414218 15.6890689, 120.4150226 15.6891216)",
205851978,False,2,55,Quezon Avenue,trunk,40,True,123.422,,"LINESTRING (120.4151237 15.6868646, 120.4162729 15.6869535)",
344736081,False,2,,Rizal Street,tertiary,,False,125.949,,"LINESTRING (120.4151237 15.6868646, 120.4150699 15.6879961)",
205851977,False,2,55,Quezon Avenue,trunk,40,True,168.494,,"LINESTRING (120.4151237 15.6868646, 120.4146771 15.6868336, 120.4146061 15.6868272, 120.414509 15.6868227, 120.4143501 15.6868095, 120.4139708 15.6867803, 120.4136069 15.6867523, 120.4135546 15.6867471)",
344736082,False,2,,Rizal Street,residential,,False,101.27700000000002,,"LINESTRING (120.4151237 15.6868646, 120.4151403 15.6864661, 120.4151498 15.6861226, 120.4151501 15.686112, 120.4151545 15.6859543)",
206024637,False,2,,Burgos Street,tertiary,,True,125.226,,"LINESTRING (120.4150226 15.6891216, 120.4161882 15.6892165)",
344736081,False,2,,Rizal Street,tertiary,,True,125.252,,"LINESTRING (120.4150226 15.6891216, 120.4150699 15.6879961)",
353783251,False,2,,Burgos Street,tertiary,,False,183.843,,"LINESTRING (120.4150226 15.6891216, 120.414218 15.6890689, 120.4133856 15.6890144, 120.4133093 15.6890086)",
353783252,False,2,,Rizal Street,tertiary,,False,128.216,,"LINESTRING (120.4150226 15.6891216, 120.4150084 15.6896624, 120.4149923 15.6902743)",
28503790,False,2,242,Route 242,primary,60,False,248.46300000000002,,"LINESTRING (120.4182163 15.6870415, 120.4182002 15.6871681, 120.4182029 15.6872533, 120.4182162 15.6873333, 120.4185703 15.6883792, 120.418869 15.6891691)",
103265017,False,2,242,Route 242,primary,60,True,79.632,,"LINESTRING (120.4182163 15.6870415, 120.4184094 15.687035, 120.4189597 15.6870165)",
"[185207496, 103265010, 103265003]",False,2,55,"['Quezon Avenue', 'Romulo Highway']",trunk,40,False,208.287,yes,"LINESTRING (120.4182163 15.6870415, 120.4180475 15.68703, 120.4174854 15.687008, 120.4173124 15.6869989, 120.4168592 15.6869757, 120.4162729 15.6869535)",
