osmid,name,highway,oneway,reversed,length,geometry,lanes
60149473,Felipe R. Cariño Street,residential,False,True,155.092,"LINESTRING (125.1732399 6.1093344, 125.1732445 6.1101762, 125.1732542 6.1102239, 125.1732793 6.1102669, 125.1736212 6.1105687)",
153958923,R. Magsaysay Avenue,tertiary,False,False,72.907,"LINESTRING (125.1725805 6.109338, 125.1732399 6.1093344)",4
153958923,R. Magsaysay Avenue,tertiary,False,True,83.1,"LINESTRING (125.1725805 6.109338, 125.1718289 6.10934)",4
60115509,Salazar Street,residential,False,True,215.55200000000002,"LINESTRING (125.1725805 6.109338, 125.1726021 6.1104665, 125.1726142 6.1105202, 125.1726571 6.1105762, 125.1731647 6.1110384)",
60115506,Saging Street,residential,False,False,87.389,"LINESTRING (125.1741826 6.1093476, 125.1741784 6.1085617)",
153958923,R. Magsaysay Avenue,tertiary,False,True,51.456,"LINESTRING (125.1741826 6.1093476, 125.1737172 6.1093464)",4
153958923,R. Magsaysay Avenue,tertiary,False,False,195.722,"LINESTRING (125.1741826 6.1093476, 125.174432 6.1093483, 125.1744555 6.1093487, 125.1759528 6.1093436)",4
60115506,Saging Street,residential,False,True,87.389,"LINESTRING (125.1741784 6.1085617, 125.1741826 6.1093476)",
153958923,R. Magsaysay Avenue,tertiary,False,False,51.456,"LINESTRING (125.1737172 6.1093464, 125.1741826 6.1093476)",4
153958923,R. Magsaysay Avenue,tertiary,False,True,52.789,"LINESTRING (125.1737172 6.1093464, 125.1732399 6.1093344)",4
60115514,Niyog Street,residential,False,True,107.463,"LINESTRING (125.1737172 6.1093464, 125.1737206 6.1098852, 125.1737326 6.1099655, 125.1737568 6.1100482, 125.1737916 6.1100988, 125.1739365 6.1102361)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,False,88.378,"LINESTRING (125.174543 6.1127921, 125.174544 6.1119973)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,87.322,"LINESTRING (125.174543 6.1127921, 125.1745449 6.1135774)",
511058699,Osmeña Street,tertiary,False,False,154.604,"LINESTRING (125.174543 6.1127921, 125.1759413 6.1128021)",
511058699,Osmeña Street,tertiary,False,True,149.79199999999997,"LINESTRING (125.174543 6.1127921, 125.173805 6.1127962, 125.1731882 6.1127974)",
60146366,Lapu-Lapu Street,residential,False,False,77.845,"LINESTRING (125.1731839 6.1135688, 125.1738879 6.1135792)",
630200045,President Manuel Roxas Avenue,secondary,False,False,147.694,"LINESTRING (125.1731839 6.1135688, 125.1731946 6.114897)",5
630200045,President Manuel Roxas Avenue,secondary,False,True,85.77799999999999,"LINESTRING (125.1731839 6.1135688, 125.1731859 6.1133516, 125.1731866 6.1129611, 125.1731882 6.1127974)",5
38608279,Zapote Street,residential,False,False,71.755,"LINESTRING (125.1738799 6.114885, 125.1745289 6.1148838)",
38608279,Zapote Street,residential,False,True,75.78,"LINESTRING (125.1738799 6.114885, 125.1731946 6.114897)",
60146371,Sampaguita Street,residential,False,False,162.075,"LINESTRING (125.1738799 6.114885, 125.1738651 6.1163425)",2
