osmid,lanes,name,highway,oneway,reversed,length,maxspeed,access,width,geometry,bridge
157278247,2,Guagua - Sasmuan Road,secondary,False,True,85.495,,,,"LINESTRING (120.6317372 14.9619164, 120.6320754 14.9612204)",
149139551,1,Bacani Street,residential,False,False,125.084,20,yes,3,"LINESTRING (120.6317372 14.9619164, 120.6318041 14.9619062, 120.6318961 14.9618972, 120.6319565 14.9618878, 120.6324181 14.9617617, 120.6328654 14.9616451)",
157277499,2,Senator Gil Puyat Avenue,secondary,False,True,27.25,,,,"LINESTRING (120.6317372 14.9619164, 120.6317519 14.9619554, 120.6317742 14.9620241, 120.6317932 14.9620875, 120.6318137 14.96215)",
157277638,,Feeder Road,tertiary,False,True,26.376,,,,"LINESTRING (120.6317372 14.9619164, 120.631645 14.9619081, 120.6314953 14.9618779)",
48487549,2,,residential,False,True,57.503,,,4,"LINESTRING (120.6310391 14.9618554, 120.6307102 14.9614474)",
157277638,,Feeder Road,tertiary,False,False,49.607,,,,"LINESTRING (120.6310391 14.9618554, 120.6312112 14.9618322, 120.6314953 14.9618779)",
157277673,2,Feeder Road,tertiary,False,True,133.763,,,4,"LINESTRING (120.6310391 14.9618554, 120.6308986 14.9619474, 120.63046 14.9624581, 120.6303179 14.9626235, 120.6302491 14.9627058, 120.6302164 14.9627504)",
48487557,1,,residential,False,False,8.872,,,3.5,"LINESTRING (120.6291166 14.9646883, 120.6291972 14.9646709)",
"[186847513, 186847514, 200180132]",1,,residential,False,True,47.789,,,3,"LINESTRING (120.6291166 14.9646883, 120.6290935 14.9645499, 120.6290836 14.964505, 120.6290647 14.9644378, 120.6290212 14.9642689)",yes
48487567,2,Saint John Street,residential,False,False,90.838,,,4,"LINESTRING (120.638124 14.9659586, 120.6374882 14.9664972)",
48487555,2,Trinity Street,residential,False,True,229.59199999999998,,,3.5,"LINESTRING (120.638124 14.9659586, 120.6375085 14.9652813, 120.6374678 14.9652514, 120.6374299 14.9652443, 120.6373826 14.9652455, 120.6371462 14.9653901, 120.6368826 14.9655598, 120.6368643 14.9655655, 120.6368485 14.9655651, 120.6368339 14.9655629, 120.6368174 14.9655561, 120.6366013 14.9652275)",
48487557,1,,residential,False,False,38.399,,,3.5,"LINESTRING (120.6309917 14.9652332, 120.6312951 14.9654158)",
