osmid,name,highway,oneway,reversed,length,lanes,maxspeed,width,geometry,ref
2667105,E. Manaloto Street,residential,False,True,129.271,,,,"LINESTRING (120.9949722 14.5415061, 120.9937997 14.5412542)",
224039651,F. B. Harrison Street,secondary,False,False,215.846,2,40,8,"LINESTRING (120.9949722 14.5415061, 120.9950455 14.5412014, 120.9951423 14.5407786, 120.9952246 14.5403724, 120.9953139 14.5399645, 120.9953859 14.5396069)",
224039651,F. B. Harrison Street,secondary,False,True,101.756,2,40,8,"LINESTRING (120.9949722 14.5415061, 120.9948959 14.5418242, 120.9948568 14.5420018, 120.9948409 14.542074, 120.9947653 14.542399)",
"[909949883, 680046356, 680046357]",Roxas Boulevard,trunk,True,False,250.598,4,60,,"LINESTRING (120.991258 14.5453908, 120.9911484 14.5458204, 120.9910569 14.5462143, 120.9910133 14.5463925, 120.9907943 14.5473437, 120.9907363 14.5475871)",120
909949884,A. Arnaiz Avenue,secondary,False,False,25.926000000000002,4,50,11,"LINESTRING (120.991258 14.5453908, 120.9913408 14.5454115, 120.9914912 14.5454492)",
1123774228,Park Avenue,tertiary,False,False,29.088,2,,,"LINESTRING (120.9975008 14.5426233, 120.9975667 14.5423696)",
1123774228,Park Avenue,tertiary,False,True,43.428,2,,,"LINESTRING (120.9975008 14.5426233, 120.9974094 14.5430037)",
4201768,Grace Road,residential,False,True,89.533,,,,"LINESTRING (120.9975008 14.5426233, 120.9974534 14.5426096, 120.9966901 14.5424434)",
4201769,Galvez Avenue,residential,False,False,203.38200000000003,,,,"LINESTRING (120.9947653 14.542399, 120.9953815 14.5425472, 120.9961765 14.542733, 120.9962762 14.5427536, 120.9966037 14.5428212)",
224039651,F. B. Harrison Street,secondary,False,False,101.75599999999999,2,40,8,"LINESTRING (120.9947653 14.542399, 120.9948409 14.542074, 120.9948568 14.5420018, 120.9948959 14.5418242, 120.9949722 14.5415061)",
224039654,F. B. Harrison Street,secondary,False,True,202.519,2,40,9,"LINESTRING (120.9947653 14.542399, 120.9946455 14.5429102, 120.9945904 14.5431649, 120.9945718 14.5432379, 120.9945528 14.5433205, 120.9944881 14.543593, 120.9944021 14.5439552, 120.9943565 14.5441426, 120.9943486 14.544175)",
224039656,Figueroa Street,residential,False,False,43.026,,,,"LINESTRING (120.9966037 14.5428212, 120.9966901 14.5424434)",
224039657,Figueroa Street,residential,False,True,39.885,1,,,"LINESTRING (120.9966037 14.5428212, 120.996524 14.5431715)",
224039658,Galvez Avenue,residential,False,False,89.062,,,,"LINESTRING (120.9966037 14.5428212, 120.9974094 14.5430037)",
4201769,Galvez Avenue,residential,False,True,203.382,,,,"LINESTRING (120.9966037 14.5428212, 120.9962762 14.5427536, 120.9961765 14.542733, 120.9953815 14.5425472, 120.9947653 14.542399)",
224039656,Figueroa Street,residential,False,True,43.026,,,,"LINESTRING (120.9966901 14.5424434, 120.9966037 14.5428212)",
4201768,Grace Road,residential,False,False,89.533,,,,"LINESTRING (120.9966901 14.5424434, 120.9974534 14.5426096, 120.9975008 14.5426233)",
224039656,Figueroa Street,residential,False,False,287.18100000000004,,,,"LINESTRING (120.9966901 14.5424434, 120.9967795 14.5420118, 120.9968782 14.5415525, 120.9969638 14.5410582, 120.9970052 14.5407521, 120.9970219 14.5405243, 120.9970351 14.5403848, 120.9970444 14.5402859, 120.9970475 14.5402523, 120.9970627 14.5400883, 120.9970809 14.5398918)",
224039658,Galvez Avenue,residential,False,True,89.062,,,,"LINESTRING (120.9974094 14.5430037, 120.9966037 14.5428212)",
1123774228,Park Avenue,tertiary,False,False,43.428,2,,,"LINESTRING (120.9974094 14.5430037, 120.9975008 14.5426233)",
224039657,Figueroa Street,residential,False,False,23.277,1,,,"LINESTRING (120.9961587 14.5447348, 120.9962054 14.5445304)",
