osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,width,bridge
29369549,Iba Road,tertiary,False,False,129.822,"LINESTRING (120.9769865 14.2225675, 120.9769801 14.2214)",,,,,
29369549,Iba Road,tertiary,False,True,126.52000000000001,"LINESTRING (120.9769865 14.2225675, 120.9770789 14.2231919, 120.9771531 14.2236938)",,,,,
298929126,Plaza LIbertad,residential,False,False,42.188,"LINESTRING (120.9747128 14.2232561, 120.9745031 14.2232686, 120.9743219 14.2232745)",2,30,,,
30092266,V. Toledo Street,tertiary,True,False,48.605,"LINESTRING (120.9735503 14.223511, 120.9730995 14.223522)",2,30,,,
641129160,M. H. del Pilar Street,secondary,True,False,128.167,"LINESTRING (120.9735503 14.223511, 120.9735124 14.2225554, 120.9735096 14.2223591)",2,30,410,,
30092266,V. Toledo Street,tertiary,True,False,60.141,"LINESTRING (120.9730995 14.223522, 120.9725418 14.2235386)",2,30,,,
29397939,E. Gonzales Street,residential,False,True,248.53900000000002,"LINESTRING (120.9730995 14.223522, 120.9731318 14.2247025, 120.9731689 14.2255867, 120.9731795 14.2257557)",2,30,,,
29397935,Yakal Street,tertiary,False,True,81.952,"LINESTRING (120.9718821 14.2241015, 120.9711232 14.2240565)",2,,,,
92000675,P. Montoya Street,tertiary,False,False,190.268,"LINESTRING (120.9718821 14.2241015, 120.9718912 14.2258126)",2,30,,,
92000675,P. Montoya Street,tertiary,False,True,60.757,"LINESTRING (120.9718821 14.2241015, 120.9718712 14.2235552)",2,30,,,
29397935,Yakal Street,tertiary,False,False,81.952,"LINESTRING (120.9711232 14.2240565, 120.9718821 14.2241015)",2,,,,
92001371,,residential,False,True,23.266,"LINESTRING (120.9711232 14.2240565, 120.9711272 14.2238473)",,,,,
29397938,Villanueva Street,residential,False,False,207.227,"LINESTRING (120.9727276 14.2276414, 120.9726605 14.2257789)",2,30,,,
48581225,H. Ame Street,residential,False,False,88.426,"LINESTRING (120.9727276 14.2276414, 120.9719072 14.2276429)",2,30,,,
48581225,H. Ame Street,residential,False,True,58.279,"LINESTRING (120.9727276 14.2276414, 120.9732674 14.2276111)",2,30,,,
29397942,E. Montoya Street,residential,False,False,83.004,"LINESTRING (120.9718912 14.2258126, 120.9726605 14.2257789)",2,30,,,
92000675,P. Montoya Street,tertiary,False,True,190.268,"LINESTRING (120.9718912 14.2258126, 120.9718821 14.2241015)",2,30,,,
92000675,P. Montoya Street,tertiary,False,False,137.99599999999998,"LINESTRING (120.9718912 14.2258126, 120.9718971 14.2266226, 120.9719003 14.2270536)",2,30,,,
939232482,,residential,False,True,94.886,"LINESTRING (120.9718912 14.2258126, 120.9717873 14.2258108, 120.9717082 14.2258024, 120.9716378 14.2257894, 120.9711738 14.2257075, 120.971149 14.2256951, 120.9711423 14.2256711, 120.9711543 14.2255749)",,,,,
29397942,E. Montoya Street,residential,False,True,47.225,"LINESTRING (120.9736169 14.2257311, 120.9731795 14.2257557)",2,30,,,
92000674,E. Montoya Street,residential,True,False,64.484,"LINESTRING (120.9736169 14.2257311, 120.9742136 14.2256892)",2,30,,,
641129159,M. H. del Pilar Street,secondary,True,False,246.969,"LINESTRING (120.9736169 14.2257311, 120.9735584 14.2237804, 120.9735503 14.223511)",2,30,410,,
712641394,J. P. Rizal Street,secondary,True,False,104.783,"LINESTRING (120.9742136 14.2256892, 120.974229 14.2258692, 120.9742989 14.2266279)",2,40,410,9,
29397944,E. Gonzales Street,tertiary,True,False,119.192,"LINESTRING (120.9730038 14.2213067, 120.9730587 14.2223773)",2,30,,,
