osmid,highway,oneway,reversed,length,ref,name,maxspeed,geometry,bridge,lanes
201350030,residential,False,True,49.955,,,,"LINESTRING (123.6567674 13.1836921, 123.6563694 13.1839194)",,
958027560,primary,False,True,53.74,1,Maharlika Highway,50,"LINESTRING (123.6567674 13.1836921, 123.6569938 13.1841222)",,
201350030,residential,False,False,109.899,,,,"LINESTRING (123.6567674 13.1836921, 123.6568193 13.1836688, 123.6570583 13.1835474, 123.6571804 13.183488, 123.6574871 13.1833344, 123.6575293 13.183263, 123.6575582 13.1831765, 123.6575582 13.1831483)",,
958027560,primary,False,False,128.87,1,Maharlika Highway,50,"LINESTRING (123.6567674 13.1836921, 123.6565667 13.1832832, 123.6562542 13.1826464)",,
392597980,residential,False,False,23.156,,,,"LINESTRING (123.6554086 13.1809234, 123.6555834 13.1808034)",,
392611571,residential,False,True,138.188,,,,"LINESTRING (123.6554086 13.1809234, 123.6547601 13.1819938)",,
958027560,primary,False,True,157.547,1,Maharlika Highway,50,"LINESTRING (123.6554086 13.1809234, 123.6560441 13.182198)",,
958027560,primary,False,False,41.473,1,Maharlika Highway,50,"LINESTRING (123.6554086 13.1809234, 123.6552688 13.1806744, 123.6552088 13.180607)",,
"[958027560, 252224113, 252224110]",primary,False,"[False, True]",239.802,1,Maharlika Highway,50,"LINESTRING (123.6517371 13.1777149, 123.6518429 13.1777525, 123.6519351 13.1777984, 123.6520511 13.1778872, 123.6521662 13.1779785, 123.6522495 13.1780408, 123.6524124 13.1781889, 123.6526961 13.1784345, 123.6531159 13.1787902, 123.6534409 13.1790771)",yes,
201349028,unclassified,False,False,44.356,,,,"LINESTRING (123.6562033 13.1845616, 123.6565952 13.1844453)",,
992379098,residential,False,False,51.544,,,,"LINESTRING (123.6562033 13.1845616, 123.6560207 13.1841335)",,
992379098,residential,False,True,59.704,,,,"LINESTRING (123.6562033 13.1845616, 123.6564386 13.1850472)",,
201349028,unclassified,False,True,327.56699999999995,,,,"LINESTRING (123.6562033 13.1845616, 123.6558163 13.1847025, 123.6551651 13.18493, 123.6545643 13.185152, 123.6539393 13.1853714, 123.653604 13.1854967, 123.6534077 13.1855677, 123.653365 13.1855817)",,
"[201349033, 555329947, 555329948]",residential,False,False,136.99200000000002,,,,"LINESTRING (123.6540842 13.1840526, 123.653993 13.1838881, 123.6538476 13.1836814, 123.6537351 13.1835259, 123.6537159 13.1834993, 123.6538837 13.1831828, 123.6539045 13.183145, 123.6539822 13.1829897)",yes,
201349028,unclassified,False,True,44.356,,,,"LINESTRING (123.6565952 13.1844453, 123.6562033 13.1845616)",,
1004631031,residential,False,False,63.382,,,,"LINESTRING (123.6565952 13.1844453, 123.6563694 13.1839194)",,
1004631031,residential,False,True,54.506,,,,"LINESTRING (123.6565952 13.1844453, 123.656783 13.1849001)",,
201349028,unclassified,False,False,55.06099999999999,,,,"LINESTRING (123.6565952 13.1844453, 123.6566513 13.1844229, 123.656887 13.1843301, 123.6570688 13.184265)",,
992378693,residential,False,True,40.716,,,,"LINESTRING (123.6564386 13.1850472, 123.656783 13.1849001)",,
992379098,residential,False,False,59.704,,,,"LINESTRING (123.6564386 13.1850472, 123.6562033 13.1845616)",,
