osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,width
142766239,2,St. Francis Xavier Street,residential,False,False,71.021,,,"LINESTRING (120.6316591 14.0748869, 120.6310134 14.0747617)",
690644567,,J. P. Laurel Street,primary,False,True,133.199,407,40,"LINESTRING (120.6316591 14.0748869, 120.6314077 14.0760597)",
142766239,2,St. Francis Xavier Street,residential,False,True,66.063,,,"LINESTRING (120.6316591 14.0748869, 120.6322043 14.0749975, 120.6322588 14.0750077)",
756416869,,J. P. Laurel Street,primary,False,True,131.025,407,40,"LINESTRING (120.6316591 14.0748869, 120.6316766 14.0747985, 120.6317101 14.0746333, 120.6317493 14.0744632, 120.6318563 14.0739542, 120.6319025 14.0737325)",
28402791,2,C. Alvarez Street,unclassified,False,False,67.78,,,"LINESTRING (120.6321634 14.0725428, 120.6327775 14.0726722)",
28402791,2,C. Alvarez Street,unclassified,False,True,73.266,,,"LINESTRING (120.6321634 14.0725428, 120.6314999 14.0724016)",
769916300,2,J. P. Laurel Street,primary,False,True,133.19,407,40,"LINESTRING (120.6321634 14.0725428, 120.6324114 14.0713694)",6.1
"[769916300, 756416863]",2,J. P. Laurel Street,primary,False,False,135.259,407,40,"LINESTRING (120.6321634 14.0725428, 120.6320535 14.0730302, 120.6319448 14.0735119, 120.6319025 14.0737325)",6.1
161559373,2,R. Vasquez Street,unclassified,False,True,154.071,,,"LINESTRING (120.6311837 14.0771016, 120.6313748 14.0769439, 120.6317174 14.0764681, 120.6320598 14.0760149)",
769916303,,J. P. Laurel Street,primary,False,False,118.36500000000001,407,40,"LINESTRING (120.6311837 14.0771016, 120.6312641 14.0767712, 120.6314077 14.0760597)",
114305511,2,Escalera Street,residential,False,True,141.24900000000002,,,"LINESTRING (120.6319025 14.0737325, 120.6322226 14.073793, 120.6324426 14.0738411, 120.6325751 14.0738645, 120.6326825 14.0738848, 120.6328274 14.0739114, 120.6330126 14.0739517, 120.6331853 14.0739874)",
