osmid,name,highway,oneway,reversed,length,geometry,bridge,access,ref,maxspeed
219378830,улица Кунаева,secondary,False,False,104.059,"LINESTRING (77.2384497 43.3032106, 77.2396638 43.3029022)",,,,
1222075559,улица Рыскулова,secondary,False,False,104.773,"LINESTRING (77.2384497 43.3032106, 77.2384193 43.3031244, 77.2381497 43.3025031, 77.2380643 43.3023112)",,,,
"[209016576, 209016572, 1225042238]",улица Кунаева,secondary,False,False,185.61599999999999,"LINESTRING (77.2384497 43.3032106, 77.2379074 43.3033456, 77.2371858 43.3035366, 77.2368072 43.3036302, 77.2366449 43.3036598, 77.2364616 43.3036841, 77.2362628 43.3036947)",yes,,,
209016576,улица Кунаева,secondary,False,False,55.961000000000006,"LINESTRING (77.2362628 43.3036947, 77.2360834 43.3036909, 77.2359106 43.303681, 77.2357111 43.3036482, 77.2355839 43.303617)",,,,
"[209016576, 209016572, 1225042238]",улица Кунаева,secondary,False,True,185.61599999999999,"LINESTRING (77.2362628 43.3036947, 77.2364616 43.3036841, 77.2366449 43.3036598, 77.2368072 43.3036302, 77.2371858 43.3035366, 77.2379074 43.3033456, 77.2384497 43.3032106)",yes,,,
219377785,Малькеева,tertiary,False,True,47.844,"LINESTRING (77.2362628 43.3036947, 77.2358769 43.3038119, 77.235725 43.3038723)",,,,
1086375742,улица Пушкина,residential,False,False,102.948,"LINESTRING (77.2432235 43.3049772, 77.2420165 43.3052699)",,,,
219377708,улица Бекбаева-Крутенко,secondary,True,False,205.914,"LINESTRING (77.2432235 43.3049772, 77.2436157 43.305858, 77.2436407 43.30591, 77.2439856 43.3067439)",,,,
"[219378832, 1086375742, 1086375743]",улица Пушкина,residential,False,True,101.03800000000001,"LINESTRING (77.2432235 43.3049772, 77.243545 43.3049208, 77.2437491 43.304883, 77.2444198 43.3047195)",yes,no,,
219377703,улица Ломоносова,primary,False,False,151.478,"LINESTRING (77.2359794 43.3052205, 77.2358569 43.3043975, 77.2357777 43.3040207, 77.235725 43.3038723)",,,KB-47,
219377703,улица Ломоносова,primary,False,True,167.655,"LINESTRING (77.2359794 43.3052205, 77.2360472 43.3057403, 77.2361317 43.306724)",,,KB-47,
"[219377800, 1182766255]","['Гайдара пер.', 'Донской пер.']",residential,False,True,191.56900000000002,"LINESTRING (77.2359794 43.3052205, 77.23535 43.3053303, 77.2348036 43.3054143, 77.2347531 43.3054846, 77.2348815 43.305791, 77.2349772 43.3059295, 77.2350209 43.3062185)",,,,
227918834,улица Кунаева,primary,False,False,136.846,"LINESTRING (77.2355839 43.303617, 77.2340191 43.3031503)",,,,
209016576,улица Кунаева,secondary,False,True,55.961,"LINESTRING (77.2355839 43.303617, 77.2357111 43.3036482, 77.2359106 43.303681, 77.2360834 43.3036909, 77.2362628 43.3036947)",,,,
219377703,улица Ломоносова,primary,False,True,30.618,"LINESTRING (77.2355839 43.303617, 77.2357037 43.3038236, 77.235725 43.3038723)",,,KB-47,
376099328,улица Кайгы,residential,False,True,443.813,"LINESTRING (77.2355839 43.303617, 77.2356114 43.3035503, 77.2356033 43.3034605, 77.2353171 43.3030667, 77.2349824 43.302628, 77.2347314 43.3022033, 77.2344527 43.3016852, 77.2341751 43.3011338, 77.2339725 43.3008478, 77.2338198 43.300632, 77.233707 43.3004867, 77.2336091 43.3003217, 77.2334306 43.2999781)",,,,
219378830,улица Кунаева,secondary,False,False,103.09,"LINESTRING (77.2396638 43.3029022, 77.2408754 43.3026157)",,,,
219378830,улица Кунаева,secondary,False,True,104.059,"LINESTRING (77.2396638 43.3029022, 77.2384497 43.3032106)",,,,
219377712,улица Гагарина,residential,False,False,106.55199999999999,"LINESTRING (77.2396638 43.3029022, 77.2398251 43.3032926, 77.2400599 43.303816)",,,,
219377756,Белорусская,residential,False,True,89.366,"LINESTRING (77.2361317 43.306724, 77.2350336 43.3068099)",,,,
219377703,улица Ломоносова,primary,False,False,167.655,"LINESTRING (77.2361317 43.306724, 77.2360472 43.3057403, 77.2359794 43.3052205)",,,KB-47,
227918834,улица Кунаева,primary,False,True,136.846,"LINESTRING (77.2340191 43.3031503, 77.2355839 43.303617)",,,,
219377702,,residential,False,False,42.366,"LINESTRING (77.2351121 43.3071866, 77.2350336 43.3068099)",,,,
"[219377800, 1182766255]","['Гайдара пер.', 'Донской пер.']",residential,False,False,191.569,"LINESTRING (77.2350209 43.3062185, 77.2349772 43.3059295, 77.2348815 43.305791, 77.2347531 43.3054846, 77.2348036 43.3054143, 77.23535 43.3053303, 77.2359794 43.3052205)",,,,
219377703,улица Ломоносова,primary,False,False,30.618,"LINESTRING (77.235725 43.3038723, 77.2357037 43.3038236, 77.2355839 43.303617)",,,KB-47,
219377703,улица Ломоносова,primary,False,True,151.478,"LINESTRING (77.235725 43.3038723, 77.2357777 43.3040207, 77.2358569 43.3043975, 77.2359794 43.3052205)",,,KB-47,
219377785,Малькеева,tertiary,False,False,47.844,"LINESTRING (77.235725 43.3038723, 77.2358769 43.3038119, 77.2362628 43.3036947)",,,,
219377785,Малькеева,tertiary,False,True,218.15699999999998,"LINESTRING (77.235725 43.3038723, 77.2355631 43.3039407, 77.2351489 43.3041358, 77.2335269 43.3050063)",,,,
219377722,Матросова,residential,False,True,217.931,"LINESTRING (77.2337828 43.3069572, 77.2335903 43.3053936, 77.2335269 43.3050063)",,,,
219377708,улица Бекбаева-Крутенко,secondary,True,False,108.317,"LINESTRING (77.2420671 43.3023439, 77.2424605 43.303275)",,,,
219378830,улица Кунаева,secondary,False,True,101.059,"LINESTRING (77.2420671 43.3023439, 77.2408754 43.3026157)",,,,
"[1086375736, 1086375737, 1194827726]",улица Кунаева,tertiary,False,False,104.702,"LINESTRING (77.2420671 43.3023439, 77.242424 43.3022602, 77.2426237 43.3022134, 77.2432986 43.3020551)",yes,,,
219377708,улица Бекбаева-Крутенко,secondary,True,False,100.223,"LINESTRING (77.2424605 43.303275, 77.2428458 43.3041316)",,,,
452763887,Тажибаева,residential,False,True,100.325,"LINESTRING (77.2424605 43.303275, 77.2412676 43.3035208)",,,,50
"[1086375738, 1086375739, 452763887]",Тажибаева,residential,False,False,103.80600000000001,"LINESTRING (77.2424605 43.303275, 77.2426882 43.3032182, 77.243048 43.3031285, 77.2436741 43.3029725)",yes,no,,50
219377702,,residential,False,True,42.366,"LINESTRING (77.2350336 43.3068099, 77.2351121 43.3071866)",,,,
219377756,Белорусская,residential,False,False,89.366,"LINESTRING (77.2350336 43.3068099, 77.2361317 43.306724)",,,,
219377756,Белорусская,residential,False,True,57.702,"LINESTRING (77.2350336 43.3068099, 77.2345891 43.3068216, 77.2345998 43.3070167)",,,,
219377756,Белорусская,residential,False,False,57.702,"LINESTRING (77.2345998 43.3070167, 77.2345891 43.3068216, 77.2350336 43.3068099)",,,,
219377722,Матросова,residential,False,False,217.931,"LINESTRING (77.2335269 43.3050063, 77.2335903 43.3053936, 77.2337828 43.3069572)",,,,
219377785,Малькеева,tertiary,False,False,218.15699999999998,"LINESTRING (77.2335269 43.3050063, 77.2351489 43.3041358, 77.2355631 43.3039407, 77.235725 43.3038723)",,,,
548441168,улица Абылай хана,residential,False,False,60.285,"LINESTRING (77.2420165 43.3052699, 77.2417993 43.3047513)",,,,
1086375742,улица Пушкина,residential,False,False,101.111,"LINESTRING (77.2420165 43.3052699, 77.2408295 43.305554)",,,,
1086375742,улица Пушкина,residential,False,True,102.948,"LINESTRING (77.2420165 43.3052699, 77.2432235 43.3049772)",,,,
548441168,улица Абылай хана,residential,False,True,206.489,"LINESTRING (77.2420165 43.3052699, 77.2424179 43.3061313, 77.2428238 43.3070315)",,,,
219378830,улица Кунаева,secondary,False,False,101.059,"LINESTRING (77.2408754 43.3026157, 77.2420671 43.3023439)",,,,
219378830,улица Кунаева,secondary,False,True,103.09,"LINESTRING (77.2408754 43.3026157, 77.2396638 43.3029022)",,,,
548441168,улица Абылай хана,residential,False,True,105.528,"LINESTRING (77.2408754 43.3026157, 77.2412676 43.3035208)",,,,
1194827730,улица Абылай хана,secondary,False,False,96.15,"LINESTRING (77.2408754 43.3026157, 77.2405139 43.301792)",,,,
689728060,Леонова,secondary,False,True,100.969,"LINESTRING (77.2393149 43.3020433, 77.2405139 43.301792)",,,,
689728060,Леонова,secondary,False,False,105.496,"LINESTRING (77.2393149 43.3020433, 77.2389556 43.3021203, 77.2384116 43.3022386, 77.2380643 43.3023112)",,,,
"[485892923, 1086374219, 1086374220]",улица Гагарина,secondary,False,"[False, True]",207.75900000000001,"LINESTRING (77.2393149 43.3020433, 77.2387509 43.3007777, 77.2386369 43.3005219, 77.2385229 43.300266)",yes,,,
