osmid,name,highway,oneway,reversed,length,geometry,lanes,ref
649491030,,residential,False,True,44.809,"LINESTRING (78.2340181 44.9025932, 78.2344652 44.902344)",,
649491030,,residential,False,False,155.542,"LINESTRING (78.2360172 44.901479, 78.2344652 44.902344)",,
385737495,Мырзабекова,residential,False,False,83.072,"LINESTRING (78.2360172 44.901479, 78.2356148 44.9011628, 78.235311 44.9009241)",,
385737495,Мырзабекова,residential,False,True,315.074,"LINESTRING (78.2360172 44.901479, 78.2361585 44.9015906, 78.2363778 44.901764, 78.2369979 44.9022497, 78.2385723 44.9035375, 78.2386577 44.9036074)",,
649491033,Нурпейсова,tertiary,False,False,232.36399999999998,"LINESTRING (78.2295065 44.897623, 78.2279402 44.8989302, 78.2275325 44.8991696)",,
649491033,Нурпейсова,tertiary,False,True,76.69800000000001,"LINESTRING (78.2295065 44.897623, 78.2297802 44.8974102, 78.2302147 44.8971518)",,
1207321287,,residential,False,False,193.209,"LINESTRING (78.2295065 44.897623, 78.2298875 44.8978966, 78.2300109 44.8979859, 78.230039 44.8980182, 78.2300404 44.8980562, 78.228938 44.8989036)",,
1190777220,,residential,False,False,102.197,"LINESTRING (78.2302147 44.8971518, 78.2310481 44.8978562)",,
649491033,Нурпейсова,tertiary,False,False,76.69800000000001,"LINESTRING (78.2302147 44.8971518, 78.2297802 44.8974102, 78.2295065 44.897623)",,
649491036,Конаева,residential,False,True,179.53,"LINESTRING (78.2293028 44.8991126, 78.2309022 44.8979623)",,
385737495,Мырзабекова,residential,False,True,60.879,"LINESTRING (78.2328185 44.8989925, 78.2333679 44.8993776)",,
1181248916,Балпык би,residential,False,False,205.07999999999998,"LINESTRING (78.2328185 44.8989925, 78.2338202 44.8989313, 78.2345046 44.8989454, 78.2354174 44.8989187)",,
"[1181248916, 649491031]","['Балпык би', 'Мырзабекова']",residential,False,True,199.894,"LINESTRING (78.2328185 44.8989925, 78.2323013 44.898995, 78.2309022 44.8979623)",,
500337386,Алматы-Өскемен,trunk,True,False,58.823,"LINESTRING (78.2275325 44.8991696, 78.2279724 44.8995971)",2,A-3
649491033,Нурпейсова,tertiary,False,True,232.36399999999998,"LINESTRING (78.2275325 44.8991696, 78.2279402 44.8989302, 78.2295065 44.897623)",,
500337388,Алматы-Өскемен,trunk,True,False,200.264,"LINESTRING (78.2307377 44.9027357, 78.2293549 44.9012243)",2,A-3
1259087542,,residential,False,False,10.349,"LINESTRING (78.2307377 44.9027357, 78.2306989 44.9027965, 78.2306901 44.9028221)",,
1259087541,,residential,False,True,14.577,"LINESTRING (78.2325729 44.9044419, 78.232388 44.904436)",,
500337388,Алматы-Өскемен,trunk,True,False,184.44400000000002,"LINESTRING (78.2325729 44.9044419, 78.2316889 44.9036845, 78.2311226 44.9031403)",2,A-3
385737554,улица Кабанбай батыра,tertiary,False,True,7.255,"LINESTRING (78.2311226 44.9031403, 78.231191 44.9030966)",,
500337388,Алматы-Өскемен,trunk,True,False,54.25,"LINESTRING (78.2311226 44.9031403, 78.2307377 44.9027357)",2,A-3
500337388,Алматы-Өскемен,trunk,True,False,228.43099999999998,"LINESTRING (78.2293549 44.9012243, 78.2285703 44.9004371, 78.2277255 44.8995252)",2,A-3
1259088118,,residential,False,False,212.62,"LINESTRING (78.2293549 44.9012243, 78.2293165 44.9012633, 78.2292894 44.9013089, 78.2292914 44.9013398, 78.2293162 44.9013849, 78.2296394 44.9017373, 78.2306901 44.9028221)",,
649491036,Конаева,residential,False,False,16.47,"LINESTRING (78.2310481 44.8978562, 78.2309022 44.8979623)",,
1190777220,,residential,False,True,102.197,"LINESTRING (78.2310481 44.8978562, 78.2302147 44.8971518)",,
1207321287,,residential,False,True,193.209,"LINESTRING (78.228938 44.8989036, 78.2300404 44.8980562, 78.230039 44.8980182, 78.2300109 44.8979859, 78.2298875 44.8978966, 78.2295065 44.897623)",,
1259087542,,residential,False,False,224.797,"LINESTRING (78.2306901 44.9028221, 78.2306942 44.9028482, 78.2307049 44.9028767, 78.2308933 44.9031071, 78.2315397 44.9037131, 78.2322733 44.9043296, 78.232388 44.904436)",,
1259087542,,residential,False,True,10.349,"LINESTRING (78.2306901 44.9028221, 78.2306989 44.9027965, 78.2307377 44.9027357)",,
1259088118,,residential,False,True,212.62000000000003,"LINESTRING (78.2306901 44.9028221, 78.2296394 44.9017373, 78.2293162 44.9013849, 78.2292914 44.9013398, 78.2292894 44.9013089, 78.2293165 44.9012633, 78.2293549 44.9012243)",,
649490993,Амангельды,residential,False,True,8.592,"LINESTRING (78.2331315 44.9050647, 78.2332098 44.9050109)",,
1259087542,,residential,False,True,91.212,"LINESTRING (78.2331315 44.9050647, 78.2329881 44.9049537, 78.232388 44.904436)",,
1259087541,,residential,False,False,14.577,"LINESTRING (78.232388 44.904436, 78.2325729 44.9044419)",,
1259087542,,residential,False,False,91.212,"LINESTRING (78.232388 44.904436, 78.2329881 44.9049537, 78.2331315 44.9050647)",,
1259087542,,residential,False,True,224.79699999999997,"LINESTRING (78.232388 44.904436, 78.2322733 44.9043296, 78.2315397 44.9037131, 78.2308933 44.9031071, 78.2307049 44.9028767, 78.2306942 44.9028482, 78.2306901 44.9028221)",,
