osmid,oneway,highway,junction,reversed,length,geometry,name
173998977,True,tertiary,roundabout,False,19.544,"LINESTRING (70.4593327 43.1729666, 70.4592595 43.1729908, 70.4591805 43.1730012, 70.4591003 43.1729974)",
821972179,True,tertiary,,False,28.753,"LINESTRING (70.4593327 43.1729666, 70.4593129 43.1730302, 70.4592809 43.1731078, 70.4592511 43.173218)",улица Конаева
173998974,True,tertiary,roundabout,False,27.962000000000003,"LINESTRING (70.4594992 43.1794167, 70.4595395 43.1794723, 70.4595557 43.179534, 70.4595463 43.1795965, 70.4595123 43.1796543)",
821967567,True,tertiary,,False,23.548000000000002,"LINESTRING (70.4594992 43.1794167, 70.4595797 43.1794697, 70.4596457 43.179507, 70.4597332 43.1795399)",улица Тамды Эулие
173998977,True,tertiary,roundabout,False,23.719,"LINESTRING (70.4594869 43.1727928, 70.4594604 43.1728612, 70.4594074 43.1729209, 70.4593327 43.1729666)",
173998974,True,tertiary,roundabout,False,6.023,"LINESTRING (70.4590919 43.1797129, 70.4590383 43.1796754)",
173998974,True,tertiary,roundabout,False,6.39,"LINESTRING (70.4595123 43.1796543, 70.4594621 43.1796986)",
173998977,True,tertiary,roundabout,False,32.753,"LINESTRING (70.4589326 43.172592, 70.4589968 43.1725562, 70.4590711 43.1725331, 70.4591508 43.1725238, 70.4592313 43.1725291, 70.4593075 43.1725486)",
173998974,True,tertiary,roundabout,False,30.409,"LINESTRING (70.4590383 43.1796754, 70.4589922 43.1796159, 70.4589744 43.1795487, 70.4589868 43.1794809, 70.4590281 43.1794196)",
821967562,True,tertiary,,False,27.910000000000004,"LINESTRING (70.4590383 43.1796754, 70.4589372 43.1795941, 70.4588604 43.1795547, 70.4587729 43.1795197)",улица Тамды Эулие
173998977,True,tertiary,roundabout,False,16.823,"LINESTRING (70.4588385 43.1727243, 70.4588567 43.1726757, 70.4588885 43.1726309, 70.4589326 43.172592)",
173998977,True,tertiary,roundabout,False,9.108,"LINESTRING (70.4591003 43.1729974, 70.4590463 43.1729863, 70.4589956 43.1729686)",
173998977,True,tertiary,roundabout,False,31.808999999999997,"LINESTRING (70.4589956 43.1729686, 70.4589333 43.1729339, 70.458884 43.1728894, 70.4588507 43.1728376, 70.4588352 43.1727815, 70.4588385 43.1727243)",
173998974,True,tertiary,roundabout,False,32.429,"LINESTRING (70.4594621 43.1796986, 70.459378 43.179738, 70.4592805 43.1797543, 70.4591812 43.1797456, 70.4590919 43.1797129)",
821967563,True,residential,,False,37.346000000000004,"LINESTRING (70.4594621 43.1796986, 70.4593644 43.1797936, 70.4593255 43.1798699, 70.4592795 43.1800014)",улица Конаева
173998977,True,tertiary,roundabout,False,24.618000000000002,"LINESTRING (70.4593896 43.1725909, 70.4594377 43.1726337, 70.459471 43.1726835, 70.4594877 43.1727375, 70.4594869 43.1727928)",
186896239,True,tertiary,,False,39.385999999999996,"LINESTRING (70.4593896 43.1725909, 70.4595051 43.1725851, 70.4595947 43.1725777, 70.459684 43.1725619, 70.4598634 43.1725213)",улица Бауржана Момышулы
183531812,False,residential,,False,156.649,"LINESTRING (70.4592526 43.1763398, 70.4611844 43.1763443)",Рысқұлов көшесі
186896236,False,residential,,False,58.456,"LINESTRING (70.4592526 43.1763398, 70.4592493 43.1768655)",улица Конаева
