osmid,highway,oneway,reversed,length,geometry,name,bridge,maxspeed
55389174,primary,False,True,63.075,"LINESTRING (69.4054753 53.2926815, 69.4050928 53.292789, 69.4050358 53.2928099, 69.4049775 53.2928406, 69.4049276 53.2928756, 69.4048908 53.2929071, 69.404857 53.2929519, 69.4047939 53.2930387)",,,
1221721778,primary,False,True,83.592,"LINESTRING (69.4054753 53.2926815, 69.4053104 53.2927087, 69.4051829 53.2927192, 69.4050679 53.2927205, 69.4049688 53.292712, 69.4049047 53.2926966, 69.4048236 53.2926679, 69.4047481 53.2926229, 69.4044717 53.2923936)",,,
168860406,primary,False,False,88.475,"LINESTRING (69.404348 53.2937883, 69.4044864 53.2935604, 69.4045313 53.2934943, 69.4046661 53.2932585, 69.4047939 53.2930387)",улица Сулейменова,,
"[168860402, 168860406, 413746503]",primary,False,True,114.10499999999999,"LINESTRING (69.404348 53.2937883, 69.4041852 53.2940314, 69.4039368 53.2944293, 69.4037329 53.2947463)","['улица Сулейменова', 'Сүлейменов көшесі']",yes,40
356794457,residential,False,True,36.371,"LINESTRING (69.404348 53.2937883, 69.4040586 53.2937015, 69.4039496 53.2936856, 69.4038391 53.2936779)",,,
"[168860402, 168860406, 413746503]",primary,False,False,114.105,"LINESTRING (69.4037329 53.2947463, 69.4039368 53.2944293, 69.4041852 53.2940314, 69.404348 53.2937883)","['улица Сулейменова', 'Сүлейменов көшесі']",yes,40
43152692,primary,False,True,76.83200000000001,"LINESTRING (69.4044717 53.2923936, 69.4046445 53.2925807, 69.4046911 53.2926393, 69.4047504 53.2927275, 69.4047978 53.2928182, 69.4048073 53.2928479, 69.4048144 53.2928804, 69.4048174 53.2929158, 69.4048134 53.2929596, 69.4047939 53.2930387)",,,
1221721778,primary,False,False,83.592,"LINESTRING (69.4044717 53.2923936, 69.4047481 53.2926229, 69.4048236 53.2926679, 69.4049047 53.2926966, 69.4049688 53.292712, 69.4050679 53.2927205, 69.4051829 53.2927192, 69.4053104 53.2927087, 69.4054753 53.2926815)",,,
43152692,primary,False,False,76.832,"LINESTRING (69.4047939 53.2930387, 69.4048134 53.2929596, 69.4048174 53.2929158, 69.4048144 53.2928804, 69.4048073 53.2928479, 69.4047978 53.2928182, 69.4047504 53.2927275, 69.4046911 53.2926393, 69.4046445 53.2925807, 69.4044717 53.2923936)",,,
55389174,primary,False,False,63.075,"LINESTRING (69.4047939 53.2930387, 69.404857 53.2929519, 69.4048908 53.2929071, 69.4049276 53.2928756, 69.4049775 53.2928406, 69.4050358 53.2928099, 69.4050928 53.292789, 69.4054753 53.2926815)",,,
168860406,primary,False,True,88.475,"LINESTRING (69.4047939 53.2930387, 69.4046661 53.2932585, 69.4045313 53.2934943, 69.4044864 53.2935604, 69.404348 53.2937883)",улица Сулейменова,,
356794457,residential,False,False,36.370999999999995,"LINESTRING (69.4038391 53.2936779, 69.4039496 53.2936856, 69.4040586 53.2937015, 69.404348 53.2937883)",,,
