osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,width
213182718,True,מלכי ישראל,tertiary,False,10.209,,"LINESTRING (34.7800379 32.0815271, 34.7799744 32.0816015)",,
"[213183018, 452718046]",True,שדרות דוד בן גוריון,tertiary,False,15.386,50,"LINESTRING (34.7800379 32.0815271, 34.7801042 32.0815266, 34.7801684 32.0815261, 34.7802012 32.0815258)",,
1154006404,False,דוד בלוך,tertiary,True,10.752,,"LINESTRING (34.7857291 32.0845097, 34.7857 32.0844162)",2,
"[623362981, 422732879]",True,ארלוזורוב,tertiary,False,371.858,30,"LINESTRING (34.7857291 32.0845097, 34.785679 32.0845205, 34.7855219 32.0845545, 34.7851748 32.0846297, 34.7838758 32.0849069, 34.7833918 32.0850152, 34.7833227 32.0850307, 34.7832742 32.0850412, 34.7821282 32.0852674, 34.7819394 32.0853106, 34.7818997 32.0853193)",2,
1062309745,False,דוד רמז,tertiary,False,240.35999999999999,,"LINESTRING (34.7857291 32.0845097, 34.7857397 32.0845469, 34.7857709 32.0846562, 34.7858003 32.0847588, 34.7858544 32.0849475, 34.7858884 32.0851209, 34.7859082 32.085306, 34.7859356 32.0855058, 34.7859469 32.0855887, 34.7859913 32.0859135, 34.7860884 32.0865651, 34.7861005 32.0866456)",1,
327061514,True,ז'בוטינסקי,tertiary,False,11.444,,"LINESTRING (34.7822678 32.0881333, 34.7823755 32.0880857)",,
32003676,True,אבן גבירול,secondary,False,164.834,30,"LINESTRING (34.7822678 32.0881333, 34.7822466 32.088023, 34.7820663 32.0870424, 34.7819976 32.0866687)",2,
452718048,True,שדרות דוד בן גוריון,tertiary,False,9.319,,"LINESTRING (34.7812804 32.0815228, 34.7813779 32.0815369)",,
261745844,True,בארי,residential,False,65.638,30,"LINESTRING (34.7853293 32.0838321, 34.7853726 32.0838052, 34.7854761 32.0837409, 34.7856357 32.0836564, 34.7857791 32.0835894, 34.7859294 32.0835366)",,
1161779649,False,דוד בלוך,tertiary,False,74.29899999999999,,"LINESTRING (34.7853293 32.0838321, 34.7854387 32.0839434, 34.785494 32.0840251, 34.7855394 32.0840941, 34.7856314 32.0842548, 34.7856608 32.0843239, 34.7857 32.0844162)",2,
1161779649,False,דוד בלוך,tertiary,True,169.808,,"LINESTRING (34.7853293 32.0838321, 34.7852738 32.0837882, 34.7840931 32.0828559, 34.7840108 32.0827909)",2,
26038814,False,דוד רמז,tertiary,False,77.458,,"LINESTRING (34.7861948 32.0874639, 34.7862941 32.0881554)",1,
1113376764,False,דוד רמז,tertiary,True,9.691,,"LINESTRING (34.7861948 32.0874639, 34.786187 32.087377)",1,
1113376765,True,ז'בוטינסקי,tertiary,False,147.565,,"LINESTRING (34.7861948 32.0874639, 34.7860683 32.087483, 34.7846612 32.0877337)",,
1161779036,True,בצלאל,residential,False,62.909,30,"LINESTRING (34.7859294 32.0835366, 34.785914 32.0835098, 34.7858471 32.0833932, 34.7857874 32.0833093, 34.7855477 32.0830773)",1,
26053162,True,בצלאל,residential,False,144.943,30,"LINESTRING (34.7846382 32.0823762, 34.7835186 32.0814822)",1,
37668275,True,סוטין,residential,False,77.064,30,"LINESTRING (34.7846382 32.0823762, 34.7846885 32.0823532, 34.7848977 32.0822575, 34.7853323 32.0821328, 34.7853931 32.0821153)",1,
37668276,False,סוטין,residential,True,75.174,30,"LINESTRING (34.7846382 32.0823762, 34.784562 32.082419, 34.7843221 32.0825538, 34.7840544 32.08276, 34.7840443 32.0827677, 34.7840108 32.0827909)",,
1161779975,True,רמברנדט,residential,False,124.164,30,"LINESTRING (34.7834701 32.0832444, 34.7839336 32.0836402, 34.7844107 32.0840264)",1,
