osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge,width
707297642,Otto-Körber-Weg,residential,False,False,7.362,,,"LINESTRING (13.7897616 47.6106469, 13.7898015 47.6105864)",,,
2989604,Kirchengasse,tertiary,False,False,210.145,L731,40,"LINESTRING (13.7897616 47.6106469, 13.7896955 47.6106396, 13.7896365 47.6106425, 13.7895725 47.6106586, 13.7893878 47.6107178, 13.7892407 47.6107634, 13.789105 47.6107817, 13.7889838 47.6107864, 13.7889392 47.6107921, 13.7887586 47.6108154, 13.7886221 47.6108466, 13.7885491 47.6108758, 13.7884338 47.6109362, 13.7883189 47.6110037, 13.7881642 47.6110875, 13.7880724 47.6111082, 13.7879259 47.6111223, 13.7877408 47.6111173, 13.787485 47.611099, 13.7874611 47.6110957, 13.7873172 47.6110744, 13.7872766 47.6110692, 13.787235 47.611065, 13.78715 47.6110623)",,,
2989604,Kirchengasse,tertiary,False,True,54.603,L731,40,"LINESTRING (13.7861702 47.6112638, 13.7862402 47.6112056, 13.7863561 47.6111821, 13.7867537 47.6111004, 13.786831 47.6110851)",,,
31241220,Grundlseer Straße,secondary,False,True,34.362,L703,40,"LINESTRING (13.7861702 47.6112638, 13.7860804 47.6112644, 13.786025 47.6112644, 13.7859719 47.6112653, 13.7858429 47.6112539, 13.7857159 47.6112353)",2,,
439967482,Grundlseer Straße,secondary,False,False,63.899,L703,40,"LINESTRING (13.7861702 47.6112638, 13.7862128 47.611271, 13.7862524 47.611285, 13.7862731 47.6113068, 13.7862909 47.6113376, 13.7863474 47.6114965, 13.7863819 47.6115574, 13.7864296 47.6116027, 13.7865576 47.6116749, 13.7866302 47.6117084)",2,,
31241220,Grundlseer Straße,secondary,False,False,34.362,L703,40,"LINESTRING (13.7857159 47.6112353, 13.7858429 47.6112539, 13.7859719 47.6112653, 13.786025 47.6112644, 13.7860804 47.6112644, 13.7861702 47.6112638)",2,,
"[190009352, 967622942]",Meranplatz,residential,False,True,65.595,,,"LINESTRING (13.7857159 47.6112353, 13.7857029 47.6112843, 13.7856872 47.6114265, 13.7856913 47.6114663, 13.7856933 47.6114916, 13.7856947 47.61151, 13.7857196 47.6116418, 13.7857367 47.6116918, 13.7856629 47.6117503, 13.785636 47.6118)",,,
"[439789778, 37044059, 967622943]","['Grundlseer Straße', 'Hauptstraße', 'Erzherzog-Johann-Brücke']",secondary,False,"[False, True]",55.352999999999994,L703,40,"LINESTRING (13.7857159 47.6112353, 13.785603 47.6111773, 13.7854682 47.6111097, 13.785451 47.6111008, 13.7852387 47.6109841, 13.7851499 47.6109175)",2,yes,
9701868,Hauptstraße,secondary,False,False,20.027,L703,40,"LINESTRING (13.7851499 47.6109175, 13.7849664 47.6107866)",2,,
"[439789778, 37044059, 967622943]","['Grundlseer Straße', 'Hauptstraße', 'Erzherzog-Johann-Brücke']",secondary,False,"[False, True]",55.353,L703,40,"LINESTRING (13.7851499 47.6109175, 13.7852387 47.6109841, 13.785451 47.6111008, 13.7854682 47.6111097, 13.785603 47.6111773, 13.7857159 47.6112353)",2,yes,
"[1150762256, 296893025, 723139323]",Bäckergasse,residential,False,True,66.418,,40,"LINESTRING (13.7851499 47.6109175, 13.7850178 47.6109677, 13.7849553 47.6109739, 13.784864 47.6109859, 13.7845611 47.6111386, 13.7844215 47.6112351)",1,,
37110462,Bahnhofstraße,secondary,False,False,235.697,L702,40,"LINESTRING (13.7837897 47.6073318, 13.7837847 47.6072265, 13.7837452 47.6071185, 13.7836947 47.6070219, 13.783646 47.6069413, 13.7833926 47.6065584, 13.7831681 47.6061418, 13.7831628 47.6061292, 13.7831115 47.6060073, 13.7831067 47.6059952, 13.7830962 47.6059693, 13.7830818 47.6059401, 13.7830635 47.6058932, 13.7830548 47.6058736, 13.7830146 47.6057746, 13.7830014 47.6057471, 13.782994 47.6057297, 13.7829633 47.6056333, 13.7829301 47.6055275, 13.7828807 47.6053143)",2,,
513935287,Bahnhofstraße,secondary,False,True,66.875,L702,40,"LINESTRING (13.7837897 47.6073318, 13.7837501 47.6074645, 13.7836861 47.6076522, 13.7835636 47.6079129)",,,
"[262891880, 1106622044]",Hugo-Cordignano-Promenade,residential,False,True,277.2059999999999,,,"LINESTRING (13.7837897 47.6073318, 13.7839331 47.6072786, 13.7843844 47.6070848, 13.7844912 47.6070346, 13.784574 47.6069876, 13.784634 47.6069439, 13.7846907 47.6068944, 13.7847563 47.6067308, 13.7848205 47.6065653, 13.7849013 47.6063967, 13.7849414 47.6063082, 13.7849499 47.6062832, 13.7849705 47.6062227, 13.7849759 47.6062039, 13.7849916 47.6061379, 13.7849935 47.6060563, 13.7849861 47.6059725, 13.7849399 47.6058532, 13.7848831 47.6057577, 13.784691 47.6054167, 13.7846783 47.6053726, 13.7846708 47.6053026, 13.784688 47.60522)",,,
9701326,Ischler Straße,secondary,False,False,192.595,L702,40,"LINESTRING (13.7827744 47.6093911, 13.7823741 47.6093705, 13.7820348 47.6093347, 13.7819104 47.6093291, 13.7817906 47.6093293, 13.781546 47.6093519, 13.781353 47.6093891, 13.7811917 47.6094281, 13.7810278 47.609475, 13.7808828 47.6095266, 13.7807389 47.6096145, 13.7806335 47.6096831, 13.7805972 47.6097068, 13.7804262 47.609808)",,,
122745239,Kurhausplatz,residential,False,False,7.92,,,"LINESTRING (13.7827744 47.6093911, 13.7827777 47.6093575, 13.7827808 47.60932)",,,
875702777,Ischler Straße,secondary,False,True,36.456,L702,40,"LINESTRING (13.7827744 47.6093911, 13.7831187 47.6094132, 13.7831562 47.6094134, 13.7832588 47.6094192)",,,
"[439967480, 439967482, 296893060, 970878106]",Grundlseer Straße,secondary,False,False,235.893,L703,40,"LINESTRING (13.7866302 47.6117084, 13.7867638 47.6117184, 13.7870076 47.611706, 13.7871484 47.6117078, 13.7873664 47.6117304, 13.7875754 47.6117355, 13.7877893 47.6117297, 13.7880026 47.6117126, 13.7882041 47.6117019, 13.7883985 47.6117047, 13.7885704 47.6117168, 13.7889188 47.6117728, 13.7891941 47.6118336, 13.7893142 47.6118718, 13.7893987 47.6119154, 13.7894721 47.6119777, 13.7895266 47.6120526, 13.7895471 47.6120979)",2,yes,
439967482,Grundlseer Straße,secondary,False,True,63.898999999999994,L703,40,"LINESTRING (13.7866302 47.6117084, 13.7865576 47.6116749, 13.7864296 47.6116027, 13.7863819 47.6115574, 13.7863474 47.6114965, 13.7862909 47.6113376, 13.7862731 47.6113068, 13.7862524 47.611285, 13.7862128 47.611271, 13.7861702 47.6112638)",2,,
"[30583842, 724344614]",Poestionplatz,residential,False,True,83.56900000000002,,,"LINESTRING (13.7866302 47.6117084, 13.7866088 47.6117324, 13.786584 47.6117527, 13.7865583 47.6117682, 13.7864177 47.6118156, 13.7862592 47.6118641, 13.7861723 47.6118862, 13.7860664 47.6119061, 13.7860338 47.6119088, 13.7859872 47.6119066, 13.7859336 47.6118966, 13.7858598 47.6118767, 13.785636 47.6118)",,,
296893060,Grundlseer Straße,secondary,False,False,144.63199999999998,L703,40,"LINESTRING (13.7895471 47.6120979, 13.7895751 47.6122328, 13.7895798 47.612657, 13.7895904 47.6127489, 13.7895935 47.612795, 13.7896133 47.6128702, 13.7896481 47.6129559, 13.7897261 47.6131074, 13.7897614 47.6131726, 13.7898111 47.613259, 13.7898657 47.6133672)",2,,
"[439967480, 970878106, 296893060, 439967482]",Grundlseer Straße,secondary,False,True,235.89299999999997,L703,40,"LINESTRING (13.7895471 47.6120979, 13.7895266 47.6120526, 13.7894721 47.6119777, 13.7893987 47.6119154, 13.7893142 47.6118718, 13.7891941 47.6118336, 13.7889188 47.6117728, 13.7885704 47.6117168, 13.7883985 47.6117047, 13.7882041 47.6117019, 13.7880026 47.6117126, 13.7877893 47.6117297, 13.7875754 47.6117355, 13.7873664 47.6117304, 13.7871484 47.6117078, 13.7870076 47.611706, 13.7867638 47.6117184, 13.7866302 47.6117084)",2,yes,
"[223978913, 223978914, 296893091, 724514162, 223971416]",Pfarrergrabenweg,residential,False,True,147.57199999999997,,,"LINESTRING (13.7895471 47.6120979, 13.7896247 47.6120658, 13.7897947 47.612011, 13.7898389 47.6120064, 13.7899039 47.6120086, 13.7899447 47.6120138, 13.7899718 47.6120232, 13.7899993 47.6120379, 13.7900197 47.6120445, 13.7900382 47.6120387, 13.7900455 47.6120266, 13.7900505 47.6120135, 13.7900507 47.6119869, 13.790044 47.6119566, 13.7900232 47.6119085, 13.789994 47.6118657, 13.7899417 47.6118043, 13.7899085 47.6117621, 13.7898932 47.6117255, 13.7898878 47.6116763, 13.7898992 47.6116105, 13.7899399 47.6115216, 13.7900001 47.6114233, 13.790002 47.6113652, 13.7899984 47.611281, 13.7899449 47.6111767, 13.7899189 47.6111212)",,yes,
223105116,Wiedleite,residential,False,False,166.97,,,"LINESTRING (13.7811584 47.6086327, 13.7821391 47.6088096, 13.7822192 47.6088249, 13.7823759 47.6088467, 13.7828046 47.6088749, 13.7828554 47.6088481, 13.7833283 47.6088649)",,,
223043544,Stefaniekai,residential,True,False,38.733,,,"LINESTRING (13.7827866 47.6090661, 13.7833024 47.6090863)",,,
223066571,Stefaniekai,residential,False,True,115.03800000000001,,,"LINESTRING (13.7827866 47.6090661, 13.782327 47.609035, 13.7818576 47.6089971, 13.7816163 47.6089852, 13.7815127 47.6089908, 13.781407 47.609007, 13.7813116 47.6090179, 13.7812641 47.6090255)",,,
