osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,junction,bridge,access,tunnel
710694144,B143,Schärdinger Straße,primary,50,False,False,96.44900000000001,"LINESTRING (13.4857322 48.2127766, 13.4854918 48.2128697, 13.485283 48.2129314, 13.4851479 48.2129636, 13.4850438 48.2129825, 13.4849979 48.2129908, 13.4848723 48.2130102, 13.4845123 48.2130589)",,,,,,
1025302466,B143,Schärdinger Straße,primary,50,False,True,123.828,"LINESTRING (13.4857322 48.2127766, 13.4858642 48.2127134, 13.4862131 48.2125467, 13.4863782 48.2124393, 13.4865844 48.2122849, 13.486775 48.2121371, 13.4869177 48.2120036)",2,,,,,
29754877,B143,,primary,50,True,False,7.639,"LINESTRING (13.4825207 48.2126398, 13.4825621 48.2126649, 13.4825894 48.2126905)",1,4.5,roundabout,,,
339604478,,Friedrich-Thurner-Straße,tertiary,50,True,False,40.132000000000005,"LINESTRING (13.4825207 48.2126398, 13.4827424 48.2125218, 13.4828485 48.2124773, 13.4829679 48.212439)",1,4,,,,
517978936,,Landshuterplatz,tertiary,50,False,False,2.536,"LINESTRING (13.4898685 48.2114781, 13.4898434 48.2114626)",3,,,,,
29754531,,Landshuterplatz,tertiary,50,False,True,69.904,"LINESTRING (13.4898685 48.2114781, 13.4899798 48.2115206, 13.4900509 48.2115362, 13.4901655 48.2115536, 13.490417 48.2115742, 13.4907851 48.2115943)",,,,,,
"[29754308, 1029149022]",,Grethgasse,residential,,False,True,69.91199999999999,"LINESTRING (13.4898685 48.2114781, 13.4897993 48.2115365, 13.4897332 48.2115934, 13.4894105 48.2119156, 13.48933 48.211994)",,,,,,
29755378,,Landshuterplatz,tertiary,50,True,False,19.419,"LINESTRING (13.4896079 48.2112683, 13.4897046 48.2113591, 13.4897596 48.2114107)",,,,,,
361194415,B143,Lughofer Kreisverkehr,primary,50,True,False,7.729000000000001,"LINESTRING (13.4896079 48.2112683, 13.4895927 48.2112891, 13.4895694 48.2113063, 13.4895398 48.2113185)",1,,roundabout,,,
598619792,B143,Johann-Georg-Hartwagner-Straße,primary,50,False,False,9.156,"LINESTRING (13.4877392 48.2111712, 13.4876429 48.2112228)",2,,,,,
29755003,,Froschaugasse,residential,30,True,False,49.207,"LINESTRING (13.4877392 48.2111712, 13.4876578 48.2111133, 13.487405 48.2109132, 13.4873848 48.2108818, 13.4873583 48.2108167)",,,,,,
29754877,B143,,primary,50,True,False,16.155,"LINESTRING (13.482552 48.2128366, 13.4824906 48.2128565, 13.4824212 48.2128669, 13.4823428 48.212863)",1,4.5,roundabout,,,
23699069,,,tertiary,,True,False,13.685999999999998,"LINESTRING (13.4938663 48.2111165, 13.4938322 48.2110958, 13.4938093 48.211069, 13.4938002 48.2110388, 13.4938055 48.2110083)",,,roundabout,,,
29754644,L1081,Schloßberg,tertiary,50,False,True,133.591,"LINESTRING (13.4938663 48.2111165, 13.4938303 48.2111508, 13.4937806 48.211198, 13.4935237 48.2114741, 13.493405 48.2115943, 13.49335 48.2116412, 13.4932709 48.2116971, 13.4932018 48.2117293, 13.4931166 48.2117574, 13.4929758 48.2117963, 13.4928987 48.2118155, 13.4927834 48.2118374, 13.4926954 48.2118483, 13.4925735 48.2118512)",2,,,,,
1101797881,,Braunauer Straße,tertiary,30,False,False,4.904,"LINESTRING (13.4842127 48.2062727, 13.4842758 48.206286)",2,,,,,
29754951,,Kalteneck,residential,30,False,True,47.652,"LINESTRING (13.4842127 48.2062727, 13.484222 48.2062292, 13.484222 48.2061704, 13.4841869 48.205998, 13.4841699 48.2058466)",,,,,,
