osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access,tunnel,width
375333557,True,1,B99,Untere Vorstadt,primary,100,False,74.26299999999999,"LINESTRING (13.5305304 46.9029382, 13.5307246 46.9030656, 13.5308703 46.9031896, 13.5310006 46.9032926, 13.531158 46.9033848, 13.5312154 46.9034109)",,,,,
4848331,True,1,B99,Untere Vorstadt,primary,100,False,75.42,"LINESTRING (13.5310868 46.9034959, 13.5310083 46.9034166, 13.5308447 46.9032839, 13.5306352 46.9030918, 13.5305304 46.9029382)",,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,13.852,"LINESTRING (13.5310868 46.9034959, 13.5311389 46.9034448, 13.5312154 46.9034109)",roundabout,,,,
175393547,True,1,L11,Trefflinger Straße,secondary,100,False,63.726,"LINESTRING (13.5313942 46.9034118, 13.5315832 46.9033258, 13.531757 46.903214, 13.5319086 46.9031082, 13.5320368 46.9030471)",,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,13.575,"LINESTRING (13.5313942 46.9034118, 13.5314688 46.9034455, 13.5315197 46.9034956)",roundabout,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,13.583,"LINESTRING (13.5315197 46.9034956, 13.5315397 46.9035551, 13.5315261 46.9036155)",roundabout,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,18.313,"LINESTRING (13.5315261 46.9036155, 13.5314751 46.9036721, 13.531395 46.90371, 13.5313495 46.903716)",roundabout,,,,
"[375333553, 503116450]",True,1,B99,Katschberg Straße,primary,100,False,70.106,"LINESTRING (13.5315261 46.9036155, 13.5315679 46.9036994, 13.5316803 46.9037832, 13.5318515 46.9038792, 13.5320713 46.9040032, 13.5321438 46.9040687)",,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,14.792,"LINESTRING (13.5312045 46.9037078, 13.5311263 46.9036682, 13.5310781 46.9036104)",roundabout,,,,
375333558,True,1,L12,Untere Vorstadt,secondary,100,False,44.86200000000001,"LINESTRING (13.5312045 46.9037078, 13.5310722 46.9037518, 13.5309597 46.9038024, 13.5308575 46.9038618, 13.5308116 46.903895, 13.5307207 46.9039344)",,,,,
375333549,True,1,B99,Katschberg Straße,primary,100,False,12.961,"LINESTRING (13.5310781 46.9036104, 13.5310671 46.9035526, 13.5310868 46.9034959)",roundabout,,,,
375333555,True,1,L11,Trefflinger Straße,secondary,100,False,63.684,"LINESTRING (13.5320368 46.9030471, 13.5319614 46.9031302, 13.5318158 46.9032385, 13.5316803 46.9033485, 13.5315756 46.9034323, 13.53155 46.9034625, 13.5315197 46.9034956)",,,,,
