osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,name,bridge,junction
72282954,residential,60,False,False,38.802,"LINESTRING (11.3127202 47.1145385, 11.3126948 47.1145659, 11.312447 47.1148338)",,,,,
"[460415400, 325579846]",primary,50,False,False,124.06100000000002,"LINESTRING (11.3127202 47.1145385, 11.3123573 47.1142907, 11.3119972 47.1140306, 11.3118503 47.1139401, 11.3116639 47.1137884, 11.3115898 47.1137317)",2,B183,Stubaitalstraße,,
25515050,living_street,20,False,False,15.511999999999999,"LINESTRING (11.3063038 47.1106167, 11.3061314 47.1106579, 11.3061104 47.1106629)",,,Oberdorf,,
"[363039865, 25517315]",living_street,20,True,False,75.161,"LINESTRING (11.3063038 47.1106167, 11.3062745 47.1105666, 11.3062684 47.1103337, 11.3062649 47.1102019, 11.3062087 47.1101117, 11.3061523 47.1100476, 11.3060721 47.109983)",,,Dorf,,
25513997,residential,,False,True,206.267,"LINESTRING (11.3072512 47.1148878, 11.307266 47.1149686, 11.3072271 47.1150134, 11.3071486 47.1150115, 11.3070379 47.1149608, 11.306702 47.1147367, 11.3065439 47.1146726, 11.3062688 47.1146391, 11.3060067 47.1145897, 11.3056364 47.1144841, 11.3054063 47.1144194, 11.305032 47.1142358)",,,,,
25517312,residential,,False,False,893.6249999999999,"LINESTRING (11.3072512 47.1148878, 11.307141 47.114787, 11.3070224 47.1146415, 11.3068397 47.1145216, 11.3065084 47.1142081, 11.3063873 47.1140361, 11.3060712 47.1137885, 11.3056905 47.1136625, 11.3056108 47.1136379, 11.3055325 47.1136172, 11.3054999 47.1135594, 11.3055704 47.1135312, 11.3057386 47.1135644, 11.3068528 47.1139458, 11.3074487 47.1141648, 11.3077402 47.1142818, 11.3078683 47.1143175, 11.3079534 47.1143143, 11.3080134 47.1142756, 11.3080223 47.114205, 11.3079775 47.1141282, 11.3075567 47.1137459, 11.3071616 47.1135357, 11.3057897 47.1127372, 11.3057293 47.1126905, 11.3056695 47.1126224, 11.3056844 47.1125972, 11.3057026 47.1125664, 11.305769 47.112548, 11.3061045 47.112655, 11.3066052 47.112775, 11.3070942 47.1129273, 11.3075183 47.1130131, 11.3075787 47.1130253, 11.3077679 47.1130263, 11.3079758 47.1130185, 11.3083131 47.1129895)",2,,Innerrain,,
25517312,residential,,False,True,893.6249999999999,"LINESTRING (11.3083131 47.1129895, 11.3079758 47.1130185, 11.3077679 47.1130263, 11.3075787 47.1130253, 11.3075183 47.1130131, 11.3070942 47.1129273, 11.3066052 47.112775, 11.3061045 47.112655, 11.305769 47.112548, 11.3057026 47.1125664, 11.3056844 47.1125972, 11.3056695 47.1126224, 11.3057293 47.1126905, 11.3057897 47.1127372, 11.3071616 47.1135357, 11.3075567 47.1137459, 11.3079775 47.1141282, 11.3080223 47.114205, 11.3080134 47.1142756, 11.3079534 47.1143143, 11.3078683 47.1143175, 11.3077402 47.1142818, 11.3074487 47.1141648, 11.3068528 47.1139458, 11.3057386 47.1135644, 11.3055704 47.1135312, 11.3054999 47.1135594, 11.3055325 47.1136172, 11.3056108 47.1136379, 11.3056905 47.1136625, 11.3060712 47.1137885, 11.3063873 47.1140361, 11.3065084 47.1142081, 11.3068397 47.1145216, 11.3070224 47.1146415, 11.307141 47.114787, 11.3072512 47.1148878)",2,,Innerrain,,
"[26095728, 579236092]","['residential', 'living_street']","['20', '30']",False,False,231.84799999999998,"LINESTRING (11.3083131 47.1129895, 11.3079917 47.1125229, 11.3077248 47.1122019, 11.3072961 47.1116731, 11.3070052 47.1113142, 11.3068511 47.1111593)",1,,Schulweg,,
26506237,residential,30,False,False,266.592,"LINESTRING (11.3083131 47.1129895, 11.308436 47.1130392, 11.3085153 47.1130529, 11.3086323 47.113073, 11.308861 47.1131017, 11.3091665 47.1131384, 11.309701 47.1132214, 11.3097863 47.1132543, 11.3100531 47.1133571, 11.3104879 47.1135157, 11.3106309 47.1135679, 11.3107392 47.1136074, 11.3107893 47.1136247, 11.3110788 47.1137073, 11.3112527 47.1137493, 11.3114521 47.1137677, 11.3115898 47.1137317)",2,,Schulweg,,
25513997,residential,,False,False,206.267,"LINESTRING (11.305032 47.1142358, 11.3054063 47.1144194, 11.3056364 47.1144841, 11.3060067 47.1145897, 11.3062688 47.1146391, 11.3065439 47.1146726, 11.306702 47.1147367, 11.3070379 47.1149608, 11.3071486 47.1150115, 11.3072271 47.1150134, 11.307266 47.1149686, 11.3072512 47.1148878)",,,,,
