osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,width
5228136,False,Bürgergasse,residential,30,False,177.87499999999997,"LINESTRING (15.7048813 47.1040576, 15.7049561 47.1040629, 15.7050229 47.1040769, 15.705156 47.1041165, 15.7051892 47.1041282, 15.705325 47.1041761, 15.7053959 47.1042011, 15.7054435 47.1042034, 15.7055334 47.1042098, 15.7058 47.104293, 15.7058333 47.1043166, 15.7058757 47.1043467, 15.7060288 47.1043997, 15.7063719 47.1045238, 15.7064486 47.1045516, 15.7064942 47.1045681, 15.7066927 47.1046399, 15.7068567 47.1046988, 15.706912 47.1047261, 15.7069441 47.1047696)",,,
138744519,True,Grazer Straße,primary,50,False,29.88,"LINESTRING (15.7048813 47.1040576, 15.7048801 47.1040343, 15.7048768 47.1040099, 15.7048614 47.1039791, 15.7047937 47.1039021, 15.7047509 47.1038489, 15.704743 47.1038113)",1,B65,
186263220,True,,primary,50,False,15.933,"LINESTRING (15.7110119 47.1041347, 15.7110774 47.1041303, 15.7111204 47.1041076, 15.7111799 47.1040614)",1,B65,
186263274,True,Schillerstraße,primary,50,False,18.141,"LINESTRING (15.7110119 47.1041347, 15.7110932 47.1041861, 15.7111332 47.1042188, 15.7111706 47.104256)",1,B65c,
5096636,True,Florianiplatz,primary,50,False,66.49199999999999,"LINESTRING (15.7111706 47.104256, 15.7111849 47.1043464, 15.7112201 47.1044221, 15.7112744 47.1044977, 15.7113115 47.1045591, 15.7113383 47.1046117, 15.7113677 47.1046815, 15.7113821 47.1047552, 15.7113873 47.1048296)",2,B65c,
25323814,True,Jahngasse,primary,50,False,65.405,"LINESTRING (15.7093254 47.1068978, 15.7092747 47.1069073, 15.7092157 47.1069063, 15.7091643 47.1068973, 15.7088171 47.1068213, 15.7086813 47.1067915, 15.7084985 47.1067513)",2,B65c,
977359115,False,Jahngasse,residential,30,False,31.076,"LINESTRING (15.7093254 47.1068978, 15.7093473 47.1069387, 15.7094736 47.1070559, 15.7095442 47.1071327)",,,
"[22565632, 22565635]",False,Weizer Straße,primary,50,True,155.32799999999997,"LINESTRING (15.7079943 47.1080963, 15.7080242 47.1079636, 15.7080323 47.1079138, 15.7080616 47.1077332, 15.7081121 47.1075147, 15.7081662 47.1073521, 15.708176 47.1073252, 15.708219 47.1072192, 15.7082293 47.1072006, 15.7083037 47.1070823, 15.7083106 47.1070713, 15.708421 47.1068959, 15.7084416 47.1068569, 15.7084768 47.1067916, 15.7084921 47.1067632, 15.7084985 47.1067513)",2,,
"[25315730, 25823778, 971622079]",False,"['Feldgasse', 'Rotkreuzweg']",residential,30,False,150.308,"LINESTRING (15.7079943 47.1080963, 15.7080604 47.1080992, 15.7081297 47.1081022, 15.7082572 47.1081077, 15.7083421 47.1081082, 15.7084159 47.1081086, 15.7085582 47.1081042, 15.7086398 47.1081111, 15.7086879 47.1081288, 15.708736 47.1081629, 15.7087767 47.1082033, 15.708857 47.1082894, 15.7088606 47.1082927, 15.7088772 47.1083079, 15.7090153 47.1084339, 15.7091379 47.1085535, 15.7093914 47.1087869, 15.7094245 47.1088047, 15.7094678 47.1088144)",,,
"[362820084, 433294679]",False,Weizer Straße,primary,50,False,144.627,"LINESTRING (15.7079943 47.1080963, 15.7079725 47.1081604, 15.7079577 47.1081981, 15.7079405 47.1082417, 15.7078674 47.1083849, 15.7078424 47.1084254, 15.7077682 47.1085456, 15.7077418 47.1085878, 15.7076553 47.1087262, 15.7072939 47.1093046)","['2', '3']",,
"[25323812, 1071083300]",False,Hartberger Straße,primary,50,False,164.339,"LINESTRING (15.7072939 47.1093046, 15.7072827 47.1095444, 15.7073084 47.1097211, 15.7073383 47.1098307, 15.7074659 47.1101204, 15.7077476 47.1104428, 15.7079792 47.1106638)",2,,
"[362820084, 433294679]",False,Weizer Straße,primary,50,True,144.627,"LINESTRING (15.7072939 47.1093046, 15.7076553 47.1087262, 15.7077418 47.1085878, 15.7077682 47.1085456, 15.7078424 47.1084254, 15.7078674 47.1083849, 15.7079405 47.1082417, 15.7079577 47.1081981, 15.7079725 47.1081604, 15.7079943 47.1080963)","['2', '3']",,
978511990,False,Weizer Straße,tertiary,50,True,54.229,"LINESTRING (15.7072939 47.1093046, 15.7071037 47.1092838, 15.7068812 47.1092498, 15.7065924 47.109206)",2,,
"[361003845, 32231838]",True,Ludwig-Binder-Straße,primary,50,False,199.54000000000002,"LINESTRING (15.708595 47.1062775, 15.7085668 47.1062513, 15.7085257 47.1062305, 15.7084848 47.1062177, 15.7084209 47.1062102, 15.708379 47.1062088, 15.7083216 47.106207, 15.7081594 47.1062083, 15.7079005 47.1062033, 15.7078335 47.1061994, 15.7077536 47.1061929, 15.7075711 47.106173, 15.7074339 47.1061504, 15.7072724 47.1061099, 15.7070922 47.1060515, 15.706938 47.1060025, 15.7065897 47.1058808, 15.7064835 47.1058446, 15.7062683 47.1057759, 15.7062373 47.1057667, 15.7061359 47.1057382)",2,B65c,
"[482418136, 1005412571, 5228132, 25323805]",True,"['Hauptplatz', 'Weizer Straße']",living_street,20,False,148.96400000000003,"LINESTRING (15.708595 47.1062775, 15.7086141 47.1062094, 15.708622 47.106177, 15.7086472 47.1061345, 15.7086712 47.1061083, 15.7088534 47.1059388, 15.7088806 47.1059135, 15.7089494 47.1058628, 15.7090248 47.1058072, 15.7091134 47.1057419, 15.7094175 47.1055177, 15.709444 47.105496, 15.7094617 47.1054796, 15.7095211 47.1054254, 15.709741 47.1052073)",,,
5899041,True,Bürgergasse,living_street,20,False,85.77199999999999,"LINESTRING (15.709741 47.1052073, 15.7096997 47.1051884, 15.7096487 47.1051651, 15.7088328 47.1048507, 15.7087843 47.104832, 15.708759 47.1048227)",,,
"[977938620, 32629535]",True,Bürgergasse,living_street,20,False,31.630000000000003,"LINESTRING (15.708759 47.1048227, 15.7086076 47.1047648, 15.708526 47.1047393, 15.7084564 47.1047245, 15.7083757 47.1047166)",,,
977938619,False,Bürgergasse,residential,10,True,17.689,"LINESTRING (15.7081421 47.1047117, 15.7083757 47.1047166)",,,
272565927,False,Bürgergasse,residential,30,True,102.134,"LINESTRING (15.7081421 47.1047117, 15.7081192 47.1047247, 15.7079183 47.1048416, 15.7077096 47.1049192, 15.7076678 47.1049266, 15.7076231 47.1049267, 15.7075293 47.1049182, 15.7073985 47.104884, 15.707044 47.104767, 15.7069953 47.1047636, 15.7069441 47.1047696)",,,
