osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,ref
"[23912258, 336548501, 1063638423]","['2', '3']",Kremstalstraße,tertiary,30,False,True,44.495,"LINESTRING (14.2376799 48.2203905, 14.2375768 48.2204914, 14.2374933 48.2205858, 14.2373595 48.2207288)",,,
"[336548505, 374463115]",2,Kremstalstraße,tertiary,30,False,False,65.975,"LINESTRING (14.2376799 48.2203905, 14.2377679 48.2203044, 14.2378666 48.2202099, 14.2379438 48.2201189, 14.2380025 48.220037, 14.2380281 48.2199936, 14.2380549 48.2199481, 14.2380849 48.2198673)",,,
"[1063519448, 32480212]",1,Kirchenplatz,residential,,False,False,66.833,"LINESTRING (14.2376799 48.2203905, 14.2378409 48.2204583, 14.2381659 48.2206032, 14.2383282 48.2205995, 14.2384598 48.220658)",,,
38356970,,Kremstalstraße,tertiary,30,False,False,104.018,"LINESTRING (14.2380849 48.2198673, 14.2381155 48.2197746, 14.2382 48.219466, 14.2382589 48.2192924, 14.2383125 48.2191649, 14.2383707 48.2190593, 14.2384174 48.2189601)",,,
"[336548505, 374463115]",2,Kremstalstraße,tertiary,30,False,True,65.975,"LINESTRING (14.2380849 48.2198673, 14.2380549 48.2199481, 14.2380281 48.2199936, 14.2380025 48.220037, 14.2379438 48.2201189, 14.2378666 48.2202099, 14.2377679 48.2203044, 14.2376799 48.2203905)",,,
"[339142220, 582974157]",2,Obere Dorfstraße,residential,30,False,True,93.334,"LINESTRING (14.2380849 48.2198673, 14.2379824 48.2198527, 14.2379364 48.2198462, 14.2378595 48.2198353, 14.2378092 48.219829, 14.2377399 48.2198183, 14.237469 48.2197663, 14.2372526 48.2197254, 14.2370454 48.2196869, 14.2368693 48.219649)",,,
23912260,1,Hauptplatz,tertiary,30,True,False,27.666000000000004,"LINESTRING (14.2364924 48.2209913, 14.2367394 48.2210214, 14.2368614 48.2210274)",,,
174353598,1,Georg Grinninger-Straße,residential,30,False,True,237.935,"LINESTRING (14.2364924 48.2209913, 14.2364429 48.2210294, 14.2364177 48.2210488, 14.2363947 48.221077, 14.2360937 48.2214448, 14.2357849 48.2218222, 14.2357515 48.2218619, 14.2357373 48.2218789, 14.2354677 48.2221995, 14.2352102 48.2225057, 14.2351278 48.2226038, 14.234971 48.2227902, 14.2349172 48.2228542)",,,
174458946,,Neubauerstraße,tertiary,30,False,True,27.235,"LINESTRING (14.2364924 48.2209913, 14.2363548 48.2209542, 14.2361459 48.22091)",,,
"[336548496, 1063519453]",1,Hauptplatz,living_street,20,False,False,88.403,"LINESTRING (14.2364924 48.2209913, 14.2365637 48.2209488, 14.2367105 48.2208664, 14.2368899 48.2207657, 14.2371194 48.2206317, 14.2372999 48.2205067, 14.2373711 48.2204548)",,,
174458944,1,Hanfpointstraße,residential,30,False,True,20.413,"LINESTRING (14.2326903 48.2219338, 14.232548 48.222091)",,,
27666366,1,Sperlinggasse,residential,30,False,False,123.93699999999998,"LINESTRING (14.2326903 48.2219338, 14.2327305 48.2219504, 14.2330336 48.2220758, 14.2331536 48.2221255, 14.2333813 48.2222197, 14.233841 48.2224099, 14.2341115 48.2225218)",,,
174458944,1,Hanfpointstraße,residential,30,False,False,47.384,"LINESTRING (14.2326903 48.2219338, 14.2327028 48.22192, 14.2328777 48.2217266, 14.2330204 48.2215688)",,,
"[28021809, 339140668]",1,"['Obere Dorfstraße', 'Maniglweg']",residential,30,False,True,185.35200000000006,"LINESTRING (14.2346399 48.2206369, 14.2346597 48.2205906, 14.2346988 48.2205262, 14.2349176 48.2202886, 14.2353232 48.219848, 14.2353537 48.2198149, 14.2354735 48.2196822, 14.2355443 48.2196037, 14.2355817 48.2195554, 14.2355953 48.2195199, 14.2356001 48.219482, 14.2353599 48.2194691, 14.2350924 48.2194547)",,,
174458946,,Neubauerstraße,tertiary,30,False,False,20.791,"LINESTRING (14.2346399 48.2206369, 14.2348425 48.2206708, 14.2349121 48.2206824)",,,
174458946,,Neubauerstraße,tertiary,30,False,True,54.964,"LINESTRING (14.2346399 48.2206369, 14.2343471 48.2205955, 14.2341178 48.2205723, 14.2340103 48.2205641, 14.2339085 48.2205564)",,,
"[39753907, 128491142, 346124311]","['1', '2']",Neubauerstraße,tertiary,"['30', '50']",False,True,155.189,"LINESTRING (14.2339085 48.2205564, 14.2336326 48.2205389, 14.2333464 48.22052, 14.2331919 48.2205067, 14.2331628 48.2205025, 14.2330759 48.2204898, 14.2329751 48.2204668, 14.2329452 48.2204592, 14.2328803 48.2204394, 14.2327717 48.2204062, 14.2327054 48.2203841, 14.232663 48.2203691, 14.2324378 48.2202949, 14.2323627 48.2202698, 14.2322813 48.2202427, 14.2319436 48.2201301)",,,
174458944,1,Hanfpointstraße,residential,30,False,True,113.16499999999999,"LINESTRING (14.2339085 48.2205564, 14.2338892 48.2206218, 14.2338696 48.2206518, 14.2338524 48.2206782, 14.2338142 48.2207191, 14.2337186 48.2208214, 14.2334664 48.2210913, 14.2332998 48.2212696, 14.233217 48.2213583, 14.2331468 48.2214334)",,,
174458946,,Neubauerstraße,tertiary,30,False,False,54.964,"LINESTRING (14.2339085 48.2205564, 14.2340103 48.2205641, 14.2341178 48.2205723, 14.2343471 48.2205955, 14.2346399 48.2206369)",,,
23920429,1,Hauptplatz,tertiary,30,True,False,40.734,"LINESTRING (14.2366672 48.2215292, 14.2367624 48.2214063, 14.2368253 48.2213218, 14.2368509 48.2212638, 14.2368506 48.2212243, 14.2368406 48.2211912)",,,
"[1055641298, 38357683]",2,Kremstalstraße,tertiary,30,False,True,56.529999999999994,"LINESTRING (14.2366672 48.2215292, 14.2366008 48.2216089, 14.236385 48.2218657, 14.2362805 48.221967)",,,
759615844,1,Hauptplatz,tertiary,30,True,False,5.273,"LINESTRING (14.2371136 48.2212812, 14.237043 48.2212752)",roundabout,,
