osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,tunnel
"[442901536, 38889409]","['Anton Schormann-Straße', 'A. Schormann-Straße']",residential,False,True,172.838,"LINESTRING (15.7716096 46.707334, 15.771585 46.7073057, 15.7715196 46.7072533, 15.7714003 46.7072167, 15.7713794 46.707213, 15.7710847 46.7071609, 15.7710117 46.7071522, 15.7708929 46.707138, 15.7703447 46.7070724, 15.7699924 46.7070303, 15.7699055 46.7070199, 15.7695298 46.706975, 15.7694621 46.7069419)",,,,,
449846068,Hauptplatz,primary,False,False,35.157000000000004,"LINESTRING (15.7716096 46.707334, 15.7717166 46.7073262, 15.7718655 46.7073374, 15.7720676 46.7073547)",3,B69,50,,
993126883,Grazer Straße,primary,False,True,37.357,"LINESTRING (15.7716096 46.707334, 15.7715635 46.7073699, 15.7714379 46.7075289, 15.7713411 46.7076132)",2,B69,50,,
43299259,Stubenbergdamm,residential,False,True,87.88900000000001,"LINESTRING (15.7692947 46.7077217, 15.7692922 46.7076341, 15.7693143 46.7074633, 15.7693266 46.7074218, 15.7694522 46.7069969, 15.7694621 46.7069419)",,,,,
"[197898977, 449846061]",Eichfelder Straße,secondary,False,True,189.389,"LINESTRING (15.7692947 46.7077217, 15.7692971 46.707806, 15.7692456 46.708012, 15.7692306 46.7080897, 15.7691776 46.7084133, 15.7691851 46.7084674, 15.7692366 46.7088372, 15.7691898 46.7091485, 15.7691499 46.7094142)","['2', '3']",L203,,,
"[449846065, 971238651, 971238652, 43300119]",Grazer Straße,primary,False,False,158.64299999999997,"LINESTRING (15.7692947 46.7077217, 15.769479 46.7077411, 15.7697646 46.7077534, 15.7700204 46.7077667, 15.7706002 46.707745, 15.7708975 46.7077163, 15.7711871 46.7076647, 15.7713411 46.7076132)","['2', '3']",B69,50,,
"[198123689, 449846066, 1266502159]",Grazer Straße,primary,False,True,287.007,"LINESTRING (15.7692947 46.7077217, 15.7691469 46.7076972, 15.7689487 46.7076534, 15.7686856 46.7075953, 15.7683997 46.7075195, 15.7682005 46.7074631, 15.7681827 46.7074581, 15.7679826 46.7073844, 15.7678032 46.7073183, 15.7677154 46.7072859, 15.7671215 46.7070269, 15.7665472 46.7067798, 15.7660827 46.706604, 15.765951 46.7065655)","['2', '3']",B69,50,,
483271087,Rudolf Hans Bartsch-Straße,residential,False,False,20.426,"LINESTRING (15.7690464 46.7045229, 15.7690313 46.7043395)",,,,,
"[102665189, 448342053, 126670504, 102665192, 40698579]",Austraße,residential,False,"[False, True]",458.937,"LINESTRING (15.7690464 46.7045229, 15.7695406 46.7045254, 15.770251 46.704614, 15.7703845 46.7046286, 15.7717969 46.704783, 15.7720984 46.70482, 15.7723611 46.7048584, 15.7725854 46.7050375, 15.7733172 46.7056975, 15.7734355 46.7058265, 15.7734764 46.7058693, 15.7735811 46.7059927, 15.7737224 46.7061578, 15.7737458 46.7061851, 15.7739389 46.7063226)",,,,yes,
95809489,Rudolf Hans Bartsch-Straße,residential,False,True,238.326,"LINESTRING (15.7690464 46.7045229, 15.769044 46.704708, 15.7690417 46.7048903, 15.7690395 46.7050649, 15.7690382 46.7051663, 15.7690366 46.705596, 15.7690363 46.7056727, 15.7690574 46.7059494, 15.7690648 46.7063799, 15.7691012 46.7064836, 15.769169 46.7066032, 15.76913 46.7066465)",,,,,
23274941,Dr. Heinz Brunner-Straße,residential,False,False,94.919,"LINESTRING (15.765917 46.7053917, 15.766359 46.7045937)",,,,,
24787960,Süßenberger Straße,residential,False,False,102.73999999999998,"LINESTRING (15.765917 46.7053917, 15.7661326 46.705458, 15.7663841 46.7055353, 15.7664464 46.7055543, 15.7666596 46.7056192, 15.7666859 46.7056272, 15.766741 46.705644, 15.7671477 46.7057678)",,,,,
"[442901536, 38889409]","['A. Schormann-Straße', 'Anton Schormann-Straße']",residential,False,False,172.838,"LINESTRING (15.7694621 46.7069419, 15.7695298 46.706975, 15.7699055 46.7070199, 15.7699924 46.7070303, 15.7703447 46.7070724, 15.7708929 46.707138, 15.7710117 46.7071522, 15.7710847 46.7071609, 15.7713794 46.707213, 15.7714003 46.7072167, 15.7715196 46.7072533, 15.771585 46.7073057, 15.7716096 46.707334)",,,,,
43299259,Stubenbergdamm,residential,False,False,87.88899999999998,"LINESTRING (15.7694621 46.7069419, 15.7694522 46.7069969, 15.7693266 46.7074218, 15.7693143 46.7074633, 15.7692922 46.7076341, 15.7692947 46.7077217)",,,,,
"[449722993, 449722994, 256017614]",Süßenberger Straße,residential,False,True,41.793000000000006,"LINESTRING (15.7694621 46.7069419, 15.769452 46.7069149, 15.7694275 46.7068867, 15.7693592 46.7068301, 15.7692761 46.706762, 15.76913 46.7066465)",,,,yes,
43302594,Bahnhofplatz,residential,False,False,214.304,"LINESTRING (15.7738449 46.7110433, 15.773599 46.7109886, 15.7734387 46.7109911, 15.7713503 46.7110239, 15.7712596 46.7110334, 15.7711166 46.7110483, 15.7710508 46.7110552)",,,,,
