osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,tunnel,bridge
"[229730658, 509052475, 5855582]",Churer Straße,residential,"['50', '30']",False,False,109.551,"LINESTRING (9.594328 47.2380106, 9.594249 47.2380808, 9.5942158 47.2381073, 9.5941783 47.238138, 9.5941602 47.238148, 9.594117 47.2381717, 9.594035 47.2382057, 9.5939685 47.2382274, 9.5938929 47.2382503, 9.5938179 47.2382663, 9.5937407 47.2382755, 9.5936539 47.2382748, 9.5935373 47.2382652, 9.5934303 47.2382476, 9.5932508 47.2382161, 9.5930369 47.238174)",,,,,
247760936,Hirschgraben,primary,50,False,True,35.108999999999995,"LINESTRING (9.594328 47.2380106, 9.59426 47.2379757, 9.5941897 47.2379339, 9.5941528 47.2379095, 9.5941113 47.2378819, 9.5939954 47.2377913)",3,L191,,,
"[247760937, 229730659, 1065229205, 454542622]",Hirschgraben,primary,50,False,False,153.918,"LINESTRING (9.594328 47.2380106, 9.5943976 47.2380326, 9.5944662 47.2380543, 9.5944978 47.2380616, 9.5946446 47.2380954, 9.5947708 47.2381192, 9.5949252 47.2381432, 9.5951293 47.2381665, 9.5953683 47.2381875, 9.5956371 47.2382239, 9.5959097 47.2382739, 9.5960811 47.2383201, 9.596122 47.2383333, 9.5961469 47.2383414, 9.5962779 47.2383864)","['4', '3', '5']",L191,,,
9456330,Schloßgraben,primary,50,False,False,17.458,"LINESTRING (9.5984696 47.2382838, 9.5985728 47.2381433)",2,L190,,,
27874776,Schloßgraben,primary,50,True,False,73.22200000000001,"LINESTRING (9.5984696 47.2382838, 9.5984073 47.23842, 9.598309 47.2385314, 9.5982266 47.2386439, 9.5981934 47.2387142, 9.5981469 47.2388126, 9.5981353 47.2388387, 9.598106 47.238891)",3,L190,,,
229730658,Churer Straße,residential,30,False,False,62.239000000000004,"LINESTRING (9.5930369 47.238174, 9.5929417 47.2381521, 9.5928573 47.2381323, 9.5928339 47.2381257, 9.5927134 47.2380914, 9.5925037 47.2380201, 9.5924186 47.2379845, 9.592322 47.2379441, 9.5922959 47.2379332)",,,,,
"[229730658, 509052475, 5855582]",Churer Straße,residential,"['30', '50']",False,True,109.551,"LINESTRING (9.5930369 47.238174, 9.5932508 47.2382161, 9.5934303 47.2382476, 9.5935373 47.2382652, 9.5936539 47.2382748, 9.5937407 47.2382755, 9.5938179 47.2382663, 9.5938929 47.2382503, 9.5939685 47.2382274, 9.594035 47.2382057, 9.594117 47.2381717, 9.5941602 47.238148, 9.5941783 47.238138, 9.5942158 47.2381073, 9.594249 47.2380808, 9.594328 47.2380106)",,,,,
9419694,Vorstadt,residential,30,False,False,26.187,"LINESTRING (9.5936538 47.237459, 9.5937246 47.2374279, 9.5938653 47.237377, 9.5939608 47.2373506)",3,,,,
362453279,Hirschgraben,primary,50,False,True,30.934999999999995,"LINESTRING (9.5936538 47.237459, 9.5935394 47.2373262, 9.5934786 47.2372659, 9.5934359 47.2372236)",3,L191,,,
"[247760936, 454542621]",Hirschgraben,primary,50,False,False,45.091,"LINESTRING (9.5936538 47.237459, 9.5937212 47.2375277, 9.593901 47.2377108, 9.5939954 47.2377913)",3,L191,,,
9419124,Montfortgasse,residential,30,False,False,56.943000000000005,"LINESTRING (9.5939608 47.2373506, 9.5940619 47.2374079, 9.5941065 47.2374307, 9.5942412 47.237501, 9.5943152 47.2375329, 9.5943957 47.2375566, 9.5945207 47.237579, 9.5946106 47.2375927)",,,,,
9419694,Vorstadt,residential,30,False,True,26.186999999999998,"LINESTRING (9.5939608 47.2373506, 9.5938653 47.237377, 9.5937246 47.2374279, 9.5936538 47.237459)",3,,,,
"[9678240, 370712258, 801653396, 232197275, 370712254, 34055903]","['Mühletorplatz', 'Elisabethplatz', 'Vorstadt']",residential,30,False,False,249.289,"LINESTRING (9.5939608 47.2373506, 9.5940249 47.2373242, 9.5940498 47.2373175, 9.5940732 47.2373092, 9.59415 47.2372648, 9.5942935 47.2371734, 9.5944025 47.2371003, 9.5946554 47.2369308, 9.5947578 47.2368417, 9.5949181 47.2367023, 9.5951436 47.2364969, 9.595265 47.2363857, 9.5952827 47.2363695, 9.5953636 47.2362748, 9.5954127 47.2362093, 9.5954623 47.2361752, 9.5955736 47.2361329, 9.5959307 47.2358855, 9.5960844 47.2357791, 9.5961396 47.235743, 9.5961904 47.2357273)",,,3.3,,
30891062,Graf-Hugo-Wuhrgang,residential,50,False,False,94.11799999999998,"LINESTRING (9.5920334 47.2373355, 9.5927228 47.2370419, 9.5927545 47.2370209, 9.592908 47.2369188, 9.5929387 47.2368984, 9.593035 47.2368384)",,,,,
392329281,Graf-Hugo-Wuhrgang,residential,50,False,True,166.23600000000002,"LINESTRING (9.5946081 47.2357938, 9.5945256 47.2358569, 9.594463 47.2359047, 9.5944287 47.2359294, 9.5942729 47.2360389, 9.5938185 47.2363475, 9.5933436 47.2366558, 9.5931775 47.2367557, 9.5931469 47.2367741, 9.593035 47.2368384)",,,,,
392329275,Schillerstraße,primary,50,False,False,41.244,"LINESTRING (9.5923227 47.2362875, 9.5922749 47.2362529, 9.5921028 47.2361322, 9.5919435 47.2360205)",4,L191,,,
"[392329275, 454542620]",Schillerstraße,primary,50,False,True,81.57000000000001,"LINESTRING (9.5923227 47.2362875, 9.5923483 47.236306, 9.5924292 47.2363644, 9.5926965 47.2365577, 9.5928747 47.236701, 9.592925 47.2367424, 9.5929589 47.2367703, 9.593035 47.2368384)","['4', '3']",L191,,,
