osmid,lanes,highway,oneway,reversed,length,geometry,bridge,ref,name,maxspeed,width
460221442,2,trunk_link,False,False,12.455,"LINESTRING (16.078312 48.5475981, 16.0782157 48.547506)",,,,,
14350473,1,trunk_link,True,False,363.32,"LINESTRING (16.078312 48.5475981, 16.0781658 48.5475688, 16.0780216 48.5475413, 16.0778768 48.5475267, 16.0777326 48.5475258, 16.0775931 48.5475404, 16.0774691 48.5475675, 16.0773537 48.5476066, 16.0772371 48.5476585, 16.0771023 48.5477313, 16.0767221 48.5479621, 16.0762192 48.5482706, 16.0759027 48.54845, 16.0756224 48.5486, 16.0752583 48.5487825, 16.0748823 48.5489592, 16.0745866 48.5490853, 16.0742541 48.5492046)",,,,,
47273795,2,trunk_link,False,True,37.143,"LINESTRING (16.078312 48.5475981, 16.0784402 48.5476915, 16.0785327 48.5477567, 16.0786581 48.5478411)",,,,,
"[460221441, 35670706, 35670708]",2,trunk_link,False,True,268.23900000000003,"LINESTRING (16.0770346 48.5452924, 16.0769965 48.54538, 16.0769737 48.5454866, 16.0769784 48.5456091, 16.0770066 48.545744, 16.0770545 48.5459138, 16.0771212 48.5460779, 16.0772028 48.5462531, 16.0772916 48.546425, 16.077376 48.5465745, 16.0775217 48.5467785, 16.077655 48.5469442, 16.0777545 48.5470606, 16.077975 48.5472903, 16.0780676 48.5473764, 16.0782157 48.547506)",yes,,,,
"[50015106, 50015107, 460221444, 460221447, 50015114, 50015115, 255806263]","['1', '2']",trunk,True,False,726.762,"LINESTRING (16.0742541 48.5492046, 16.0739647 48.5493495, 16.0735867 48.5495208, 16.0733159 48.5496389, 16.0730951 48.5497314, 16.0723793 48.5500246, 16.0714135 48.5503956, 16.0707016 48.5506695, 16.0703558 48.5508124, 16.0698714 48.5510283, 16.0694768 48.5512206, 16.0691272 48.5514173, 16.0685234 48.5517425, 16.0683031 48.5518744, 16.0681061 48.5519938, 16.0679287 48.5521041, 16.0675293 48.5523842, 16.067153 48.5526749, 16.0668751 48.5529044, 16.0665377 48.5531956)",yes,S3,Weinviertler Schnellstraße,100,6
460221442,2,trunk_link,False,True,12.455,"LINESTRING (16.0782157 48.547506, 16.078312 48.5475981)",,,,,
"[460221441, 35670706, 35670708]",2,trunk_link,False,False,268.239,"LINESTRING (16.0782157 48.547506, 16.0780676 48.5473764, 16.077975 48.5472903, 16.0777545 48.5470606, 16.077655 48.5469442, 16.0775217 48.5467785, 16.077376 48.5465745, 16.0772916 48.546425, 16.0772028 48.5462531, 16.0771212 48.5460779, 16.0770545 48.5459138, 16.0770066 48.545744, 16.0769784 48.5456091, 16.0769737 48.5454866, 16.0769965 48.54538, 16.0770346 48.5452924)",yes,,,,
47273795,2,trunk_link,False,False,37.143,"LINESTRING (16.0786581 48.5478411, 16.0785327 48.5477567, 16.0784402 48.5476915, 16.078312 48.5475981)",,,,,
814509436,1,trunk_link,True,False,226.50199999999998,"LINESTRING (16.0781285 48.5462777, 16.0781713 48.5461276, 16.0782358 48.5460002, 16.0783354 48.545727, 16.0783805 48.5455243, 16.0783698 48.5454448, 16.0783363 48.5453649, 16.0782806 48.5452837, 16.0782136 48.5452122, 16.0781351 48.5451541, 16.0780553 48.5451092, 16.077944 48.5450719, 16.0778267 48.5450462, 16.077706 48.5450364, 16.0775678 48.5450404, 16.0774431 48.5450622, 16.0773398 48.5450972, 16.0772372 48.5451496, 16.0771286 48.5452193, 16.0770346 48.5452924)",,,,,
"[921802689, 814509444, 814509445, 50015128, 816438840, 814509438, 814509439]","['1', '2']",trunk,True,False,1183.3920000000003,"LINESTRING (16.0663045 48.5533075, 16.0666326 48.5530102, 16.0670844 48.552626, 16.0674854 48.5523232, 16.0678765 48.552061, 16.0684975 48.5516962, 16.0691157 48.5513621, 16.0695838 48.551108, 16.0699862 48.550923, 16.0704486 48.5507172, 16.0709077 48.5505342, 16.0723241 48.5499906, 16.0730547 48.5496895, 16.073449 48.5495246, 16.0738396 48.5493482, 16.0743206 48.5491106, 16.0746846 48.5489187, 16.0754285 48.5484996, 16.0757437 48.5483058, 16.0761299 48.548047, 16.0764935 48.5477684, 16.0768555 48.5474854, 16.0771904 48.5472095, 16.0774462 48.5469941, 16.0776972 48.5467441, 16.0778764 48.5465564, 16.0781285 48.5462777)",yes,S3,Weinviertler Schnellstraße,100,6
