osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,tunnel
115880544,Neuhofstraße,residential,30,False,True,203.42100000000002,"LINESTRING (13.7115957 46.8016307, 13.7117638 46.8014707, 13.7119781 46.801352, 13.7123497 46.8012979, 13.7128579 46.8013153, 13.7133836 46.801161, 13.7139737 46.8009774)",,,,,
296071504,Villacherstraße,primary,50,False,False,141.379,"LINESTRING (13.7115957 46.8016307, 13.7112663 46.8016707, 13.7109242 46.8017346, 13.7106916 46.8017803, 13.7105865 46.8017911, 13.710495 46.8017858, 13.7103566 46.8017654, 13.7102547 46.8017269, 13.7101666 46.8016682, 13.7101308 46.8016334, 13.7100867 46.8015682, 13.7100638 46.8014838, 13.7100603 46.8014464)",2,B88,,,
"[702847753, 291940601, 705218366]",Turracherstraße,primary,"['70', '50', '100']",False,True,348.40299999999996,"LINESTRING (13.7115957 46.8016307, 13.7118022 46.8016217, 13.7118655 46.8016219, 13.7119887 46.801621, 13.7127774 46.8016358, 13.7131854 46.801633, 13.7136157 46.8016029, 13.7140465 46.8015566, 13.7144394 46.801505, 13.7154734 46.80135, 13.7161159 46.8012477)",2,B88,,,
24625036,Landstraße,secondary,,False,False,104.352,"LINESTRING (13.7075512 46.8013652, 13.7075536 46.8014014, 13.7075477 46.8014363, 13.7075489 46.8014578, 13.7075499 46.8014747, 13.7075557 46.8015383, 13.7075464 46.8019054, 13.7075498 46.8020458, 13.7075882 46.802178, 13.7076726 46.8022861)",,L18,,,
26656563,Villacherstraße,secondary,50,False,True,172.25799999999998,"LINESTRING (13.7075512 46.8013652, 13.707626 46.8013537, 13.7076917 46.8013445, 13.7078609 46.8013097, 13.7081673 46.8012691, 13.7082275 46.8012651, 13.7082877 46.8012623, 13.7084219 46.8012508, 13.7085387 46.8012407, 13.7088203 46.8012275, 13.7090804 46.8012064, 13.7096192 46.8011638, 13.7097892 46.8011577)",2,L18,,,
167641304,Hauptstraße,residential,50,False,False,52.47,"LINESTRING (13.7075512 46.8013652, 13.7075174 46.8013032, 13.7074812 46.8012233, 13.7073608 46.8010004, 13.7072818 46.8009356)",2,,,,
"[292066417, 69288547]",Schulstraße,residential,30,False,False,127.329,"LINESTRING (13.7072818 46.8009356, 13.7072857 46.8008655, 13.7072472 46.8007796, 13.7072312 46.8007491, 13.7071333 46.8005635, 13.7070737 46.8002838, 13.7070566 46.8002037, 13.7071138 46.7998139)",,,,,
167641304,Hauptstraße,residential,50,False,True,52.47,"LINESTRING (13.7072818 46.8009356, 13.7073608 46.8010004, 13.7074812 46.8012233, 13.7075174 46.8013032, 13.7075512 46.8013652)",2,,,,
"[292066420, 703464438]",Hauptstraße,residential,"['50', '30']",False,False,288.312,"LINESTRING (13.7072818 46.8009356, 13.7072127 46.8009069, 13.7071204 46.8008749, 13.7070216 46.8008586, 13.7068186 46.8008563, 13.7067186 46.8008769, 13.7066348 46.8008941, 13.7065343 46.800925, 13.7064663 46.8009692, 13.7063949 46.8010149, 13.7063433 46.8010824, 13.7062697 46.8012842, 13.7061847 46.8014505, 13.7060334 46.8016101, 13.7058684 46.8017356, 13.7057454 46.8017936, 13.7056807 46.8018099, 13.7056194 46.8018103, 13.705556 46.8018008, 13.7055074 46.8017761, 13.7054695 46.8017539, 13.7054487 46.8017255, 13.7054162 46.8016545, 13.7054172 46.8016052, 13.7054387 46.8015658, 13.7055504 46.801483, 13.7057885 46.8013867, 13.7058195 46.8013445, 13.7058359 46.8012984, 13.7058262 46.8012481, 13.7058039 46.8011948, 13.7057315 46.8011209)",2,,,,
703197136,,primary,50,True,False,24.198,"LINESTRING (13.7136206 46.7978473, 13.7136634 46.7978014, 13.7137301 46.7977719, 13.7138087 46.7977641, 13.713885 46.7977794)",1,,roundabout,,
703197137,,primary,50,True,False,10.344000000000001,"LINESTRING (13.7139781 46.7978644, 13.7139802 46.7979109, 13.7139578 46.7979548)",1,,roundabout,,
"[703197138, 378417990]",Villacherstraße,primary,50,True,False,29.005000000000003,"LINESTRING (13.7139578 46.7979548, 13.7139935 46.7980205, 13.7140297 46.7980665, 13.7141257 46.798134, 13.7141574 46.7981726)",1,B88,,,
893047592,,primary,50,True,False,15.517,"LINESTRING (13.7139578 46.7979548, 13.713914 46.7979904, 13.7138545 46.7980128, 13.7137872 46.7980192)",1,,roundabout,,
378417994,Bundesstraße,primary,50,True,False,37.644999999999996,"LINESTRING (13.7143536 46.7976494, 13.7143037 46.7976947, 13.7141874 46.7977405, 13.7141007 46.7977827, 13.7140144 46.7978394, 13.7139781 46.7978644)",1,B98,,,
24625036,Landstraße,secondary,,False,True,30.009999999999998,"LINESTRING (13.7083541 46.8028296, 13.708324 46.8027546, 13.7081215 46.8026216)",,L18,,,
69273882,Knappenstraße,secondary,,False,False,79.339,"LINESTRING (13.7083541 46.8028296, 13.708324 46.8029, 13.707944 46.8032566, 13.7077715 46.8034165)",,L18,,,
167641309,Landstraße,residential,,False,False,29.576,"LINESTRING (13.7083541 46.8028296, 13.708652 46.8028962, 13.708726 46.8028871)",,,,,
379307313,Villacherstraße,primary,50,False,False,4.01,"LINESTRING (13.7101393 46.8012815, 13.7101696 46.801252)",2,B88,,,
379307312,Villacherstraße,primary,50,False,True,19.494,"LINESTRING (13.7101393 46.8012815, 13.7100985 46.8013341, 13.7100673 46.8014041, 13.7100603 46.8014464)",2,B88,,,
379307315,Villacherstraße,secondary_link,50,True,False,16.3,"LINESTRING (13.7101393 46.8012815, 13.7100303 46.8012605, 13.7099351 46.8012376)",1,L18,,,
24943648,Villacherstraße,primary,50,False,False,99.095,"LINESTRING (13.7104664 46.8011005, 13.7111778 46.8008783, 13.711632 46.8007051)",2,B88,,,
379307316,Villacherstraße,primary,50,False,True,28.407,"LINESTRING (13.7104664 46.8011005, 13.7102416 46.8011971, 13.7101696 46.801252)",2,B88,,,
24943648,Villacherstraße,primary,50,False,False,54.97,"LINESTRING (13.711632 46.8007051, 13.7122837 46.8004921)",2,B88,,,
24943648,Villacherstraße,primary,50,False,True,99.095,"LINESTRING (13.711632 46.8007051, 13.7111778 46.8008783, 13.7104664 46.8011005)",2,B88,,,
115880549,Angerweg,residential,30,False,False,91.412,"LINESTRING (13.711632 46.8007051, 13.7115863 46.8006224, 13.7115198 46.8003281, 13.7114628 46.8001305, 13.7113964 46.7999005)",,,,,
24943648,Villacherstraße,primary,50,False,True,38.966,"LINESTRING (13.7144019 46.7992303, 13.7143401 46.7992905, 13.7142103 46.7994169, 13.7141049 46.7995157)",2,B88,,,
331506423,Villacherstraße,primary,50,False,False,39.665,"LINESTRING (13.7144019 46.7992303, 13.7145697 46.7990651, 13.7146755 46.7989275)",2,B88,,,
331506429,Töplitzweg,residential,30,False,True,29.982,"LINESTRING (13.7144019 46.7992303, 13.7144768 46.7992827, 13.7146765 46.7994236)",,,,,
331506423,Villacherstraße,primary,50,False,False,15.251999999999999,"LINESTRING (13.7146755 46.7989275, 13.7147143 46.7988382, 13.7147217 46.7987945)",2,B88,,,
331506423,Villacherstraße,primary,50,False,True,39.665,"LINESTRING (13.7146755 46.7989275, 13.7145697 46.7990651, 13.7144019 46.7992303)",2,B88,,,
503460073,Villacherstraße,residential,,False,False,45.111999999999995,"LINESTRING (13.7146755 46.7989275, 13.714761 46.7989477, 13.7148844 46.7989293, 13.7149541 46.7988972, 13.7150547 46.7988393, 13.7150641 46.7987962, 13.715023 46.7987362)",,,,,
"[331506423, 378417989, 121523143]",Villacherstraße,primary,50,False,True,87.839,"LINESTRING (13.7141574 46.7981726, 13.7143532 46.7982577, 13.7145135 46.7983383, 13.7145596 46.7983615, 13.7146018 46.7984065, 13.7147134 46.7986301, 13.7147346 46.7987186, 13.7147217 46.7987945)",2,B88,,yes,
"[121523145, 1092319810]",Villacherstraße,primary,50,True,False,33.273,"LINESTRING (13.7141574 46.7981726, 13.7140834 46.7981605, 13.7139751 46.7981086, 13.7138392 46.7980436, 13.7137872 46.7980192)",1,B88,,,
5211386,,primary,50,True,False,10.612,"LINESTRING (13.7137872 46.7980192, 13.7137194 46.7980082, 13.7136622 46.7979809)",1,,roundabout,,
5211386,,primary,50,True,False,15.931000000000001,"LINESTRING (13.7136622 46.7979809, 13.7136236 46.7979411, 13.7136091 46.7978944, 13.7136206 46.7978473)",1,,roundabout,,
378417991,Stadionstraße,primary,50,True,False,34.57,"LINESTRING (13.7136622 46.7979809, 13.7135475 46.7979771, 13.7133818 46.7979831, 13.7132756 46.7979942, 13.7132099 46.7979903)",1,B98,,,
"[121523194, 121523195, 291940596]",Hauptstraße,residential,30,False,True,27.918,"LINESTRING (13.7048543 46.8011782, 13.7049583 46.8011757, 13.7050999 46.8011516, 13.705213 46.8011316)",2,,,yes,
503458730,Lederergasse,residential,,False,False,48.675000000000004,"LINESTRING (13.7048543 46.8011782, 13.7048368 46.8012492, 13.7048314 46.8013686, 13.704818 46.801476, 13.7047577 46.8016082)",,,,,
504867784,Volksbankplatz,residential,30,False,True,40.767,"LINESTRING (13.7050942 46.8004464, 13.7056143 46.8003589)",,,,,
60904841,Mirnockstraße,residential,30,False,True,77.244,"LINESTRING (13.7050942 46.8004464, 13.7050895 46.8007435, 13.7051841 46.80107, 13.705213 46.8011316)",,Mirnockstraße,,,
60904841,Mirnockstraße,residential,30,False,False,77.244,"LINESTRING (13.705213 46.8011316, 13.7051841 46.80107, 13.7050895 46.8007435, 13.7050942 46.8004464)",,Mirnockstraße,,,
"[121523194, 121523195, 291940596]",Hauptstraße,residential,30,False,False,27.918,"LINESTRING (13.705213 46.8011316, 13.7050999 46.8011516, 13.7049583 46.8011757, 13.7048543 46.8011782)",2,,,yes,
292066411,Hauptstraße,residential,30,False,True,40.211,"LINESTRING (13.705213 46.8011316, 13.7054709 46.8010962, 13.7056036 46.8010971, 13.7057315 46.8011209)",2,,,,
504867784,Volksbankplatz,residential,30,False,False,40.767,"LINESTRING (13.7056143 46.8003589, 13.7050942 46.8004464)",,,,,
"[121523209, 892214002, 892214001]",Fischerstraße,residential,30,False,True,277.8879999999999,"LINESTRING (13.7056143 46.8003589, 13.7056847 46.8003034, 13.7059754 46.8002661, 13.7061623 46.8002306, 13.7062947 46.8002004, 13.7064141 46.8001489, 13.7065005 46.800075, 13.7065872 46.8000154, 13.7066053 46.7999425, 13.7066242 46.7997013, 13.7066295 46.7996336, 13.7066633 46.7993919, 13.7066555 46.7993066, 13.7066403 46.7992598, 13.7066243 46.7992107, 13.7065724 46.7990899, 13.7065573 46.7990509, 13.7065179 46.7989495, 13.7064946 46.7988269, 13.7064868 46.7987363, 13.7064946 46.7985532, 13.7065034 46.7984695, 13.7065069 46.7984358, 13.7065148 46.7983633, 13.7065105 46.7983129)",,,,,
69288552,Grießbühel,residential,30,False,False,17.853,"LINESTRING (13.7057315 46.8011209, 13.7058502 46.8010706, 13.7059303 46.8010357)",,,,,
