osmid,ref,highway,junction,oneway,reversed,length,geometry,lanes,name,bridge
24302758,45;50,trunk,roundabout,True,False,7.947,"LINESTRING (-74.7369298 5.207549, -74.7368946 5.2075418, -74.7368588 5.2075434)",,,
24302738,45;50,trunk,,True,False,163.21099999999998,"LINESTRING (-74.7367849 5.2092055, -74.736914 5.2086281, -74.736948 5.2084538, -74.7369718 5.2082813, -74.7370007 5.2080038, -74.7370063 5.2078479, -74.7370122 5.2077585)",2,Carrera 13,
242417625,,residential,,False,True,33.924,"LINESTRING (-74.7367849 5.2092055, -74.7368827 5.2092099, -74.7369711 5.209197, -74.7370879 5.2091738)",,,
24302758,45;50,trunk,roundabout,True,False,5.439,"LINESTRING (-74.7367385 5.2077168, -74.736756 5.2077625)",,,
24302758,45;50,trunk,roundabout,True,False,4.191,"LINESTRING (-74.7370122 5.2077585, -74.737026 5.2077234)",,,
148450604,,residential,,False,False,63.509,"LINESTRING (-74.7364002 5.2062855, -74.7358267 5.2062898)",,Calle 16,
242415936,,residential,,True,False,17.323,"LINESTRING (-74.7364002 5.2062855, -74.736395 5.2064412)",,Carrera 11,
199641952,,residential,,False,True,61.672,"LINESTRING (-74.736395 5.2064412, -74.736939 5.20656)",,Calle 15,
242415936,,residential,,True,False,68.955,"LINESTRING (-74.736395 5.2064412, -74.736223 5.2070372)",,Carrera 11,
148450605,,residential,,False,False,63.206,"LINESTRING (-74.736223 5.2070372, -74.735667 5.2069087)",,,
242415936,,residential,,True,False,16.939,"LINESTRING (-74.736223 5.2070372, -74.7361936 5.2071085, -74.7361632 5.2071774)",,Carrera 11,
199641952,,residential,,False,True,8.264,"LINESTRING (-74.7374615 5.2067586, -74.7375269 5.2067944)",,Calle 15,
169273395,,tertiary,,True,False,111.59,"LINESTRING (-74.7374615 5.2067586, -74.7374478 5.2068041, -74.7373586 5.2071012, -74.7373108 5.2072084, -74.7372483 5.2073065, -74.7371753 5.2074082, -74.7371162 5.2074668, -74.7370574 5.2075051, -74.7369298 5.207549)",,Carrera 13,
199641952,,residential,,False,False,62.254999999999995,"LINESTRING (-74.7374615 5.2067586, -74.7373905 5.2067097, -74.736939 5.20656)",,Calle 15,
199641952,,residential,,False,False,61.672,"LINESTRING (-74.736939 5.20656, -74.736395 5.2064412)",,Calle 15,
148450603,,residential,,False,False,55.480000000000004,"LINESTRING (-74.736939 5.20656, -74.7369862 5.2064256, -74.7371066 5.2060898)",,Carrera 12,
148450603,,residential,,False,True,107.55799999999999,"LINESTRING (-74.736939 5.20656, -74.7369023 5.2066233, -74.7366581 5.2068352, -74.7366222 5.2068851, -74.7366116 5.2069404, -74.7365998 5.2073942)",,Carrera 12,
199641952,,residential,,False,True,62.254999999999995,"LINESTRING (-74.736939 5.20656, -74.7373905 5.2067097, -74.7374615 5.2067586)",,Calle 15,
148450604,,residential,,False,True,63.509,"LINESTRING (-74.7358267 5.2062898, -74.7364002 5.2062855)",,Calle 16,
812658895,,residential,,False,True,71.119,"LINESTRING (-74.7358267 5.2062898, -74.7357875 5.206493, -74.735667 5.2069087)",,Carrera 10,
