osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,tunnel,ref,bridge
28669130,True,2,Calle 45A,residential,False,107.941,"LINESTRING (-75.5729351 6.2475089, -75.5738503 6.2478475)",,,,,
98731835,True,3,Carrera 54,tertiary,False,74.312,"LINESTRING (-75.5729351 6.2475089, -75.573181 6.2468869)",,,,,
98731835,True,3,Carrera 54,tertiary,False,74.942,"LINESTRING (-75.573181 6.2468869, -75.5734372 6.2462629)",,,,,
98731854,True,2,Calle 45,tertiary,False,53.863,"LINESTRING (-75.573181 6.2468869, -75.5727223 6.2467234)",,,,,
98731800,True,2,Calle 45,tertiary,False,80.175,"LINESTRING (-75.5780068 6.2485973, -75.5773269 6.2483461)",,,,,
30658638,True,2,Carrera 59,residential,False,63.521,"LINESTRING (-75.5773853 6.2477286, -75.5775504 6.2472506, -75.5775719 6.2471883)",,,,,
30658638,True,2,Carrera 59,residential,False,50.012,"LINESTRING (-75.5772384 6.248154, -75.5773853 6.2477286)",,,,,
28746584,True,1,,tertiary,False,26.638999999999996,"LINESTRING (-75.5772384 6.248154, -75.5771912 6.2481444, -75.5771433 6.2481501, -75.5770997 6.2481704, -75.5770647 6.2482033, -75.5770419 6.2482456)",roundabout,,,,
98731848,True,2,Calle 45,tertiary,False,64.677,"LINESTRING (-75.5770419 6.2482456, -75.5764901 6.2480521)",,,,,
28746584,True,1,,tertiary,False,26.519000000000002,"LINESTRING (-75.5770419 6.2482456, -75.5770336 6.2482926, -75.5770406 6.2483398, -75.577062 6.2483824, -75.5770959 6.2484162, -75.5771387 6.2484378)",roundabout,,,,
28746584,True,1,,tertiary,False,25.498,"LINESTRING (-75.5771387 6.2484378, -75.5771843 6.248445, -75.5772299 6.2484381, -75.5772713 6.248418, -75.5773047 6.2483863, -75.5773269 6.2483461)",roundabout,,,,
