osmid,name,highway,oneway,reversed,length,geometry,lanes,width,ref,maxspeed
814242678,Carrera 21,unclassified,False,False,37.214,"LINESTRING (-73.4889866 4.2679909, -73.4890108 4.2683247)",,,,
594316422,,unclassified,False,True,58.538000000000004,"LINESTRING (-73.4889866 4.2679909, -73.4890774 4.2677849, -73.489231 4.2675253)",,,,
814242677,Carrera 21,residential,False,False,55.215999999999994,"LINESTRING (-73.4889866 4.2679909, -73.4888953 4.2676594, -73.4888807 4.2675073)",,,,
814242679,Calle 9,residential,False,False,108.382,"LINESTRING (-73.4874587 4.2727065, -73.4864903 4.2728386)",,,,
814242679,Calle 9,residential,False,True,7.287,"LINESTRING (-73.4874587 4.2727065, -73.4875239 4.2726983)",,,,
1085033256,Carrera 19,residential,True,False,125.467,"LINESTRING (-73.4874587 4.2727065, -73.4876181 4.2738236)",,,,
1085077940,Calle 10,residential,True,False,5.426,"LINESTRING (-73.4904433 4.2715155, -73.4904014 4.2714903)",,,,
1085077944,Calle 10,residential,False,True,54.455,"LINESTRING (-73.4904433 4.2715155, -73.4904838 4.2715152, -73.4909338 4.2714923)",,,,
814242679,Calle 9,residential,False,False,109.398,"LINESTRING (-73.4903626 4.2723828, -73.4893814 4.2724854)",,,,
814242679,Calle 9,residential,False,True,131.682,"LINESTRING (-73.4903626 4.2723828, -73.4915453 4.272276)",,,,
1085033253,Carrera 22,residential,False,True,85.438,"LINESTRING (-73.4903626 4.2723828, -73.4903726 4.2716145)",,,,
594316412,Carrera 18,residential,False,True,104.669,"LINESTRING (-73.4864903 4.2728386, -73.4863213 4.2719125)",,,,
690935970,Carrera 18,residential,False,False,94.768,"LINESTRING (-73.4864903 4.2728386, -73.4864122 4.2736873)",1,4,,
814242679,Calle 9,residential,False,True,108.382,"LINESTRING (-73.4864903 4.2728386, -73.4874587 4.2727065)",,,,
814239102,Transversal 17,unclassified,False,True,128.588,"LINESTRING (-73.4864903 4.2728386, -73.4859556 4.2736829, -73.4858808 4.273822)",,,,
814242679,Calle 9,residential,False,False,122.706,"LINESTRING (-73.4864903 4.2728386, -73.4859717 4.2728912, -73.485917 4.2728948, -73.4853924 4.2728161)",,,,
387693347,Calle 10,residential,True,False,117.159,"LINESTRING (-73.4892962 4.2716091, -73.4903502 4.2715356)",,,,
387693350,Carrera 21,residential,False,False,97.897,"LINESTRING (-73.4892962 4.2716091, -73.4893814 4.2724854)",,,,
387693350,Carrera 21,residential,False,True,4.481,"LINESTRING (-73.4892962 4.2716091, -73.4892934 4.2715689)",,,,
387693350,Carrera 21,residential,False,False,121.928,"LINESTRING (-73.4893814 4.2724854, -73.4894876 4.2735768)",,,,
387693350,Carrera 21,residential,False,True,97.897,"LINESTRING (-73.4893814 4.2724854, -73.4892962 4.2716091)",,,,
814242679,Calle 9,residential,False,False,106.75,"LINESTRING (-73.4893814 4.2724854, -73.4884241 4.2725869)",,,,
814242679,Calle 9,residential,False,True,109.398,"LINESTRING (-73.4893814 4.2724854, -73.4903626 4.2723828)",,,,
1085033248,Calle 10,residential,True,False,8.555,"LINESTRING (-73.4873385 4.2717728, -73.4874151 4.2717636)",,,,
1085033256,Carrera 19,residential,True,False,104.675,"LINESTRING (-73.4873385 4.2717728, -73.4874587 4.2727065)",,,,
594316412,Carrera 18,residential,False,False,104.669,"LINESTRING (-73.4863213 4.2719125, -73.4864903 4.2728386)",,,,
594316412,Carrera 18,residential,False,True,6.943,"LINESTRING (-73.4863213 4.2719125, -73.4863105 4.271851)",,,,
