osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
41835852,,Zuidstraat,residential,30,True,False,66.002,"LINESTRING (3.1016598 51.0640463, 3.1020108 51.0638496, 3.1023596 51.0636477)",,,
249785985,1,Rijselstraat,residential,50,True,False,89.119,"LINESTRING (3.1031818 51.0631538, 3.102645 51.0624268)",,,
49056657,,Zuidstraat,residential,30,False,False,50.602000000000004,"LINESTRING (3.1031818 51.0631538, 3.1036701 51.0629228, 3.1037795 51.0629052)",,,
12098606,,Hofstraat,residential,30,False,True,110.85,"LINESTRING (3.1034629 51.0649266, 3.1033444 51.0648978, 3.1031804 51.0648535, 3.1028084 51.0647536, 3.1027505 51.0647323, 3.1020272 51.0645044)",,,
38499175,,Spinneschoolstraat,residential,30,True,False,80.206,"LINESTRING (3.1034629 51.0649266, 3.1033414 51.0651388, 3.1033065 51.0652059, 3.103243 51.065299, 3.1031934 51.0653363, 3.1030201 51.0654168, 3.1028847 51.0654535, 3.1028301 51.0654859)",,,
41836105,,Conscienceplein,residential,30,False,False,34.437000000000005,"LINESTRING (3.1034629 51.0649266, 3.1034891 51.0648474, 3.1036148 51.0646991, 3.1036887 51.0646599)",,,
41836105,,Conscienceplein,residential,30,False,True,34.437,"LINESTRING (3.1036887 51.0646599, 3.1036148 51.0646991, 3.1034891 51.0648474, 3.1034629 51.0649266)",,,
49049550,,Stationsstraat,residential,30,False,False,98.19000000000001,"LINESTRING (3.1036887 51.0646599, 3.1037994 51.06467, 3.1048715 51.0647674, 3.1050804 51.064781)",,,
56684803,2,Stationsstraat,residential,50,False,False,15.49,"LINESTRING (3.1050804 51.064781, 3.105302 51.0647846)",,,
49049550,,Stationsstraat,residential,30,False,True,98.19,"LINESTRING (3.1050804 51.064781, 3.1048715 51.0647674, 3.1037994 51.06467, 3.1036887 51.0646599)",,,
"[47851099, 1135386252]",,Elisabethlaan,residential,50,True,False,48.785999999999994,"LINESTRING (3.1050804 51.064781, 3.1051343 51.064587, 3.1051749 51.0644411, 3.1052243 51.0643527)",,,
12098655,,Viaductstraat,residential,50,True,False,56.266,"LINESTRING (3.1051964 51.0652816, 3.1051505 51.0651206, 3.1051483 51.0651098, 3.1050987 51.0648697, 3.1050804 51.064781)",,,
52830471,,Viaductstraat,residential,50,False,False,123.99200000000002,"LINESTRING (3.1051964 51.0652816, 3.1051831 51.0653628, 3.1051505 51.0654226, 3.1050686 51.0655514, 3.1049815 51.0657372, 3.1047298 51.0662269, 3.1046952 51.0663482)",,,
"[932227820, 49276863]",,Papebrugstraat,residential,50,False,True,136.513,"LINESTRING (3.1046952 51.0663482, 3.104754 51.0664116, 3.1048635 51.0664503, 3.1051555 51.0664952, 3.1052852 51.0665151, 3.1058366 51.0665999, 3.1059889 51.0666167, 3.1060596 51.066622, 3.1061331 51.0666187, 3.1062415 51.0666044, 3.106294 51.0665957, 3.1063745 51.0665781, 3.1065287 51.0665522)",,,
52830471,,Viaductstraat,residential,50,False,True,123.99199999999999,"LINESTRING (3.1046952 51.0663482, 3.1047298 51.0662269, 3.1049815 51.0657372, 3.1050686 51.0655514, 3.1051505 51.0654226, 3.1051831 51.0653628, 3.1051964 51.0652816)",,,
49055859,,Albrecht Rodenbachlaan,residential,50,False,False,133.619,"LINESTRING (3.1084878 51.0670127, 3.107577 51.0680693)",,,
784904450,,Brildam,residential,50,False,False,45.089,"LINESTRING (3.1084878 51.0670127, 3.108365 51.066987, 3.1080344 51.0669243, 3.1078679 51.0669012)",,,
49055859,,Albrecht Rodenbachlaan,residential,50,False,True,133.619,"LINESTRING (3.107577 51.0680693, 3.1084878 51.0670127)",,,
49047553,,Tinnenburgstraat,tertiary,50,False,False,117.60300000000001,"LINESTRING (3.1083899 51.0613473, 3.1081067 51.0613598, 3.1080514 51.0613623, 3.1074828 51.0613757, 3.106873 51.0613951, 3.1067091 51.0613945)",,,
52830469,,Kasteelstraat,residential,50,False,False,172.822,"LINESTRING (3.1083899 51.0613473, 3.108308 51.0614471, 3.1082878 51.0614716, 3.1079441 51.0618067, 3.1077275 51.0619427, 3.1077201 51.0619473, 3.1070899 51.0622756, 3.106793 51.0623911, 3.1067064 51.0624535)",,,
1242066328,2,Zwevezelestraat,unclassified,50,False,True,35.67,"LINESTRING (3.1083899 51.0613473, 3.1084507 51.0612307, 3.1084829 51.0611691, 3.1085257 51.0610386)",,,
49047551,,Tuinstraat,unclassified,50,False,False,55.708,"LINESTRING (3.1067091 51.0613945, 3.1067179 51.0613106, 3.1067224 51.0608937)",,,
49047553,,Tinnenburgstraat,tertiary,50,False,True,117.60300000000001,"LINESTRING (3.1067091 51.0613945, 3.106873 51.0613951, 3.1074828 51.0613757, 3.1080514 51.0613623, 3.1081067 51.0613598, 3.1083899 51.0613473)",,,
125390187,,Tinnenburgstraat,tertiary,50,False,False,65.587,"LINESTRING (3.1067091 51.0613945, 3.1064915 51.0613656, 3.1064109 51.0613528, 3.1057941 51.0612635)",,,
125390187,,Tinnenburgstraat,tertiary,50,False,True,65.587,"LINESTRING (3.1057941 51.0612635, 3.1064109 51.0613528, 3.1064915 51.0613656, 3.1067091 51.0613945)",,,
125390189,2,Tinnenburgstraat,tertiary,50,False,False,71.62700000000001,"LINESTRING (3.1057941 51.0612635, 3.1051666 51.061198, 3.1049525 51.0611507, 3.1048992 51.0611382, 3.104873 51.061132, 3.1048045 51.0611099)",,,
"[125390185, 357317459]",,Elisabethlaan,residential,50,False,True,219.88000000000002,"LINESTRING (3.1057941 51.0612635, 3.1056778 51.0616884, 3.1054781 51.0624421, 3.1054236 51.0627405, 3.1054195 51.0627628, 3.1053361 51.0632192)",,,
125390189,2,Tinnenburgstraat,tertiary,50,False,False,10.877,"LINESTRING (3.1048045 51.0611099, 3.104711 51.0610317)",,,
125390189,2,Tinnenburgstraat,tertiary,50,False,True,71.627,"LINESTRING (3.1048045 51.0611099, 3.104873 51.061132, 3.1048992 51.0611382, 3.1049525 51.0611507, 3.1051666 51.061198, 3.1057941 51.0612635)",,,
125390189,2,Tinnenburgstraat,tertiary,50,False,True,4.977,"LINESTRING (3.1046432 51.061018, 3.104711 51.0610317)",,,
543906615,1,Tinnenburgstraat,tertiary,50,True,False,22.584,"LINESTRING (3.1046432 51.061018, 3.1045871 51.0610317, 3.1044947 51.0610184, 3.1044149 51.0609891, 3.1043581 51.0609576)",,,
36987033,,Kortemarkstraat,tertiary,50,False,False,65.464,"LINESTRING (3.102645 51.0624268, 3.10249 51.0624339, 3.1019103 51.0624605, 3.1017102 51.0624605)",,,
"[357228036, 543904469]","['1', '2']",Rijselstraat,tertiary,50,False,"[False, True]",195.394,"LINESTRING (3.102645 51.0624268, 3.1025623 51.0623033, 3.1022223 51.0617952, 3.1022107 51.0616678, 3.1023724 51.0610263, 3.1023952 51.0609153, 3.1024139 51.0608474, 3.1024469 51.0607352)",,,
36987033,,Kortemarkstraat,tertiary,50,False,False,165.48899999999998,"LINESTRING (3.1017102 51.0624605, 3.1015735 51.0624331, 3.1014967 51.062402, 3.1002504 51.0617941, 3.1001666 51.0617678, 3.1000487 51.0617307, 3.0999155 51.0617239, 3.0997197 51.0617138)",,,
36987033,,Kortemarkstraat,tertiary,50,False,True,65.464,"LINESTRING (3.1017102 51.0624605, 3.1019103 51.0624605, 3.10249 51.0624339, 3.102645 51.0624268)",,,
41835716,,Blekerijstraat,residential,30,False,False,137.614,"LINESTRING (3.1017102 51.0624605, 3.1016872 51.0625076, 3.1016604 51.0625623, 3.1014361 51.0627614, 3.1013213 51.0628549, 3.1011624 51.062971, 3.1009519 51.0631124, 3.1006608 51.0633416, 3.100584 51.0633886, 3.1005521 51.0634469)",,,
41835716,,Blekerijstraat,residential,30,False,True,137.614,"LINESTRING (3.1005521 51.0634469, 3.100584 51.0633886, 3.1006608 51.0633416, 3.1009519 51.0631124, 3.1011624 51.062971, 3.1013213 51.0628549, 3.1014361 51.0627614, 3.1016604 51.0625623, 3.1016872 51.0625076, 3.1017102 51.0624605)",,,
41835717,,Eugeen Van Oyestraat,residential,,True,False,188.428,"LINESTRING (3.1005521 51.0634469, 3.1004397 51.0633803, 3.099075 51.0627379, 3.0987261 51.0625973, 3.0985006 51.0625065, 3.0983518 51.0624803)",,,
41884258,,Ravenhofstraat,residential,,False,False,153.04299999999998,"LINESTRING (3.1005521 51.0634469, 3.1005144 51.0634999, 3.1001674 51.0637128, 3.1000822 51.0637777, 3.1000553 51.0638417, 3.1000743 51.0638975, 3.1002275 51.0639653, 3.1004601 51.0640681, 3.100531 51.0640994, 3.1005732 51.0641419, 3.1005479 51.0641937, 3.1003055 51.0644415, 3.1003007 51.0644469, 3.1002594 51.0644941)",,,
131996053,1,Wollemarkt,living_street,20,False,True,45.92,"LINESTRING (3.1005521 51.0634469, 3.100659 51.0635033, 3.1008546 51.0636183, 3.1010293 51.0637304)",,,
"[49056656, 49056655]",,Karel de Ghelderelaan,residential,,False,True,130.689,"LINESTRING (3.0983518 51.0624803, 3.0985673 51.0623665, 3.0991732 51.062123, 3.0993761 51.0620414, 3.0994922 51.0619672, 3.099631 51.0618106, 3.0997197 51.0617138)",,,
58641549,,Eugeen Van Oyestraat,residential,,False,False,234.60199999999998,"LINESTRING (3.0983518 51.0624803, 3.0969717 51.0619659, 3.0968463 51.0619137, 3.0965822 51.0617396, 3.0956494 51.0621483, 3.095571 51.0621639)",,,
70025008,,Karel de Ghelderelaan,residential,,False,False,114.99799999999999,"LINESTRING (3.0983518 51.0624803, 3.0982897 51.0625391, 3.0978765 51.06293, 3.0977509 51.0630489, 3.0974519 51.0633461)",,,
70003973,,Onze Lieve Vrouwstraat,residential,,False,False,36.105999999999995,"LINESTRING (3.0965966 51.0643323, 3.0963883 51.0643959, 3.0961773 51.0645164)",,,
70025008,,Karel de Ghelderelaan,residential,,False,False,196.688,"LINESTRING (3.0965966 51.0643323, 3.0966553 51.0644553, 3.0967621 51.0645696, 3.097596 51.0650928, 3.0977537 51.0651917, 3.0983478 51.0655645, 3.098373 51.0656118, 3.0983982 51.0656591)",,,
70025008,,Karel de Ghelderelaan,residential,,False,True,45.297,"LINESTRING (3.0965966 51.0643323, 3.0966183 51.0642049, 3.0967319 51.064038, 3.0967803 51.0639916, 3.0968172 51.0639563)",,,
67837794,,Onze Lieve Vrouwstraat,residential,,False,True,157.322,"LINESTRING (3.0961773 51.0645164, 3.0955884 51.0641555, 3.0954531 51.0641108, 3.0950399 51.0638504, 3.0948602 51.0637249, 3.0945571 51.0635403)",,,
70003973,,Onze Lieve Vrouwstraat,residential,,False,False,83.66199999999999,"LINESTRING (3.0961773 51.0645164, 3.0958127 51.0647812, 3.095697 51.0648644, 3.0956622 51.064943, 3.095634 51.0650527, 3.0956306 51.0651517)",,,
70003973,,Onze Lieve Vrouwstraat,residential,,False,True,36.105999999999995,"LINESTRING (3.0961773 51.0645164, 3.0963883 51.0643959, 3.0965966 51.0643323)",,,
70003973,,Onze Lieve Vrouwstraat,residential,,False,True,83.66199999999999,"LINESTRING (3.0956306 51.0651517, 3.095634 51.0650527, 3.0956622 51.064943, 3.095697 51.0648644, 3.0958127 51.0647812, 3.0961773 51.0645164)",,,
49055855,,Burg,tertiary,30,False,True,58.912,"LINESTRING (3.1013774 51.0661859, 3.1013639 51.0661454, 3.1013302 51.0660864, 3.1012029 51.0659739, 3.1009984 51.0658231, 3.100906 51.0657549)",,,
81977638,,Burg,tertiary,30,False,False,65.095,"LINESTRING (3.1013774 51.0661859, 3.1013853 51.0662882, 3.1013471 51.066421, 3.101339 51.0665289, 3.1014048 51.0666384, 3.1014954 51.0667474)",,,
125390184,,Bassinstraat,residential,30,False,False,26.513,"LINESTRING (3.1049726 51.0631509, 3.1053361 51.0632192)",,,
38499173,,Boeiaardstraat,living_street,20,True,False,190.306,"LINESTRING (3.1049726 51.0631509, 3.10399 51.0642919, 3.1037705 51.0645466, 3.1037495 51.0645757, 3.1036887 51.0646599)",,,
49056658,,Bassinstraat,residential,30,False,True,87.739,"LINESTRING (3.1049726 51.0631509, 3.1038406 51.0629178, 3.1037795 51.0629052)",,,
125390184,,Bassinstraat,residential,30,False,True,26.513,"LINESTRING (3.1053361 51.0632192, 3.1049726 51.0631509)",,,
"[125390185, 357317459]",,Elisabethlaan,residential,50,False,False,219.88000000000002,"LINESTRING (3.1053361 51.0632192, 3.1054195 51.0627628, 3.1054236 51.0627405, 3.1054781 51.0624421, 3.1056778 51.0616884, 3.1057941 51.0612635)",,,
"[52830466, 249712043, 249712052, 249712054]",,Elisabethlaan,residential,50,False,True,126.35900000000001,"LINESTRING (3.1053361 51.0632192, 3.1052641 51.0637489, 3.1052324 51.0639816, 3.1052335 51.064163, 3.1052287 51.0642628, 3.1052243 51.0643527)",,,
56141993,,Papebrugstraat,residential,30,True,False,168.888,"LINESTRING (3.1028301 51.0654859, 3.1028347 51.0655129, 3.10289 51.0655439, 3.1032973 51.0657721, 3.1033429 51.0657977, 3.1037162 51.0660166, 3.1042007 51.0663123, 3.1044162 51.0663579, 3.1046952 51.0663482)",,,
70020868,,Spinneschoolstraat,residential,30,True,False,15.442,"LINESTRING (3.1028301 51.0654859, 3.1027291 51.0654632, 3.1026156 51.0654589)",,,
41835852,,Zuidstraat,residential,30,True,False,79.585,"LINESTRING (3.1023596 51.0636477, 3.1026521 51.0634799, 3.103058 51.0632471, 3.1031818 51.0631538)",,,
"[1180750530, 1180750531, 41835972]",,Zuidstraat,residential,,True,False,52.547,"LINESTRING (3.1023596 51.0636477, 3.1022906 51.0636012, 3.1020811 51.0634774, 3.10181 51.0633255)",,building_passage,
130888437,,Nieuwstraat,residential,,True,False,9.556,"LINESTRING (3.1011803 51.0642924, 3.1012868 51.0642385)",,,
432887440,,Markt,unclassified,,False,True,44.178,"LINESTRING (3.1011803 51.0642924, 3.1013195 51.064507, 3.1013923 51.0646274, 3.1014219 51.0646591)",,,
12098606,,Hofstraat,residential,30,False,False,110.85,"LINESTRING (3.1020272 51.0645044, 3.1027505 51.0647323, 3.1028084 51.0647536, 3.1031804 51.0648535, 3.1033444 51.0648978, 3.1034629 51.0649266)",,,
125390183,,Markt,residential,30,True,False,58.924,"LINESTRING (3.1020272 51.0645044, 3.1020216 51.0644091, 3.101979 51.0643067, 3.1016598 51.0640463)",,,
1135386256,,Nieuwstraat,residential,30,True,False,54.419000000000004,"LINESTRING (3.0993169 51.0655968, 3.0993227 51.0655588, 3.0994065 51.0654033, 3.0994384 51.0653359, 3.099531 51.0651606, 3.0995533 51.0651318)",,,
1135386257,,Oostendestraat,tertiary,,True,False,86.656,"LINESTRING (3.0993169 51.0655968, 3.099892 51.06566, 3.1005299 51.0657569)",,,
41884103,,Hoedemakersstraat,residential,30,False,True,29.368,"LINESTRING (3.1008073 51.0647628, 3.1005275 51.06461, 3.100512 51.0645804)",,,
41884106,,Huidevetterstraat,residential,30,True,False,61.542,"LINESTRING (3.1008073 51.0647628, 3.1007875 51.0648136, 3.1007681 51.0648416, 3.1006922 51.0649228, 3.1006042 51.0650218, 3.1003858 51.0652462)",,,
"[131996353, 1052318246]",,Hoedemakersstraat,residential,30,False,True,42.267,"LINESTRING (3.1008073 51.0647628, 3.1010413 51.0648728, 3.1011077 51.0648917, 3.1011828 51.0648997, 3.1012774 51.064909, 3.1013432 51.0649193)",2,,
12098681,,Zwanestraat,residential,,True,False,47.142,"LINESTRING (3.1010059 51.0653417, 3.1010526 51.065292, 3.1010817 51.065261, 3.1012382 51.0651518, 3.1013674 51.0650741, 3.1014519 51.0650271)",,,
