osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,width,tunnel,junction,access
717781387,Sint-Jacobsnieuwstraat,tertiary,30,False,True,23.837,,"LINESTRING (3.7308872 51.0539305, 3.7306809 51.0541012)",,,,,
"[54411793, 8176428, 25580335]","['Nieuwbrug', 'Keizer Karelstraat']",tertiary,30,False,False,41.332,yes,"LINESTRING (3.7308872 51.0539305, 3.7309185 51.0539036, 3.7309317 51.0538923, 3.7310791 51.0537652, 3.7311154 51.0537312, 3.7312211 51.053624)",,,,,
734758656,Bisdomkaai,residential,30,True,False,29.368,,"LINESTRING (3.7308872 51.0539305, 3.7308013 51.0538885, 3.7305607 51.0537643)",,,,,
23009508,Barrestraat,living_street,20,True,False,47.651,,"LINESTRING (3.7301514 51.0535003, 3.729622 51.0537703)",,,,,
38881244,Bisdomkaai,living_street,20,True,False,76.38399999999999,,"LINESTRING (3.7301514 51.0535003, 3.7299577 51.0533731, 3.7297748 51.0532326, 3.7294888 51.0529567)",,,,,
38881245,Bisdomplein,living_street,20,False,True,6.637,,"LINESTRING (3.7292709 51.0527139, 3.729224 51.052662)",,,,,
781142752,Bisdomplein,living_street,20,False,False,39.332,,"LINESTRING (3.7292709 51.0527139, 3.7287644 51.052868)",,,,,
141974228,Bisdomkaai,living_street,20,False,False,31.041999999999998,,"LINESTRING (3.7292709 51.0527139, 3.7293112 51.052768, 3.729379 51.0528486, 3.7294888 51.0529567)",,,,,
25580346,Lieven Bauwensplein,residential,30,True,False,20.798000000000002,,"LINESTRING (3.7283801 51.0514199, 3.7283101 51.0514453, 3.7283046 51.0514473, 3.728222 51.0514773, 3.7281224 51.0515134)",,,,,
"[116049403, 511851741]",François Laurentplein,tertiary,30,True,False,104.173,,"LINESTRING (3.7283801 51.0514199, 3.7283632 51.0513941, 3.7283563 51.0513822, 3.7282958 51.0512775, 3.7282394 51.0511489, 3.7282179 51.0510127, 3.7282446 51.0508164, 3.728254 51.050676, 3.7282626 51.0505889, 3.7282467 51.0505142, 3.7282434 51.0504999)",2,,,,
