osmid,oneway,name,highway,maxspeed,reversed,length,geometry,access,lanes,ref,junction,tunnel
53627695,True,Rue de la Croix Jurlet,residential,50,False,91.90299999999999,"LINESTRING (5.6259452 50.6682276, 5.6260064 50.6682721, 5.6260894 50.6683388, 5.6267059 50.6688984)",,,,,
129750957,True,Place Laixheau,residential,,False,17.583,"LINESTRING (5.6259452 50.6682276, 5.6259966 50.6681177, 5.6260186 50.6680765)",,,,,
176687147,False,Rue Thier des Monts,residential,,False,125.601,"LINESTRING (5.6259452 50.6682276, 5.6258807 50.668256, 5.6246002 50.6687414, 5.6244183 50.6688099)",,,,,
129750954,False,Es Deigne,residential,,True,139.48799999999997,"LINESTRING (5.629426 50.6650488, 5.6293505 50.6650141, 5.6292672 50.6649715, 5.6291681 50.6648696, 5.6290476 50.6647754, 5.6287238 50.6645735, 5.6286291 50.664453, 5.628607 50.6644105, 5.6285984 50.664352, 5.6286135 50.6643058, 5.6286178 50.6642813, 5.6286076 50.6642533, 5.6285469 50.6642051, 5.6284611 50.6641426, 5.6284654 50.6640909, 5.628496 50.6640303)",,,,,
"[1163533336, 84167819]",True,En Faurieux,"['living_street', 'residential']",,False,84.244,"LINESTRING (5.629426 50.6650488, 5.6293833 50.6650851, 5.6293308 50.6651052, 5.6288087 50.6652267, 5.6287595 50.6652381, 5.6283334 50.6653373)",,,,,
353258313,True,Rue Elisa Dumonceau,living_street,50,False,30.264,"LINESTRING (5.630303 50.6646124, 5.6300894 50.6643763)",,,,,
"[689320682, 84076770]",False,Rue des Mineurs,"['living_street', 'residential']",,True,217.89999999999998,"LINESTRING (5.630303 50.6646124, 5.6304082 50.6645544, 5.6307187 50.6643829, 5.6308072 50.6643279, 5.6311533 50.6640986, 5.6312546 50.6640342, 5.6318296 50.6636918, 5.6324739 50.6633057, 5.6325448 50.6632641)",,,,,
"[689320683, 1163533335]",True,Place Camille Lemonnier,living_street,,False,87.11,"LINESTRING (5.630303 50.6646124, 5.6300763 50.6646555, 5.6298177 50.6647366, 5.629662 50.664739, 5.6295465 50.6648467, 5.6294475 50.6649615, 5.6294486 50.6650204, 5.629426 50.6650488)",,,,,
54357303,False,Avenue d'Alès,residential,,False,115.424,"LINESTRING (5.6244183 50.6688099, 5.6242829 50.6686916, 5.6235033 50.6679491)",,,,,
176687147,False,Rue Thier des Monts,residential,,True,125.601,"LINESTRING (5.6244183 50.6688099, 5.6246002 50.6687414, 5.6258807 50.668256, 5.6259452 50.6682276)",,,,,
176687148,False,Rue Thier des Monts,residential,,False,92.227,"LINESTRING (5.6244183 50.6688099, 5.6242603 50.668862, 5.6232421 50.6691734)",,,,,
176687148,False,Rue Thier des Monts,residential,,True,92.227,"LINESTRING (5.6232421 50.6691734, 5.6242603 50.668862, 5.6244183 50.6688099)",,,,,
104121648,False,Rue Guillaume Delarge,residential,,True,144.178,"LINESTRING (5.6236075 50.6621675, 5.6236488 50.6621956, 5.623684 50.6622196, 5.6238089 50.6629791, 5.6238894 50.6634381)",,,,,
104121658,False,Rue Gallo-Romaine,residential,,True,97.71199999999999,"LINESTRING (5.6236075 50.6621675, 5.6236809 50.6621704, 5.6238729 50.6622211, 5.6246672 50.662639, 5.6247204 50.6626702)",,,,,
104121661,False,Rue Grande Foxhalle,residential,,True,73.212,"LINESTRING (5.6236075 50.6621675, 5.6236712 50.6620783, 5.6237862 50.6618283, 5.6238488 50.6616387, 5.6238273 50.6615332)",,,,,
54357303,False,Avenue d'Alès,residential,,True,115.424,"LINESTRING (5.6235033 50.6679491, 5.6242829 50.6686916, 5.6244183 50.6688099)",,,,,
