osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,access,tunnel,bridge
13870411,Rue Laurent Delvaux,residential,50,False,False,85.789,"LINESTRING (4.32993 50.5994533, 4.3299065 50.5995022, 4.3298395 50.5996368, 4.329806 50.5997041, 4.3297312 50.5998313, 4.3296989 50.5998916, 4.3296624 50.5999609, 4.3295314 50.6001819)",,,,,,
4450619,Rue de Namur,tertiary,50,True,False,83.62700000000001,"LINESTRING (4.3281056 50.5992483, 4.3285206 50.5993039, 4.3292774 50.5993528)",,,,,,
13870522,Rue Paquette,residential,,True,False,74.357,"LINESTRING (4.3281056 50.5992483, 4.3281536 50.5991666, 4.328156 50.5991148, 4.3281332 50.5990744, 4.3278682 50.598866, 4.3276464 50.5986983)",,,,,,
8415586,Boulevard de la Fleur de lys,secondary,50,False,True,136.574,"LINESTRING (4.3272559 50.5991696, 4.3271978 50.599261, 4.3271058 50.5993603, 4.3267092 50.5997451, 4.3264926 50.5999415, 4.326294 50.6001393, 4.3262253 50.6002068)",N27,,,,,
30877844,Place Émile de Lalieux,secondary,50,False,False,36.027,"LINESTRING (4.3272559 50.5991696, 4.3272757 50.5991107, 4.3273425 50.5989911, 4.3274237 50.5988643)",N27,2,,,,
513664560,Rue de Namur,tertiary,50,True,False,22.956,"LINESTRING (4.3272559 50.5991696, 4.3273453 50.5991889, 4.3275745 50.5992062)",,,,,,
8415517,Faubourg de Bruxelles,secondary,50,False,True,22.886,"LINESTRING (4.3262253 50.6002068, 4.326439 50.6003616)",N27,2,,,,
8415573,Boulevard des Archers,secondary,50,True,False,26.156,"LINESTRING (4.3262253 50.6002068, 4.3261422 50.6002519, 4.3259504 50.6003645)",N27a,,,,,
8415586,Boulevard de la Fleur de lys,secondary,50,False,False,136.57399999999998,"LINESTRING (4.3262253 50.6002068, 4.326294 50.6001393, 4.3264926 50.5999415, 4.3267092 50.5997451, 4.3271058 50.5993603, 4.3271978 50.599261, 4.3272559 50.5991696)",N27,,,,,
8415517,Faubourg de Bruxelles,secondary,50,False,False,22.886,"LINESTRING (4.326439 50.6003616, 4.3262253 50.6002068)",N27,2,,,,
8415517,Faubourg de Bruxelles,secondary,50,False,True,16.396,"LINESTRING (4.326439 50.6003616, 4.3265683 50.6004841)",N27,2,,,,
8415569,Faubourg de Bruxelles,secondary,50,True,False,35.431,"LINESTRING (4.326439 50.6003616, 4.3261946 50.6003265, 4.3259504 50.6003645)",,,,,,
