osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,lanes,bridge,ref,junction,tunnel,access
"[375213480, 90493347]",True,Fabriekskaai,residential,30,3,False,163.23,"LINESTRING (3.2615019 50.8315974, 3.2614414 50.8315611, 3.2613397 50.8314958, 3.2612777 50.831456, 3.2610496 50.8313156, 3.2609885 50.831285, 3.2608204 50.831205, 3.2605944 50.8311222, 3.2603562 50.8310265, 3.2602583 50.8309638, 3.2601562 50.8308872, 3.2600457 50.8307916, 3.2599556 50.8307209, 3.2599355 50.830707, 3.2598714 50.8306858, 3.2597564 50.830654)",,,,,,
"[1264315393, 591578178, 1264315394, 40652391, 209002090]",False,"['Budastraat', 'Overleiestraat']",residential,30,,False,49.628,"LINESTRING (3.2615019 50.8315974, 3.2615475 50.8315642, 3.2615511 50.8315615, 3.2618867 50.8313076, 3.2618874 50.831307, 3.261957 50.831256)",2,movable,,,,
"[767102999, 26368719]",False,Doorniksewijk,primary,50,,"[False, True]",81.185,"LINESTRING (3.268229 50.8239564, 3.2682574 50.8238377, 3.2682697 50.8237862, 3.2683249 50.8235718, 3.2683276 50.8235148, 3.2684022 50.823235)",2,,N50,,,
"[694460475, 694460476, 83098063]",False,Doorniksestraat,tertiary,30,,False,177.588,"LINESTRING (3.268229 50.8239564, 3.2682215 50.824002, 3.268218 50.8240222, 3.2681693 50.8241968, 3.2681277 50.8243551, 3.2680884 50.8245007, 3.2680612 50.8245765, 3.2680149 50.824674, 3.2679531 50.8247874, 3.2677678 50.8251162, 3.267679 50.8252656, 3.2675731 50.8254526, 3.2675506 50.8254887)",,,N50a,,,
"[610576712, 740119598, 28642590]",False,Wandelweg,primary,50,,True,128.919,"LINESTRING (3.268229 50.8239564, 3.2683458 50.8239641, 3.2683929 50.8239669, 3.2686124 50.8239846, 3.2693186 50.8240574, 3.2695998 50.8240896, 3.2696515 50.8240968, 3.269693 50.824104, 3.2697329 50.8241145, 3.2697678 50.8241263, 3.2698007 50.8241398, 3.2698198 50.824151, 3.2698336 50.8241632, 3.269847 50.8241766, 3.2698605 50.8241917, 3.2698678 50.8242722)",2,,N50h,,,
48873030,True,Hoveniersstraat,residential,30,,False,97.56,"LINESTRING (3.2684022 50.823235, 3.2683009 50.8232252, 3.267745 50.8231789, 3.2674277 50.8232113, 3.267034 50.8232693)",,,,,,
"[26368719, 767102999]",False,Doorniksewijk,primary,50,,"[False, True]",81.185,"LINESTRING (3.2684022 50.823235, 3.2683276 50.8235148, 3.2683249 50.8235718, 3.2682697 50.8237862, 3.2682574 50.8238377, 3.268229 50.8239564)",2,,N50,,,
298891722,True,Zwevegemsestraat,primary,,,False,39.517,"LINESTRING (3.2722031 50.8248028, 3.2722712 50.8248165, 3.2723321 50.8248319, 3.2723445 50.8248385, 3.2723537 50.8248463, 3.2723606 50.8248562, 3.2723648 50.824866, 3.2723673 50.8248759, 3.2723685 50.824886, 3.2723685 50.8248962, 3.2723667 50.8249059, 3.2723293 50.8249979, 3.2723319 50.8250304, 3.2723333 50.8250906)",,,R36,,,
839857465,True,Zwevegemsestraat,primary,,,False,50.944,"LINESTRING (3.2722031 50.8248028, 3.2723227 50.8247933, 3.2723778 50.8247862, 3.2724027 50.8247811, 3.2724278 50.8247721, 3.2724489 50.8247606, 3.2724654 50.8247471, 3.2724782 50.8247315, 3.2724878 50.8247175, 3.2725265 50.8246089, 3.2725275 50.8246008, 3.2725247 50.8245631, 3.2725087 50.8245274, 3.2724976 50.8245131, 3.2724773 50.8244816)",,,R36,,,
"[34342437, 298921393, 298921395, 740123094, 49294619]",True,"['Sint-Jorisstraat', 'Spoorweglaan']",tertiary,30,,False,145.577,"LINESTRING (3.2667387 50.8249076, 3.2668125 50.8248968, 3.2668828 50.82488, 3.266963 50.8248448, 3.2671746 50.824726, 3.2673128 50.8246591, 3.2673551 50.824638, 3.2674633 50.824584, 3.2676151 50.8245392, 3.2677631 50.8245343, 3.2679451 50.8245412, 3.2681793 50.8245537, 3.2686179 50.8245874)",2,yes,,,,
