osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel,width,access
23439433,2,Antwerpsestraat,tertiary,30,False,True,62.245000000000005,"LINESTRING (4.5650044 51.1349166, 4.5651172 51.1348517, 4.5653501 51.1347178, 4.5654127 51.1346679, 4.5656474 51.1345296)",,,,,
"[444633296, 4877313, 26570170, 26570169]",2,Antwerpsestraat,tertiary,30,False,"[False, True]",68.163,"LINESTRING (4.5650044 51.1349166, 4.5649 51.1349785, 4.5648663 51.1349985, 4.5646661 51.1351, 4.5646451 51.1351108, 4.5643314 51.1352755, 4.5642629 51.1353153)",yes,,,,
4826281,,Netelaan,tertiary,30,True,False,21.722999999999995,"LINESTRING (4.5725859 51.1266298, 4.5726232 51.1266259, 4.5726867 51.126635, 4.5727234 51.126652, 4.5727522 51.126681, 4.5727606 51.1267091, 4.5727544 51.1267355, 4.572747 51.1267473)",,roundabout,,,
"[29565451, 23584260, 922461549]",,"['Arthur Vanderpoortenlaan', 'Gasthuisvest']",residential,30,False,True,244.098,"LINESTRING (4.5738604 51.1282472, 4.5738281 51.1283791, 4.5740193 51.1286174, 4.5740882 51.128616, 4.5743125 51.1286114, 4.5745491 51.1286072, 4.574575 51.1286067, 4.574771 51.128607, 4.5749977 51.1286074, 4.5752229 51.1286077, 4.57545 51.1286147, 4.575568 51.1286207, 4.5756852 51.1286271, 4.5759159 51.1286398, 4.5761415 51.1286539, 4.5763364 51.1286686, 4.5763811 51.1286778, 4.5764824 51.1286987, 4.5766143 51.1287434, 4.57668 51.1287806, 4.5767773 51.1288491)",,,,,
51856482,2,Arthur Vanderpoortenlaan,residential,30,False,True,79.149,"LINESTRING (4.5738604 51.1282472, 4.5737719 51.1282359, 4.5736075 51.1282049, 4.573355 51.1281352, 4.5729701 51.127954, 4.572874 51.1279141)",,,,,
224823671,2,Arthur Vanderpoortenlaan,residential,30,False,False,145.75900000000001,"LINESTRING (4.5738604 51.1282472, 4.5740864 51.1282538, 4.5742668 51.128259, 4.5743202 51.1282591, 4.5745512 51.1282597, 4.5747723 51.1282603, 4.5750077 51.1282608, 4.5752259 51.1282614, 4.5754584 51.128262, 4.5755513 51.1282622, 4.5756937 51.1282642, 4.5758586 51.1282665, 4.5759247 51.1282674, 4.5759486 51.1282677)",,,,,
4846794,1,Werf,tertiary,30,True,False,84.59200000000001,"LINESTRING (4.571597 51.1302514, 4.571548 51.1301196, 4.5713626 51.1295051)",,,,,
"[29465321, 29465323, 52335926]",,Rechtestraat,tertiary,30,False,False,34.239999999999995,"LINESTRING (4.571597 51.1302514, 4.5715396 51.1302547, 4.5712311 51.1302729, 4.5711672 51.1302768, 4.571109 51.1302708)",yes,,,,
23536536,,Kerkstraat,residential,30,True,False,43.213,"LINESTRING (4.5738836 51.1302028, 4.5735752 51.1305398)",,,,,
"[140494065, 924793090]",1,Rechtestraat,tertiary,30,True,False,76.239,"LINESTRING (4.5738836 51.1302028, 4.5736767 51.1301529, 4.5735305 51.1301438, 4.5730404 51.1301471, 4.5728106 51.1301743)",,,,,
23399465,,Grote Markt,tertiary,30,True,False,48.992999999999995,"LINESTRING (4.5688741 51.1311188, 4.5689571 51.1311601, 4.5692061 51.13143, 4.5692562 51.131456, 4.5692885 51.1314631)",,,,,
23399555,,Grote Markt,tertiary,30,False,True,72.676,"LINESTRING (4.5688741 51.1311188, 4.5690057 51.1310449, 4.5697549 51.1307737)",,,,,
4877329,2,Antwerpsestraat,tertiary,30,False,True,96.50900000000001,"LINESTRING (4.5665752 51.1340082, 4.56668 51.1339562, 4.5667072 51.1339434, 4.5670674 51.1337307, 4.567455 51.1334831, 4.5675634 51.1334027)",,,,,
4877330,2,Kruisbogenhofstraat,residential,30,False,False,213.21800000000002,"LINESTRING (4.5665752 51.1340082, 4.5666529 51.1340646, 4.5670715 51.1343634, 4.5671014 51.1343848, 4.5671891 51.1344534, 4.567882 51.1348857, 4.5679264 51.1349149, 4.5680819 51.1350171, 4.5682976 51.1351475, 4.5685241 51.1352921, 4.568701 51.1353826)",,,,,
23439433,2,Antwerpsestraat,tertiary,30,False,False,86.904,"LINESTRING (4.5665752 51.1340082, 4.5664878 51.1340574, 4.5656474 51.1345296)",,,,,
4877345,,Eikelstraat,residential,30,False,False,58.665,"LINESTRING (4.5697549 51.1307737, 4.5695681 51.1305399, 4.5694605 51.1304015, 4.5693852 51.1302999)",,,,,
23399555,,Grote Markt,tertiary,30,False,False,72.676,"LINESTRING (4.5697549 51.1307737, 4.5690057 51.1310449, 4.5688741 51.1311188)",,,,,
"[345397136, 23399553, 923265909, 224823678]",,Grote Markt,tertiary,30,False,True,117.98999999999998,"LINESTRING (4.5697549 51.1307737, 4.5698631 51.1307182, 4.5699504 51.1306622, 4.5702719 51.1304474, 4.5703044 51.1304197, 4.5704477 51.1303341, 4.5705843 51.1302752, 4.5707224 51.1302459, 4.570886 51.1302481, 4.5710084 51.1302489, 4.571109 51.1302708)",,,,,
23047792,1,Bril,residential,30,True,False,82.471,"LINESTRING (4.5713626 51.1295051, 4.5714431 51.1294792, 4.5722576 51.1292285, 4.5724352 51.1291979)",,,,,
