osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,bridge,access
104012970,R22z,Hector Henneaulaan,secondary,50,False,False,66.154,"LINESTRING (4.4661707 50.8808889, 4.4662285 50.8808771, 4.4662629 50.8808695, 4.4664672 50.8808142, 4.466608 50.8807693, 4.4668148 50.8806938, 4.4670015 50.8806126)",,,,
118769686,R22z,Hector Henneaulaan,secondary,50,True,False,19.191,"LINESTRING (4.467235 50.8805227, 4.4670015 50.8806126)",,,,
118769683,,Hector Henneaulaan,secondary,50,True,False,9.378,"LINESTRING (4.467235 50.8805227, 4.4672019 50.8805198, 4.467171 50.8805118, 4.4671442 50.8804991, 4.4671233 50.8804827)",roundabout,,,
118769700,,Hector Henneaulaan,secondary,50,False,True,3.436,"LINESTRING (4.4691618 50.8800971, 4.4691131 50.8801004)",,,,
25090131,,Kleine Daalstraat,residential,,False,False,72.65199999999999,"LINESTRING (4.4691618 50.8800971, 4.4691572 50.8800429, 4.4691427 50.8797471, 4.4691156 50.8795221, 4.4690834 50.8794473)",,,,
95427051,,Hector Henneaulaan,secondary,50,False,False,255.426,"LINESTRING (4.4691618 50.8800971, 4.4703415 50.8800071, 4.4707918 50.8799638, 4.471151 50.8799324, 4.4721602 50.8798443, 4.4725607 50.8798133, 4.4727711 50.879797)",,,,
"[140779728, 23691390]",N262,Parklaan,secondary,50,False,False,104.939,"LINESTRING (4.4746146 50.8804439, 4.4746552 50.8804991, 4.4746949 50.8805895, 4.4747367 50.8807346, 4.4747439 50.8808852, 4.474714 50.8810215, 4.4746314 50.8812051, 4.4745083 50.8813478)",,,,
1199230013,N262,Parklaan,secondary,50,False,True,12.915,"LINESTRING (4.4746146 50.8804439, 4.4745793 50.8804002, 4.4745275 50.8803416)",,,,
163197448,N262,Parklaan,secondary,30,False,False,44.116,"LINESTRING (4.4740211 50.8826068, 4.4740597 50.8830028)",,,,
163197448,N262,Parklaan,secondary,30,False,True,28.965999999999998,"LINESTRING (4.4740211 50.8826068, 4.4740201 50.8824883, 4.4740197 50.8824435, 4.4740224 50.8824166, 4.4740294 50.8823465)",,,,
23691389,N262,Grote Daalstraat,secondary,70,False,False,7.174,"LINESTRING (4.4730261 50.8790062, 4.4730442 50.8790697)",,,,
25090128,,Molenbergdreef,residential,,True,False,281.075,"LINESTRING (4.4730261 50.8790062, 4.4718091 50.8791319, 4.4692214 50.8794167, 4.4690834 50.8794473)",,,,
664706609,N262,Grote Daalstraat,secondary,70,False,False,35.075,"LINESTRING (4.4730261 50.8790062, 4.4729865 50.8788989, 4.4728665 50.8787081)",,,,
23691389,N262,Grote Daalstraat,secondary,70,False,True,7.174,"LINESTRING (4.4730442 50.8790697, 4.4730261 50.8790062)",,,,
"[101957376, 23691389]",N262,Grote Daalstraat,secondary,"['70', '50']",False,False,65.09899999999999,"LINESTRING (4.4730442 50.8790697, 4.4731334 50.8793205, 4.473173 50.8793956, 4.473244 50.8794952, 4.4733544 50.8796167)",,,,
118769690,N262,Parklaan,secondary,50,False,True,40.367000000000004,"LINESTRING (4.4737244 50.8798937, 4.4736495 50.879849, 4.4735125 50.8797512, 4.4733544 50.8796167)",,,,
"[118769689, 1060140565]",N262,Parklaan,secondary,50,False,False,75.861,"LINESTRING (4.4737244 50.8798937, 4.4738363 50.8799481, 4.4741406 50.8800786, 4.4742481 50.8801361, 4.4743496 50.8801959, 4.474422 50.8802446, 4.4745275 50.8803416)",,,,
"[26178192, 16596883, 26178195]",,Steenokkerzeelstraat,residential,"['50', '30']",False,False,60.967999999999996,"LINESTRING (4.4782898 50.8842875, 4.4783346 50.8841869, 4.4783734 50.8838513, 4.4783884 50.8837444)",,2,yes,
16596898,,Hoogstraat,residential,30,True,False,134.714,"LINESTRING (4.4783884 50.8837444, 4.478395 50.8836571, 4.4784006 50.8836156, 4.4784047 50.8835596, 4.4783562 50.8834758, 4.4782339 50.883418, 4.4780634 50.8833508, 4.4779753 50.8833191, 4.4779617 50.8833142, 4.4778202 50.8832633, 4.4776894 50.8832209, 4.4774735 50.8831508, 4.4773175 50.8831002, 4.4772291 50.8830809, 4.4770459 50.8830429)",,,,
"[26178192, 26178195, 16596883]",,Steenokkerzeelstraat,residential,"['30', '50']",False,True,60.967999999999996,"LINESTRING (4.4783884 50.8837444, 4.4783734 50.8838513, 4.4783346 50.8841869, 4.4782898 50.8842875)",,2,yes,
"[26178219, 314335683]",,Spoorwegstraat,residential,30,True,False,302.0880000000001,"LINESTRING (4.4741891 50.8843315, 4.4743401 50.8843226, 4.4744161 50.8843109, 4.4747683 50.8842563, 4.4751311 50.8842001, 4.4752108 50.8841878, 4.4754323 50.8841535, 4.4754824 50.8841457, 4.4770526 50.8839109, 4.4772666 50.8838788, 4.4778314 50.8837937, 4.4779977 50.8837733, 4.4780639 50.8837652, 4.4781262 50.8837576, 4.478199 50.8837487, 4.4783884 50.8837444)",,,,
