osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
58709359,2,N14,Gustaaf van der Lindenlaan,primary,50,False,False,10.38,"LINESTRING (4.5060345 51.0958169, 4.506119 51.0958937)",,,
211802690,3,N14,Kiliaanstraat,primary,,False,True,30.134,"LINESTRING (4.5060345 51.0958169, 4.5059955 51.0957861, 4.5059086 51.0957337, 4.5058396 51.0956949, 4.5057186 51.0956333)",,,
"[25575769, 1000493154, 242651949, 242651950]",,,Gemeentestraat,residential,,False,True,84.586,"LINESTRING (4.5060345 51.0958169, 4.5060935 51.0957904, 4.5061317 51.0957749, 4.5061882 51.0957564, 4.5062164 51.0957515, 4.5062925 51.0957471, 4.5063402 51.0957493, 4.5064119 51.095756, 4.5065687 51.0957822, 4.5067204 51.0958091, 4.5069221 51.0958419, 4.5069789 51.0958473, 4.5070262 51.0958499, 4.5070623 51.0958497, 4.5070847 51.0958469, 4.5071107 51.0958366, 4.5071324 51.0958179, 4.5071442 51.0957914)",,,
122924061,1,N14,Gustaaf van der Lindenlaan,primary,,True,False,52.456,"LINESTRING (4.506732 51.0984225, 4.506815 51.0987294, 4.5068335 51.0988441, 4.5068517 51.0988878)",,,
"[228413898, 58709359]",2,N14,"['G. Van der Lindenlaan', 'Gustaaf van der Lindenlaan']",primary,50,False,True,289.95599999999996,"LINESTRING (4.506732 51.0984225, 4.50673 51.0983776, 4.506718 51.0983012, 4.5066922 51.0977352, 4.5066551 51.0969194, 4.5066479 51.0967771, 4.5066293 51.0965815, 4.5065478 51.0963838, 4.5063317 51.0960905, 4.506119 51.0958937)",,,
24785188,1,N14,Liersesteenweg,primary,,True,False,15.829,"LINESTRING (4.5070351 51.0991766, 4.5068864 51.0991341, 4.5068341 51.0991117)",,,
8729911,,,Kerkstraat,residential,30,False,False,33.717,"LINESTRING (4.4998508 51.0943527, 4.4998594 51.0943015, 4.4999153 51.0942388, 4.4999829 51.0942019, 4.5000781 51.0941756, 4.5001703 51.0941687)",,,
10115373,,,Kerkstraat,residential,30,False,False,88.68299999999999,"LINESTRING (4.4998508 51.0943527, 4.4998713 51.0944301, 4.4999235 51.0944931, 4.5000036 51.0945399, 4.5001302 51.0945791, 4.5002411 51.0946199, 4.5003575 51.0946706, 4.5004176 51.0948456, 4.5004693 51.094899, 4.5005582 51.0949556)",,,
27706004,,,Leopoldstraat,residential,30,False,True,137.25,"LINESTRING (4.5047412 51.09739, 4.5046128 51.097312, 4.5033284 51.0965319)",,,
125961143,,,Leopoldstraat,residential,30,False,False,71.02199999999999,"LINESTRING (4.5047412 51.09739, 4.5050073 51.0976214, 4.5052445 51.0978524, 4.5053155 51.0979169)",,,
"[125961144, 41844481, 125961143, 393797599]",,,Leopoldstraat,residential,"['50', '30']",False,"[False, True]",147.118,"LINESTRING (4.5066279 51.0989432, 4.5065518 51.0989093, 4.5064526 51.0988576, 4.5062397 51.098716, 4.5060352 51.0985712, 4.5054007 51.0979943, 4.5053155 51.0979169)",,,
211802701,1,,Lintsesteenweg,primary,,True,False,9.01,"LINESTRING (4.5066279 51.0989432, 4.5066455 51.0989262, 4.5066676 51.0989114, 4.5066934 51.0988993, 4.5067221 51.0988901)",roundabout,,
"[24785187, 393797604]",1,N14,Gustaaf van der Lindenlaan,primary,50,True,False,52.023,"LINESTRING (4.5067221 51.0988901, 4.5067363 51.0987305, 4.506732 51.0984225)",,,
211802699,1,,Lintsesteenweg,primary,,True,False,9.2,"LINESTRING (4.5067221 51.0988901, 4.5067866 51.0988816, 4.5068517 51.0988878)",roundabout,,
4923334,1,,Lintsesteenweg,primary,,True,False,24.590000000000003,"LINESTRING (4.5068517 51.0988878, 4.5069035 51.0989051, 4.5069442 51.0989317, 4.5069696 51.0989649, 4.5069773 51.0990014, 4.5069664 51.0990377, 4.506938 51.0990699)",roundabout,,
228274247,1,,Lintsesteenweg,primary,,True,False,10.667000000000002,"LINESTRING (4.5067129 51.0991038, 4.5066519 51.0990749, 4.5066145 51.0990331)",roundabout,,
393797621,,,Lintsesteenweg,tertiary,50,True,False,25.898,"LINESTRING (4.5067129 51.0991038, 4.5065433 51.0991883, 4.5065127 51.099205, 4.5064269 51.099252)",,,
430118796,1,,Lintsesteenweg,primary,,True,False,8.629999999999999,"LINESTRING (4.5068341 51.0991117, 4.5067724 51.0991142, 4.5067129 51.0991038)",roundabout,,
4923335,1,N14,Liersesteenweg,primary,50,True,False,13.665,"LINESTRING (4.506938 51.0990699, 4.5070351 51.0991766)",,,
