osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes,bridge
131921368,N675,Rodter Straße,secondary,False,False,118.15700000000001,"LINESTRING (6.1193509 50.2806037, 6.1195171 50.2805921, 6.1195921 50.2805868, 6.1198163 50.2805976, 6.1200574 50.2806236, 6.1202573 50.2806564, 6.120534 50.2807018, 6.1207976 50.2807301, 6.1209886 50.2807212)",,,,
93774716,,Rodter Straße,residential,False,True,221.08800000000002,"LINESTRING (6.1209886 50.2807212, 6.1210688 50.2804535, 6.1211803 50.2800766, 6.1211803 50.279794, 6.1211725 50.2797157, 6.1210887 50.2788774, 6.1211757 50.2787587)",,,,
131921368,N675,Rodter Straße,secondary,False,False,155.856,"LINESTRING (6.1209886 50.2807212, 6.121276 50.2807064, 6.1215656 50.2806993, 6.1218762 50.2807508, 6.1221947 50.2808305, 6.1224177 50.2808929, 6.1225966 50.280943, 6.1226394 50.2809543, 6.1229528 50.2810355, 6.1230094 50.2810523, 6.1230746 50.2810612)",,,,
131921368,N675,Rodter Straße,secondary,False,True,118.15699999999998,"LINESTRING (6.1209886 50.2807212, 6.1207976 50.2807301, 6.120534 50.2807018, 6.1202573 50.2806564, 6.1200574 50.2806236, 6.1198163 50.2805976, 6.1195921 50.2805868, 6.1195171 50.2805921, 6.1193509 50.2806037)",,,,
302832325,N62,Hauptstraße,secondary,True,False,15.707,"LINESTRING (6.1243405 50.282484, 6.1243682 50.282462, 6.1244052 50.2824465, 6.1244479 50.2824391, 6.124492 50.2824405, 6.1245333 50.2824506)",50,roundabout,,
"[664426542, 360625095]",N675,Rodter Straße,secondary,False,True,290.55400000000003,"LINESTRING (6.1243405 50.282484, 6.1242385 50.2824543, 6.1240561 50.2823988, 6.1239418 50.2824033, 6.1238672 50.2824062, 6.1236897 50.2824345, 6.1234578 50.2825048, 6.1231883 50.2826182, 6.1230466 50.2826468, 6.1229736 50.2826465, 6.1228963 50.2826461, 6.1228004 50.2826204, 6.122734 50.2825875, 6.1226765 50.2825383, 6.1226363 50.2824743, 6.1226427 50.2824174, 6.1226744 50.2823551, 6.1227739 50.2822518, 6.1228317 50.282191, 6.1232182 50.2817843, 6.1232525 50.2817482, 6.1233934 50.2816059, 6.1234418 50.2815448, 6.1234652 50.2814899, 6.1234697 50.281459, 6.1234731 50.2814358, 6.123479 50.2813747, 6.1234612 50.281311, 6.1234383 50.2812573)",,,,
"[142280376, 342082523]",N62,Luxemburger Straße,secondary,False,True,193.687,"LINESTRING (6.1248604 50.2779925, 6.1248023 50.277978, 6.1246123 50.2779012, 6.1242979 50.2777627, 6.1226046 50.2770168)","['30', '50']",,2,
"[302991713, 142280371]",N62,Luxemburger Straße,secondary,False,False,163.83700000000002,"LINESTRING (6.1248604 50.2779925, 6.1250949 50.2780517, 6.1255915 50.2781727, 6.1266713 50.2784357, 6.1268417 50.2784836, 6.126897 50.2784997, 6.1270018 50.2785364)","['30', '50']",,2,
486732416,,Untere Büchelstraße,residential,False,True,108.058,"LINESTRING (6.1248604 50.2779925, 6.124773 50.2780857, 6.1244859 50.2783915, 6.1241415 50.2788477)",30,,,
302991750,N62,,secondary,True,False,8.620000000000001,"LINESTRING (6.1222837 50.2846769, 6.1222604 50.284698, 6.1222274 50.2847129, 6.1221884 50.2847199)",50,roundabout,,
