osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,lanes,ref
8250567,Rue de la Liaison - Verbindingstraat,residential,30,False,True,116.749,"LINESTRING (4.4226859 50.8435257, 4.422726 50.8435716, 4.4235047 50.8443718, 4.4235565 50.8444201)",,,,
34625572,Tomberg,tertiary,30,False,False,116.78,"LINESTRING (4.4226859 50.8435257, 4.4227724 50.8435002, 4.423752 50.8431919, 4.4238097 50.8431737, 4.4238503 50.8431609, 4.4241666 50.843048)",,,,
34625572,Tomberg,tertiary,30,False,True,93.48,"LINESTRING (4.4226859 50.8435257, 4.4225994 50.8435512, 4.4215991 50.8438768, 4.4215068 50.8439152)",,,,
"[30812049, 30812050]",Place du Tomberg - Tombergplein,residential,30,False,True,153.737,"LINESTRING (4.4264698 50.8426218, 4.4264903 50.8426597, 4.4265043 50.8426831, 4.4267411 50.8431627, 4.4268108 50.843312, 4.4270719 50.8438914, 4.4270728 50.8439485)",,,,
350681155,Tomberg,tertiary,30,True,False,12.077,"LINESTRING (4.4264698 50.8426218, 4.4264274 50.8426262, 4.4263846 50.8426231, 4.4263448 50.8426129, 4.4263109 50.8425962)",roundabout,,,
4979602,Tomberg,tertiary,30,False,False,155.526,"LINESTRING (4.4265692 50.84249, 4.4266192 50.8424819, 4.4266495 50.842477, 4.4273316 50.8423158, 4.4284381 50.8420544, 4.428559 50.8420259, 4.4286471 50.8420064)",,,,
350681155,Tomberg,tertiary,30,True,False,18.18,"LINESTRING (4.4265692 50.84249, 4.4265797 50.8425164, 4.4265783 50.8425437, 4.4265653 50.8425696, 4.4265415 50.8425924, 4.4265089 50.8426102, 4.4264698 50.8426218)",roundabout,,,
34625572,Tomberg,tertiary,30,False,True,15.062,"LINESTRING (4.4243533 50.8429813, 4.4241666 50.843048)",,,,
8549583,Avenue Henri Pauwels - Henri Pauwelslaan,residential,30,True,False,36.372,"LINESTRING (4.4243533 50.8429813, 4.42421 50.8428425, 4.4242025 50.8428297, 4.4241494 50.8426858)",,,,
40803500,Tomberg,tertiary,30,True,False,143.36499999999998,"LINESTRING (4.4243533 50.8429813, 4.4245613 50.8429233, 4.4246368 50.8429046, 4.4248735 50.8428479, 4.426107 50.842566, 4.4261942 50.8425474, 4.4262665 50.8425319)",,7.5,,
148146438,Avenue Paul Hymans - Paul Hymanslaan,secondary,50,True,False,80.262,"LINESTRING (4.4243533 50.8429813, 4.4245485 50.8430753, 4.424616 50.8431172, 4.4248206 50.8432442, 4.4251036 50.8435167)",,,1,N226
